Course code,Course title,Internal Credit,Credit / ECTS,Grade,Letter Grade,Point,Traditional
2020 - 2021. 1,,,,,,,
CSS 105,Fundamentals of Programming,4,5,91,A-,3.67,Excellent
MAT 151,Linear Algebra,3,5,80,B,3,Good
MAT 153,Mathematics for Computer Science 1,3,5,86,B+,3.33,Good
MDE 103,Foreign Language 1 (English for Specific Purposes - B1 level ),3,5,98,A,4,Excellent
MDE 131,Turkish Language 1 (А1 level),2,3,95,A,4,Excellent
MDE 141,Physical Education 1,1,2,95,A,4,Excellent
MDE 171,Modern History of Kazakhstan,3,5,98,A,4,Excellent
,,19,30,SA : 91.33,GA : 91.33,SPA : 3.67,GPA : 3.67
2020 - 2021. 2,,,,,,,
CSS 108,Programming Technologies and Educational Practice,3,5,68,C,2,Satisfactory
INF 106,Information and Communications Technologies (Computer Science),3,5,82,B,3,Good
MAT 154,Mathematics for Computer Science 2,3,5,75,B-,2.67,Good
MAT 156,Discrete Mathematics,3,5,82,B,3,Good
MDE 132,Turkish Language 2 (А1 level),2,3,90,A-,3.67,Excellent
MDE 142,Physical Education 2,1,2,100,A,4,Excellent
MDE 188,Foreign Language 2 (English for Specific Purposes - B1+ level ),3,5,94,A-,3.67,Excellent
,,18,30,SA : 82.5,GA : 86.92,SPA : 3.02,GPA : 3.35
2021 - 2022. 1,,,,,,,
INF 202,Database Management Systems 1,3,5,88,B+,3.33,Good
INF 231,Web programming: front end,3,5,80,B,3,Good
MDE 123,Russian Language 1 (B1 level),3,5,87,B+,3.33,Good
MDE 133,Turkish Language 3 (А2 level),2,3,81,B,3,Good
MDE 143,Physical Education 3,1,2,90,A-,3.67,Excellent
,,12,20,SA : 84.9,GA : 86.41,SPA : 3.23,GPA : 3.32
2021 - 2022. 2,,,,,,,
INF 232,Web programming: back end,4,5,0,F,0,Unsatisfactory
INF 305,Database Management Systems 2,3,5,55,D+,1.33,Satisfactory
MDE 124,Russian Language 2 (B1 level),3,5,60,C-,1.67,Satisfactory
MDE 134,Turkish Language 4 (А2 level),2,3,63,C-,1.67,Satisfactory
MDE 144,Physical Education 4,1,2,100,A,4,Excellent
,,13,20,SA : 48.2,GA : 78.77,SPA : 1.4,GPA : 2.93
2022 - 2023. 1,,,,,,,
CSS 152,Physics 1,3,5,71,C+,2.33,Good
CSS 216,Mobile Programming,3,5,74,C+,2.33,Good
CSS 380,Industrial practice 1,1,1,70,P,,Pass
INF 312,Engineering and computer graphics,3,5,85,B+,3.33,Good
MAT 251,Probability and Mathematical Statictics,4,5,,W,,Withdraw
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,76,B-,2.67,Good
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,78,B-,2.67,Good
MDE 162,Law,3,5,100,A,4,Excellent
,,19,30,SA : 81.58,GA : 79.31,SPA : 2.94,GPA : 2.94
2022 - 2023. 2,,,,,,,
CSS 381,Industrial practice 2,1,1,70,C+,2.33,Good
CSS 415,IT Management,3,5,91,A-,3.67,Excellent
INF 313,Computer networks 1,3,5,0,FX,0,Unsatisfactory
INF 370,User Interface Design,3,5,53,D,1,Satisfactory
INF 378,AWS Cloud Computing,3,5,76,B-,2.67,Good
INF 405,Personal Development in Computer Science,3,5,79,B-,2.67,Good
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,95,A,4,Excellent
MDE 154,Module of Social and Political Knowledge (Psychology),1,2,96,A,4,Excellent
MDE 172,Philosophy,3,5,86,B+,3.33,Good
,,21,35,SA : 67.91,GA : 76.81,SPA : 2.43,GPA : 2.82
2023 - 2024. 1,,,,,,,
CSS 215,Introduction to Algorithms,4,5,38,IP,,In progress
CSS 410,Research tools and methods,3,5,56,IP,,In progress
CSS 446,IT audit,3,5,47,IP,,In progress
CSS 465,Project Management,3,5,,IP,,In progress
CSS 480,Industrial practice 3,2,3,,IP,,In progress
CSS 481,Industrial practice 3,1,2,,IP,,In progress
INF 415,Leadership in IT,3,5,39,IP,,In progress
INF 440,Digital Image Processing,3,5,49,IP,,In progress
MAT 251,Probability and Mathematical Statictics,4,5,32,IP,,In progress
,,26,40,SA : 0,GA : 76.81,SPA : 0,GPA : 2.82
Total Internal Credits : 98,,Total credits/ECTS : 160,,Grand Average : 76.81,,Grand GPA : 2.82,
