Course code,Course title,Internal Credit,Credit / ECTS,Grade,Letter Grade,Point,Traditional
2020 - 2021. 1,,,,,,,
CEC 101,General English (A1 level),6,6,85,P,,Pass
CSS 105,Fundamentals of Programming,4,5,61,C-,1.67,Satisfactory
MAT 151,Linear Algebra,3,5,78,B-,2.67,Good
MAT 153,Mathematics for Computer Science 1,3,5,80,B,3,Good
MDE 131,Turkish Language 1 (А1 level),2,3,90,A-,3.67,Excellent
MDE 141,Physical Education 1,1,2,95,A,4,Excellent
MDE 171,Modern History of Kazakhstan,3,5,93,A-,3.67,Excellent
,,22,31,SA : 80.8,GA : 80.8,SPA : 2.96,GPA : 2.96
2020 - 2021. 2,,,,,,,
CEC 102,General English (A2 level),6,6,86,P,,Pass
CSS 108,Programming Technologies and Educational Practice,3,5,75,B-,2.67,Good
INF 106,Information and Communications Technologies (Computer Science),3,5,85,B+,3.33,Good
MAT 154,Mathematics for Computer Science 2,3,5,61,C-,1.67,Satisfactory
MAT 156,Discrete Mathematics,3,5,62,C-,1.67,Satisfactory
MDE 132,Turkish Language 2 (А1 level),2,3,88,B+,3.33,Good
MDE 142,Physical Education 2,1,2,95,A,4,Excellent
,,21,31,SA : 74.76,GA : 77.78,SPA : 2.59,GPA : 2.78
2021 - 2022. 1,,,,,,,
CSS 215,Introduction to Algorithms,3,5,82,B,3,Good
INF 202,Database Management Systems 1,3,5,79,B-,2.67,Good
INF 231,Web programming: front end,3,5,100,A,4,Excellent
MDE 133,Turkish Language 3 (А2 level),2,3,62,C-,1.67,Satisfactory
MDE 143,Physical Education 3,1,2,90,A-,3.67,Excellent
MDE 190,Foreign Language 1 (English for Specific Purposes - B1 level ),3,5,75,B-,2.67,Good
,,15,25,SA : 81.84,GA : 79.13,SPA : 2.96,GPA : 2.84
2021 - 2022. 2,,,,,,,
CSS 152,Physics 1,3,5,74,C+,2.33,Good
CSS 220,Advanced Algorithms,3,5,82,B,3,Good
INF 232,Web programming: back end,4,5,96,A,4,Excellent
INF 305,Database Management Systems 2,3,5,84,B,3,Good
INF 313,Computer networks 1,3,5,69,C,2,Satisfactory
MDE 114,Kazakh Language 2 (B1 level),3,5,63,C-,1.67,Satisfactory
MDE 134,Turkish Language 4 (А2 level),2,3,82,B,3,Good
MDE 144,Physical Education 4,1,2,95,A,4,Excellent
MDE 191,Foreign Language 2 (English for Specific Purposes - B1+ level ),3,5,91,A-,3.67,Excellent
,,25,40,SA : 80.78,GA : 79.7,SPA : 2.88,GPA : 2.85
2022 - 2023. 1,,,,,,,
CSS 223,C# Object Oriented Programming,3,5,95,A,4,Excellent
CSS 380,Industrial practice 1,1,1,100,P,,Pass
INF 317,Python for data analysis,3,5,77,B-,2.67,Good
INF 324,Computer vision,3,5,96,A,4,Excellent
MAT 251,Probability and Mathematical Statictics,4,5,76,B-,2.67,Good
MDE 115,Kazakh Language 1 (B2 level),3,5,76,B-,2.67,Good
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,73,C+,2.33,Good
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,80,B,3,Good
MDE 162,Law,3,5,100,A,4,Excellent
,,22,35,SA : 85.47,GA : 81.02,SPA : 3.26,GPA : 2.95
2022 - 2023. 2,,,,,,,
CSS 381,Industrial practice 2,1,1,100,A,4,Excellent
CSS 411,Advanced Programming using JAVA EE,3,5,95,A,4,Excellent
INF 370,User Interface Design,3,5,85,B+,3.33,Good
INF 382,Business Process Modelling,3,5,86,B+,3.33,Good
INF 405,Personal Development in Computer Science,3,5,100,A,4,Excellent
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,98,A,4,Excellent
MDE 154,Module of Social and Political Knowledge (Psychology),1,2,97,A,4,Excellent
MDE 172,Philosophy,3,5,89,B+,3.33,Good
,,18,30,SA : 92.17,GA : 82.89,SPA : 3.67,GPA : 3.07
2023 - 2024. 1,,,,,,,
CSS 410,Research tools and methods,3,5,53,IP,,In progress
CSS 450,Industrial project (Introduction),3,5,55,IP,,In progress
CSS 451,Industrial project (Development),3,5,55,IP,,In progress
CSS 452,Industrial project (Design),3,5,55,IP,,In progress
CSS 453,Industrial project (Testing),3,5,55,IP,,In progress
CSS 480,Industrial practice 3,2,3,,IP,,In progress
CSS 481,Industrial practice 3,1,2,,IP,,In progress
,,18,30,SA : 0,GA : 82.89,SPA : 0,GPA : 3.07
Total Internal Credits : 123,,Total credits/ECTS : 192,,Grand Average : 82.89,,Grand GPA : 3.07,
