Course code,Course title,Internal Credit,Credit / ECTS,Grade,Letter Grade,Point,Traditional
2020 - 2021. 1,,,,,,,
IRN 105,Introduction to International Relations,3,5,97,A,4,Excellent
MDE 103,Foreign Language 1 (English for Specific Purposes - B1 level ),3,5,88,B+,3.33,Good
MDE 131,Turkish Language 1 (А1 level),2,3,97,A,4,Excellent
MDE 141,Physical Education 1,1,2,93,A-,3.67,Excellent
MDE 161,Еconomy,3,5,88,B+,3.33,Good
MDE 162,Law,3,5,95,A,4,Excellent
MDE 173,Information and Communication Technologies (in English),3,5,94,A-,3.67,Excellent
,,18,30,SA : 92.9,GA : 92.9,SPA : 3.7,GPA : 3.7
2020 - 2021. 2,,,,,,,
IRN 116,Module of Social and Political Knowledge (Political Science),1,2,98,A,4,Excellent
IRN 128,Human Rights,3,5,100,A,4,Excellent
IRN 198,Educational practice,1,1,85,B+,3.33,Good
IRN 201,Modern History of International Relations,3,5,98,A,4,Excellent
IRN 208,International Organizations,3,5,92,A-,3.67,Excellent
MDE 132,Turkish Language 2 (А1 level),2,3,95,A,4,Excellent
MDE 142,Physical Education 2,1,2,95,A,4,Excellent
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,100,A,4,Excellent
MDE 188,Foreign Language 2 (English for Specific Purposes - B1+ level ),3,5,98,A,4,Excellent
,,18,30,SA : 96.53,GA : 94.72,SPA : 3.92,GPA : 3.81
2021 - 2022. 2,,,,,,,
IRN 203,International (Public) Law,3,5,* 100,A,4,Excellent
IRN 209,International Relations Theories,3,5,* 97,A,4,Excellent
IRN 220,Contemporary history of International Relations,3,5,* 97,A,4,Excellent
IRN 223,Geopolitics and Eurasian Integration,4,6,* 98,A,4,Excellent
IRN 311,Multilateral Diplomacy,3,5,* 99,A,4,Excellent
IRN 328,Research Methods,3,5,* 98,A,4,Excellent
IRN 345,Quantitative Research Methods,3,5,* 98,A,4,Excellent
IRN 351,European Integration and European Union,3,5,* 97,A,4,Excellent
MDE 133,Turkish Language 3 (А2 level),2,3,* 98,A,4,Excellent
MDE 134,Turkish Language 4 (А2 level),2,3,* 97,A,4,Excellent
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,* 84,B,3,Good
MDE 154,Module of Social and Political Knowledge (Psychology),1,2,* 88,B+,3.33,Good
MDE 172,Philosophy,3,5,* 98,A,4,Excellent
,,34,56,SA : 97.09,GA : 95.86,SPA : 3.94,GPA : 3.87
2022 - 2023. 1,,,,,,,
IRN 211,Diplomatic and Consular Services,3,5,100,A,4,Excellent
IRN 219,Introduction to Comparative Politics,3,5,100,A,4,Excellent
IRN 320,Foreign Policy of Kazakhstan,3,5,100,A,4,Excellent
IRN 325,Foreign Language of Specialization - I (French European),3,5,91,A-,3.67,Excellent
IRN 346,Contemporary system of international relations,3,5,100,A,4,Excellent
IRN 348,Techniques of Conducting Diplomatic Negotiations,3,5,100,A,4,Excellent
MDE 125,Russian Language 1 (B2 level),3,5,95,A,4,Excellent
MDE 255,Physical Education 3 (Athletics),1,2,97,A,4,Excellent
,,22,37,SA : 97.95,GA : 96.37,SPA : 3.96,GPA : 3.89
2022 - 2023. 2,,,,,,,
IRN 306,Diplomatic Protocol and Documentation,3,5,100,A,4,Excellent
IRN 308,Foreign Language of Specialization - II (French European),3,5,97,A,4,Excellent
IRN 370,Global Political Economy,3,5,92,A-,3.67,Excellent
MDE 126,Russian Language 2 (B2 level),3,5,95,A,4,Excellent
MDE 171,History of Kazakhstan,3,5,77,B-,2.67,Good
MDE 244,Physical Education 4 (Basketball),1,2,91,A-,3.67,Excellent
,,16,27,SA : 92.11,GA : 95.73,SPA : 3.67,GPA : 3.86
2023 - 2024. 1,,,,,,,
IRN 205,Foreign Policy Analysis,3,5,52,IP,,In progress
IRN 216,International Conflicts and Peace,4,5,38,IP,,In progress
IRN 340,Emerging China and World affairs,3,5,50,IP,,In progress
IRN 355,International Security,3,5,60,IP,,In progress
IRN 445,Foreign Language of Specialization (French European),3,5,54,IP,,In progress
IRN 468,Contemporary Issues in International Relations,3,5,57,IP,,In progress
,,19,30,SA : 0,GA : 95.73,SPA : 0,GPA : 3.86
Total Internal Credits : 108,,Total credits/ECTS : 180,,Grand Average : 95.73,,Grand GPA : 3.86,
