2020 - 2021. 1,,,,,,,
CSS 105,Fundamentals of Programming,4,5,77,B-,2.67,Good
INF 106,Information and Communications Technologies (Computer Science),3,5,91,A-,3.67,Excellent
MAT 151,Linear Algebra,3,5,85,B+,3.33,Good
MAT 153,Mathematics for Computer Science 1,3,5,71,C+,2.33,Good
MDE 103,Foreign Language 1 (English for Specific Purposes - B1 level ),3,5,84,B,3,Good
MDE 111,Kazakh Language 1 (А1 level/ for foreigners),3,5,80,B,3,Good
MDE 113,Kazakh Language 1 (B1 level),3,5,78,B-,2.67,Good
MDE 131,Turkish Language 1 (А1 level),2,3,93,A-,3.67,Excellent
MDE 141,Physical Education 1,1,2,95,A,4,Excellent
,,25,40,SA : 82.48,GA : 82.48,SPA : 3.06,GPA : 3.06
2020 - 2021. 2,,,,,,,
CSS 108,Programming Technologies and Educational Practice,3,5,56,D+,1.33,Satisfactory
CSS 225,Web programming fundamentals,3,5,92,A-,3.67,Excellent
MAT 154,Mathematics for Computer Science 2,3,5,61,C-,1.67,Satisfactory
MAT 156,Discrete Mathematics,3,5,69,C,2,Satisfactory
MDE 132,Turkish Language 2 (А1 level),2,3,92,A-,3.67,Excellent
MDE 142,Physical Education 2,1,2,95,A,4,Excellent
MDE 144,Physical Education 4,1,2,95,A,4,Excellent
MDE 172,Philosophy,3,5,92,A-,3.67,Excellent
MDE 188,Foreign Language 2 (English for Specific Purposes - B1+ level ),3,5,69,C,2,Satisfactory
,,22,37,SA : 77.05,GA : 79.87,SPA : 2.67,GPA : 2.87
2021 - 2022. 1,,,,,,,
CSS 152,Physics 1,3,5,90,A-,3.67,Excellent
CSS 215,Introduction to Algorithms,3,5,87,B+,3.33,Good
CSS 252,Electronics,4,5,91,A-,3.67,Excellent
MDE 133,Turkish Language 3 (А2 level),2,3,80,B,3,Good
MDE 143,Physical Education 3,1,2,95,A,4,Excellent
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,97,A,4,Excellent
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,92,A-,3.67,Excellent
MDE 171,Modern History of Kazakhstan,3,5,94,A-,3.67,Excellent
,,18,29,SA : 90.28,GA : 82.72,SPA : 3.59,GPA : 3.07
2021 - 2022. 2,,,,,,,
CSS 220,Advanced Algorithms,3,5,87,B+,3.33,Good
CSS 254,Digital design,3,5,87,B+,3.33,Good
MAT 251,Probability and Mathematical Statictics,4,5,81,B,3,Good
MDE 134,Turkish Language 4 (А2 level),2,3,84,B,3,Good
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,94,A-,3.67,Excellent
,,13,20,SA : 85.75,GA : 83.2,SPA : 3.23,GPA : 3.09
2022 - 2023. 1,,,,,,,
CSS 214,Introduction to iOS Programming,3,5,84,B,3,Good
CSS 324,Introduction to Machine Learning,3,5,100,A,4,Excellent
CSS 341,Computer organization and architecture,3,5,100,A,4,Excellent
CSS 380,Industrial practice 1,1,1,100,P,,Pass
CSS 439,Distributed Big Data Systems,3,5,100,A,4,Excellent
MDE 167,Leadership,3,5,78,B-,2.67,Good
,,16,26,SA : 92.4,GA : 84.72,SPA : 3.53,GPA : 3.17
2022 - 2023. 2,,,,,,,
CSS 309,Low-level Architecture,3,5,100,A,4,Excellent
CSS 342,Software engineering,3,5,95,A,4,Excellent
CSS 381,Industrial practice 2,1,1,100,A,4,Excellent
INF 324,Computer vision,3,5,91,A-,3.67,Excellent
INF 337,Deep Learning,3,5,94,A-,3.67,Excellent
INF 423,Statistics and Visualization for Data Analysis,3,5,100,A,4,Excellent
MDE 154,Module of Social and Political Knowledge (Psychology),1,2,94,A-,3.67,Excellent
,,17,28,SA : 96,GA : 86.49,SPA : 3.86,GPA : 3.27
2023 - 2024. 1,,,,,,,
CSS 410,Research tools and methods,3,5,53,IP,,In progress
CSS 450,Industrial project (Introduction),3,5,56,IP,,In progress
CSS 451,Industrial project (Development),3,5,56,IP,,In progress
CSS 452,Industrial project (Design),3,5,56,IP,,In progress
CSS 453,Industrial project (Testing),3,5,56,IP,,In progress
CSS 480,Industrial practice 3,2,3,,IP,,In progress
CSS 481,Industrial practice 3,1,2,,IP,,In progress
,,18,30,SA : 0,GA : 86.49,SPA : 0,GPA : 3.27
Total Internal Credits : 111,,Total credits/ECTS : 180,,Grand Average : 86.49,,Grand GPA : 3.27,
