Course code,Course title,Internal Credit,Credit / ECTS,Grade,Letter Grade,Point,Traditional
2020 - 2021. 1,,,,,,,
CEC 101,General English (A1 level),6,6,84,P,,Pass
CSS 105,Fundamentals of Programming,4,5,70,C+,2.33,Good
MAT 151,Linear Algebra,3,5,89,B+,3.33,Good
MAT 153,Mathematics for Computer Science 1,3,5,87,B+,3.33,Good
MDE 131,Turkish Language 1 (А1 level),2,3,87,B+,3.33,Good
MDE 141,Physical Education 1,1,2,95,A,4,Excellent
,,19,26,SA : 84.05,GA : 84.05,SPA : 3.15,GPA : 3.15
2020 - 2021. 2,,,,,,,
CEC 102,General English (A2 level),6,6,84,P,,Pass
INF 106,Information and Communications Technologies (Computer Science),3,5,79,B-,2.67,Good
MAT 154,Mathematics for Computer Science 2,3,5,70,C+,2.33,Good
MAT 156,Discrete Mathematics,3,5,58,D+,1.33,Satisfactory
MDE 132,Turkish Language 2 (А1 level),2,3,92,A-,3.67,Excellent
MDE 142,Physical Education 2,1,2,95,A,4,Excellent
MDE 171,Modern History of Kazakhstan,3,5,90,A-,3.67,Excellent
,,21,31,SA : 78.04,GA : 80.71,SPA : 2.76,GPA : 2.93
2021 - 2022. 1,,,,,,,
CSS 108,Programming Technologies and Educational Practice,3,5,77,B-,2.67,Good
CSS 152,Physics 1,3,5,59,D+,1.33,Satisfactory
INF 202,Database Management Systems 1,3,5,71,C+,2.33,Good
INF 231,Web programming: front end,3,5,96,A,4,Excellent
MDE 113,Kazakh Language 1 (B1 level),3,5,90,A-,3.67,Excellent
MDE 133,Turkish Language 3 (А2 level),2,3,84,B,3,Good
MDE 143,Physical Education 3,1,2,100,A,4,Excellent
MDE 190,Foreign Language 1 (English for Specific Purposes - B1 level ),3,5,80,B,3,Good
,,21,35,SA : 80.49,GA : 80.61,SPA : 2.91,GPA : 2.92
2021 - 2022. 2,,,,,,,
CSS 215,Introduction to Algorithms,3,5,76,B-,2.67,Good
INF 232,Web programming: back end,4,5,100,A,4,Excellent
INF 305,Database Management Systems 2,3,5,77,B-,2.67,Good
INF 313,Computer networks 1,3,5,86,B+,3.33,Good
MDE 114,Kazakh Language 2 (B1 level),3,5,71,C+,2.33,Good
MDE 134,Turkish Language 4 (А2 level),2,3,96,A,4,Excellent
MDE 144,Physical Education 4,1,2,95,A,4,Excellent
MDE 191,Foreign Language 2 (English for Specific Purposes - B1+ level ),3,5,85,B+,3.33,Good
,,22,35,SA : 84.37,GA : 81.76,SPA : 3.19,GPA : 3.01
2022 - 2023. 1,,,,,,,
CSS 214,Introduction to iOS Programming,3,5,94,A-,3.67,Excellent
CSS 220,Advanced Algorithms,3,5,77,B-,2.67,Good
CSS 380,Industrial practice 1,1,1,70,P,,Pass
CSS 417,Linux Administration,3,5,70,C+,2.33,Good
INF 357,Introduction to Unity programming,4,5,83,B,3,Good
MAT 251,Probability and Mathematical Statictics,4,5,72,C+,2.33,Good
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,70,C+,2.33,Good
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,77,B-,2.67,Good
MDE 162,Law,3,5,92,A-,3.67,Excellent
,,23,35,SA : 80.41,GA : 81.45,SPA : 2.89,GPA : 2.98
2022 - 2023. 2,,,,,,,
CSS 381,Industrial practice 2,1,1,70,C+,2.33,Good
INF 228,UX/UI design,3,5,98,A,4,Excellent
INF 368,The Go programming language,3,5,98,A,4,Excellent
INF 386,Software Testing Foundations,3,5,65,C,2,Satisfactory
INF 405,Personal Development in Computer Science,3,5,91,A-,3.67,Excellent
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,98,A,4,Excellent
MDE 154,Module of Social and Political Knowledge (Psychology),1,2,96,A,4,Excellent
MDE 172,Philosophy,3,5,90,A-,3.67,Excellent
,,18,30,SA : 88.93,GA : 82.7,SPA : 3.5,GPA : 3.07
2023 - 2024. 1,,,,,,,
CSS 410,Research tools and methods,3,5,55,IP,,In progress
CSS 450,Industrial project (Introduction),3,5,60,IP,,In progress
CSS 451,Industrial project (Development),3,5,60,IP,,In progress
CSS 452,Industrial project (Design),3,5,60,IP,,In progress
CSS 453,Industrial project (Testing),3,5,60,IP,,In progress
CSS 480,Industrial practice 3,2,3,,IP,,In progress
CSS 481,Industrial practice 3,1,2,,IP,,In progress
,,18,30,SA : 0,GA : 82.7,SPA : 0,GPA : 3.07
Total Internal Credits : 124,,Total credits/ECTS : 192,,Grand Average : 82.7,,Grand GPA : 3.07,
,,,,,,,
Prepared Date : 12.18.2023,,,,,,,
Notes :,,,,,,,
* : Repeated course,GA : Grade Average in Percent,GPA : Grade point average (out of 4.0),,,,,
** : Transfered course,SA : Semester Average in Percent,SPA : Semester point average (out of 4.0),,,,,
,,,,,,,
Grade,,,,,,,
In Percent,Alphabetic,In Points,Traditional,,,,
95 - 100,A,4,Excellent,,,,
90 - 94,A-,3.67,,,,,
85 - 89,B+,3.33,Good,,,,
80 - 84,B,3,,,,,
75 - 79,B-,2.67,,,,,
70 - 74,C+,2.33,,,,,
65 - 69,C,2,Satisfactory,,,,
60 - 64,C-,1.67,,,,,
55 - 59,D+,1.33,,,,,
50 - 54,D,1,,,,,
25 - 49,FX,0,Unsatisfactory,,,,
0 - 24,F,0,,,,,
"C + (good) was commissioned in accordance with the order of the MES of the Republic of Kazakhstan No. 563 of October 12, 2018.
Courses that are excluded from GPA calculation have following grades: P - Pass (50%-100%); NP - Not Pass (0%-49%).",,,,,,,
"Furmulae for calculating grand and semester grade indicators:
GPA = Sum of (Point * Credit) / Sum of Credits
SPA = Sum of (Point * Credit) in semester / Sum of Credits in semester
GA = Sum of (Grade * Credit) / Sum of Credits
SA = Sum of (Grade * Credit) in semester / Sum of Credits in semester",,,,,,,
