Course code,Course title,Internal Credit,Credit / ECTS,Grade,Letter Grade,Point,Traditional
2020 - 2021. 1,,,,,,,
CSS 105,Fundamentals of Programming,4,5,70,C+,2.33,Good
MAT 151,Linear Algebra,3,5,83,B,3,Good
MAT 153,Mathematics for Computer Science 1,3,5,85,B+,3.33,Good
MDE 104,Foreign Language 1 (English for Specific Purposes - B2 level),3,5,95,A,4,Excellent
MDE 135,Turkish Language 1 (B1 level),2,3,100,A,4,Excellent
MDE 141,Physical Education 1,1,2,95,A,4,Excellent
MDE 171,Modern History of Kazakhstan,3,5,96,A,4,Excellent
,,19,30,SA : 87.83,GA : 87.83,SPA : 3.44,GPA : 3.44
2020 - 2021. 2,,,,,,,
CSS 108,Programming Technologies and Educational Practice,3,5,63,C-,1.67,Satisfactory
INF 106,Information and Communications Technologies (Computer Science),3,5,95,A,4,Excellent
MAT 154,Mathematics for Computer Science 2,3,5,90,A-,3.67,Excellent
MAT 156,Discrete Mathematics,3,5,95,A,4,Excellent
MDE 106,Foreign Language 2 (English for Specific Purposes - B2+ level),3,5,100,A,4,Excellent
MDE 136,Turkish Language 2 (B1 level),2,3,98,A,4,Excellent
MDE 142,Physical Education 2,1,2,95,A,4,Excellent
,,18,30,SA : 89.97,GA : 88.9,SPA : 3.56,GPA : 3.5
2021 - 2022. 1,,,,,,,
CSS 152,Physics 1,3,5,55,D+,1.33,Satisfactory
CSS 215,Introduction to Algorithms,3,5,80,B,3,Good
INF 202,Database Management Systems 1,3,5,82,B,3,Good
INF 231,Web programming: front end,3,5,96,A,4,Excellent
MDE 123,Russian Language 1 (B1 level),3,5,86,B+,3.33,Good
MDE 137,Turkish Language 3 (B2 level),2,3,95,A,4,Excellent
MDE 143,Physical Education 3,1,2,90,A-,3.67,Excellent
,,18,30,SA : 82,GA : 86.6,SPA : 3.09,GPA : 3.36
2021 - 2022. 2,,,,,,,
CSS 220,Advanced Algorithms,3,5,70,C+,2.33,Good
INF 232,Web programming: back end,4,5,60,C-,1.67,Satisfactory
INF 305,Database Management Systems 2,3,5,70,C+,2.33,Good
INF 313,Computer networks 1,3,5,83,B,3,Good
MDE 124,Russian Language 2 (B1 level),3,5,80,B,3,Good
MDE 138,Turkish Language 4 (B2 level),2,3,80,B,3,Good
MDE 144,Physical Education 4,1,2,85,B+,3.33,Good
MDE 154,Module of Social and Political Knowledge (Psychology),1,2,96,A,4,Excellent
,,20,32,SA : 75.53,GA : 83.7,SPA : 2.67,GPA : 3.18
2022 - 2023. 1,,,,,,,
CSS 216,Mobile Programming,3,5,61,C-,1.67,Satisfactory
CSS 380,Industrial practice 1,1,1,70,P,,Pass
INF 317,Python for data analysis,3,5,70,C+,2.33,Good
INF 323,Data analysis,3,5,90,A-,3.67,Excellent
MAT 251,Probability and Mathematical Statictics,4,5,66,C,2,Satisfactory
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,80,B,3,Good
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,100,A,4,Excellent
MDE 162,Law,3,5,80,B,3,Good
,,19,30,SA : 75.69,GA : 82.16,SPA : 2.67,GPA : 3.08
2022 - 2023. 2,,,,,,,
CSS 381,Industrial practice 2,1,1,70,C+,2.33,Good
INF 363,Advanced VFX and Post Production,3,5,62,C-,1.67,Satisfactory
INF 369,Data visuallisation and storytelling,3,5,87,B+,3.33,Good
INF 383,Business Analysis Foundations,3,5,68,C,2,Satisfactory
INF 405,Personal Development in Computer Science,3,5,82,B,3,Good
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,96,A,4,Excellent
MDE 172,Philosophy,3,5,91,A-,3.67,Excellent
,,17,28,SA : 79,GA : 81.66,SPA : 2.81,GPA : 3.04
2023 - 2024. 1,,,,,,,
CSS 410,Research tools and methods,3,5,,IP,,In progress
CSS 450,Industrial project (Introduction),3,5,48,IP,,In progress
CSS 451,Industrial project (Development),3,5,48,IP,,In progress
CSS 452,Industrial project (Design),3,5,48,IP,,In progress
CSS 453,Industrial project (Testing),3,5,48,IP,,In progress
CSS 480,Industrial practice 3,2,3,,IP,,In progress
CSS 481,Industrial practice 3,1,2,,IP,,In progress
,,18,30,SA : 0,GA : 81.66,SPA : 0,GPA : 3.04
Total Internal Credits : 111,,Total credits/ECTS : 180,,Grand Average : 81.66,,Grand GPA : 3.04,
