Course code,Course title,Internal Credit,Credit / ECTS,Grade,Letter Grade,Point,Traditional
2020 - 2021. 1,,,,,,,
CSS 105,Fundamentals of Programming,4,5,70,C+,2.33,Good
MAT 151,Linear Algebra,3,5,100,A,4,Excellent
MAT 153,Mathematics for Computer Science 1,3,5,86,B+,3.33,Good
MDE 104,Foreign Language 1 (English for Specific Purposes - B2 level),3,5,92,A-,3.67,Excellent
MDE 131,Turkish Language 1 (А1 level),2,3,93,A-,3.67,Excellent
MDE 141,Physical Education 1,1,2,95,A,4,Excellent
MDE 171,Modern History of Kazakhstan,3,5,96,A,4,Excellent
,,19,30,SA : 89.63,GA : 89.63,SPA : 3.52,GPA : 3.52
2020 - 2021. 2,,,,,,,
CSS 108,Programming Technologies and Educational Practice,3,5,66,C,2,Satisfactory
INF 106,Information and Communications Technologies (Computer Science),3,5,92,A-,3.67,Excellent
MAT 154,Mathematics for Computer Science 2,3,5,67,C,2,Satisfactory
MAT 156,Discrete Mathematics,3,5,59,D+,1.33,Satisfactory
MDE 106,Foreign Language 2 (English for Specific Purposes - B2+ level),3,5,87,B+,3.33,Good
MDE 132,Turkish Language 2 (А1 level),2,3,95,A,4,Excellent
MDE 142,Physical Education 2,1,2,95,A,4,Excellent
MDE 144,Physical Education 4,1,2,100,A,4,Excellent
,,19,32,SA : 79.06,GA : 84.18,SPA : 2.8,GPA : 3.15
2021 - 2022. 1,,,,,,,
CSS 152,Physics 1,3,5,68,C,2,Satisfactory
CSS 215,Introduction to Algorithms,3,5,78,B-,2.67,Good
INF 202,Database Management Systems 1,3,5,100,A,4,Excellent
INF 231,Web programming: front end,3,5,91,A-,3.67,Excellent
MDE 113,Kazakh Language 1 (B1 level),3,5,95,A,4,Excellent
MDE 133,Turkish Language 3 (А2 level),2,3,98,A,4,Excellent
MDE 143,Physical Education 3,1,2,95,A,4,Excellent
,,18,30,SA : 88.13,GA : 85.47,SPA : 3.39,GPA : 3.23
2021 - 2022. 2,,,,,,,
CSS 220,Advanced Algorithms,3,5,82,B,3,Good
INF 232,Web programming: back end,4,5,88,B+,3.33,Good
INF 305,Database Management Systems 2,3,5,74,C+,2.33,Good
INF 313,Computer networks 1,3,5,77,B-,2.67,Good
MDE 114,Kazakh Language 2 (B1 level),3,5,91,A-,3.67,Excellent
MDE 134,Turkish Language 4 (А2 level),2,3,99,A,4,Excellent
,,18,28,SA : 84.18,GA : 85.17,SPA : 3.11,GPA : 3.2
2022 - 2023. 1,,,,,,,
CSS 216,Mobile Programming,3,5,78,B-,2.67,Good
CSS 380,Industrial practice 1,1,1,100,P,,Pass
INF 312,Engineering and computer graphics,3,5,95,A,4,Excellent
INF 324,Computer vision,3,5,91,A-,3.67,Excellent
MAT 251,Probability and Mathematical Statictics,4,5,77,B-,2.67,Good
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,84,B,3,Good
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,80,B,3,Good
MDE 162,Law,3,5,100,A,4,Excellent
,,19,30,SA : 87.34,GA : 85.59,SPA : 3.35,GPA : 3.23
2022 - 2023. 2,,,,,,,
CSS 381,Industrial practice 2,1,1,100,A,4,Excellent
INF 332,Enterprise Architecture,3,5,70,C+,2.33,Good
INF 333,Server Administration with Active Directory - Windows Server (Microsoft Certified Solutions Associate),3,5,70,C+,2.33,Good
INF 363,Advanced VFX and Post Production,3,5,67,C,2,Satisfactory
INF 369,Data visuallisation and storytelling,3,5,75,B-,2.67,Good
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,99,A,4,Excellent
MDE 154,Module of Social and Political Knowledge (Psychology),1,2,96,A,4,Excellent
MDE 172,Philosophy,3,5,89,B+,3.33,Good
,,18,30,SA : 78.17,GA : 84.35,SPA : 2.78,GPA : 3.15
2023 - 2024. 1,,,,,,,
CSS 410,Research tools and methods,3,5,59,IP,,In progress
CSS 480,Industrial practice 3,2,3,,IP,,In progress
CSS 481,Industrial practice 3,1,2,,IP,,In progress
INF 405,Personal Development in Computer Science,3,5,60,IP,,In progress
INF 415,Leadership in IT,3,5,48,IP,,In progress
INF 426,IT Asset Management,3,5,,IP,,In progress
INF 431,Accounting Information Systems,3,5,,IP,,In progress
,,18,30,SA : 0,GA : 84.35,SPA : 0,GPA : 3.15
Total Internal Credits : 111,,Total credits/ECTS : 180,,Grand Average : 84.35,,Grand GPA : 3.15,
