Course code,Course title,Internal Credit,Credit / ECTS,Grade,Letter Grade,Point,Traditional
2022 - 2023. 1,,,,,,,
CSS 105,Fundamentals of Programming,4,5,95,A,4,Excellent
CSS 108,Programming Technologies and Educational Practice,3,5,98,A,4,Excellent
CSS 152,Physics 1,3,5,82,B,3,Good
INF 106,Information and Communications Technologies (Computer Science),3,5,95,A,4,Excellent
INF 202,Database Management Systems 1,3,5,60,C-,1.67,Satisfactory
INF 231,Web programming: front end,4,5,65,C,2,Satisfactory
INF 232,Web programming: back end,3,5,65,C,2,Satisfactory
INF 322,Graphic Design,3,5,95,A,4,Excellent
INF 325,Enterpreneurship in information systems,3,5,92,A-,3.67,Excellent
INF 425,Wireless networks,3,5,63,C-,1.67,Satisfactory
MAT 151,Linear Algebra,3,5,95,A,4,Excellent
MAT 153,Mathematics for Computer Science 1,3,5,80,B,3,Good
MAT 154,Mathematics for Computer Science 2,3,5,98,A,4,Excellent
MAT 156,Discrete Mathematics,3,5,71,C+,2.33,Good
MAT 251,Probability and Mathematical Statictics,4,5,70,C+,2.33,Good
MDE 104,Foreign Language 1 (English for Academic Purposes - B2 level),3,5,90,A-,3.67,Excellent
MDE 106,Foreign Language 2 (English for Academic Purposes - B2+ level),3,5,76,B-,2.67,Good
MDE 113,Kazakh Language 1 (B1 level),3,5,90,A-,3.67,Excellent
MDE 114,Kazakh Language 2 (B1 level),3,5,95,A,4,Excellent
MDE 141,Physical Education 1,1,2,90,A-,3.67,Excellent
MDE 142,Physical Education 2,1,2,95,A,4,Excellent
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,95,A,4,Excellent
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,95,A,4,Excellent
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,95,A,4,Excellent
MDE 154,Module of Social and Political Knowledge (Psychology),1,2,77,B-,2.67,Good
MDE 161,Еconomy,3,5,98,A,4,Excellent
MDE 171,History of Kazakhstan,3,5,86,B+,3.33,Good
MDE 172,Philosophy,3,5,95,A,4,Excellent
MDE 190,Foreign Language 1 (English for Academic Purposes - B1 level ),3,5,90,A-,3.67,Excellent
MDE 201,Turkish Language 1 (B1 level) (Debate club),2,3,85,B+,3.33,Good
MDE 243,Physical Education 3 (Basketball),1,2,95,A,4,Excellent
MDE 244,Physical Education 4 (Basketball),1,2,95,A,4,Excellent
,,82,134,SA : 85.26,GA : 85.26,SPA : 3.3,GPA : 3.3
2022 - 2023. 2,,,,,,,
INF 228,UX/UI design,3,5,91,A-,3.67,Excellent
INF 305,Database Management Systems 2,3,5,77,B-,2.67,Good
INF 313,Computer networks 1,3,5,0,FX,0,Unsatisfactory
INF 325,Enterpreneurship in information systems,3,5,* 92,A-,3.67,Excellent
INF 328,3D modeling,3,5,58,D+,1.33,Satisfactory
INF 367,3D Animation And Visual Effects,3,5,0,F,0,Unsatisfactory
INF 370,User Interface Design,3,5,95,A,4,Excellent
MDE 115,Kazakh Language 1 (B2 level),3,5,* 95,A,4,Excellent
MDE 190,Foreign Language 1 (English for Academic Purposes - B1 level ),3,5,90,A-,3.67,Excellent
MDE 191,Foreign Language 2 (English for Academic Purposes - B1+ level ),3,5,76,B-,2.67,Good
MDE 202,Turkish Language 2 (B1 level) (Debate club),2,3,100,A,4,Excellent
,,32,53,SA : 67.08,GA : 79.6,SPA : 2.54,GPA : 3.05
2023 - 2024. 1,,,,,,,
CSS 215,Introduction to Algorithms,4,5,32,IP,,In progress
CSS 380,Industrial practice 1,1,1,,IP,,In progress
CSS 410,Research tools and methods,3,5,30,IP,,In progress
CSS 450,Industrial project (Introduction),3,5,31,IP,,In progress
CSS 451,Industrial project (Development),3,5,31,IP,,In progress
CSS 452,Industrial project (Design),3,5,31,IP,,In progress
CSS 453,Industrial project (Testing),3,5,31,IP,,In progress
CSS 480,Industrial practice 3,2,3,,IP,,In progress
CSS 481,Industrial practice 3,1,2,,IP,,In progress
MDE 203,Turkish Language 3 (B2 level) (Debate club),2,3,53,IP,,In progress
,,25,39,SA : 0,GA : 79.6,SPA : 0,GPA : 3.05
Total Internal Credits : 105,,Total credits/ECTS : 172,,Grand Average : 79.6,,Grand GPA : 3.05,
