Course code,Course title,Internal Credit,Credit / ECTS,Grade,Letter Grade,Point,Traditional
2020 - 2021. 1,,,,,,,
CSS 105,Fundamentals of Programming,4,5,75,B-,2.67,Good
MAT 151,Linear Algebra,3,5,91,A-,3.67,Excellent
MAT 153,Mathematics for Computer Science 1,3,5,78,B-,2.67,Good
MDE 103,Foreign Language 1 (English for Specific Purposes - B1 level ),3,5,91,A-,3.67,Excellent
MDE 131,Turkish Language 1 (А1 level),2,3,91,A-,3.67,Excellent
MDE 143,Physical Education 3,1,2,95,A,4,Excellent
MDE 171,Modern History of Kazakhstan,3,5,98,A,4,Excellent
,,19,30,SA : 87.6,GA : 87.6,SPA : 3.41,GPA : 3.41
2020 - 2021. 2,,,,,,,
CSS 108,Programming Technologies and Educational Practice,3,5,55,D+,1.33,Satisfactory
INF 106,Information and Communications Technologies (Computer Science),3,5,60,C-,1.67,Satisfactory
MAT 154,Mathematics for Computer Science 2,3,5,62,C-,1.67,Satisfactory
MAT 156,Discrete Mathematics,3,5,0,F,0,Unsatisfactory
MDE 132,Turkish Language 2 (А1 level),2,3,75,B-,2.67,Good
MDE 142,Physical Education 2,1,2,95,A,4,Excellent
MDE 144,Physical Education 4,1,2,95,A,4,Excellent
MDE 188,Foreign Language 2 (English for Specific Purposes - B1+ level ),3,5,84,B,3,Good
,,19,32,SA : 59.69,GA : 73.19,SPA : 1.95,GPA : 2.66
2021 - 2022. 1,,,,,,,
CSS 152,Physics 1,3,5,,W,,Withdraw
INF 202,Database Management Systems 1,3,5,57,D+,1.33,Satisfactory
INF 231,Web programming: front end,3,5,61,C-,1.67,Satisfactory
MDE 123,Russian Language 1 (B1 level),3,5,63,C-,1.67,Satisfactory
MDE 133,Turkish Language 3 (А2 level),2,3,54,D,1,Satisfactory
MDE 141,Physical Education 1,1,2,77,B-,2.67,Good
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,100,A,4,Excellent
,,16,27,SA : 64.59,GA : 70.94,SPA : 1.8,GPA : 2.43
2021 - 2022. 2,,,,,,,
CSS 215,Introduction to Algorithms,3,5,50,D,1,Satisfactory
INF 232,Web programming: back end,4,5,65,C,2,Satisfactory
INF 305,Database Management Systems 2,3,5,59,D+,1.33,Satisfactory
INF 313,Computer networks 1,3,5,77,B-,2.67,Good
MAT 156,Discrete Mathematics,3,5,52,D,1,Satisfactory
MDE 124,Russian Language 2 (B1 level),3,5,75,B-,2.67,Good
MDE 134,Turkish Language 4 (А2 level),2,3,71,C+,2.33,Good
,,21,33,SA : 63.73,GA : 71.98,SPA : 1.83,GPA : 2.36
2022 - 2023. 1,,,,,,,
CSS 152,Physics 1,3,5,55,D+,1.33,Satisfactory
CSS 324,Introduction to Machine Learning,3,5,0,F,0,Unsatisfactory
CSS 380,Industrial practice 1,1,1,100,P,,Pass
INF 323,Data analysis,3,5,75,B-,2.67,Good
INF 357,Introduction to Unity programming,4,5,52,D,1,Satisfactory
MAT 251,Probability and Mathematical Statictics,4,5,0,FX,0,Unsatisfactory
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,100,A,4,Excellent
MDE 162,Law,3,5,88,B+,3.33,Good
,,22,33,SA : 48.44,GA : 66.75,SPA : 1.55,GPA : 2.18
2022 - 2023. 2,,,,,,,
CSS 381,Industrial practice 2,1,1,100,A,4,Excellent
CSS 415,IT Management,3,5,84,B,3,Good
INF 333,Server Administration with Active Directory - Windows Server (Microsoft Certified Solutions Associate),3,5,63,C-,1.67,Satisfactory
INF 362,Design for Manufacture,3,5,73,C+,2.33,Good
INF 386,Software Testing Foundations,3,5,53,D,1,Satisfactory
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,87,B+,3.33,Good
MDE 154,Module of Social and Political Knowledge (Psychology),1,2,96,A,4,Excellent
,,15,25,SA : 73.24,GA : 67.71,SPA : 2.35,GPA : 2.21
2022 - 2023. 3,,,,,,,
MAT 251,Probability and Mathematical Statictics,4,5,0,F,0,Unsatisfactory
,,4,5,SA : 0,GA : 67.71,SPA : 0,GPA : 2.21
2023 - 2024. 1,,,,,,,
CSS 410,Research tools and methods,3,5,27,IP,,In progress
CSS 423,Applied Artificial Intelligence,3,5,60,IP,,In progress
CSS 480,Industrial practice 3,2,3,,IP,,In progress
CSS 481,Industrial practice 3,1,2,,IP,,In progress
INF 406,Data Ethics & Applied Analytics,3,5,31,IP,,In progress
INF 426,IT Asset Management,3,5,,IP,,In progress
MDE 172,Philosophy,3,5,51,IP,,In progress
,,18,30,SA : 0,GA : 67.71,SPA : 0,GPA : 2.21
Total Internal Credits : 106,,Total credits/ECTS : 170,,Grand Average : 67.71,,Grand GPA : 2.21,
