Course code,Course title,Internal Credit,Credit / ECTS,Grade,Letter Grade,Point,Traditional
2020 - 2021. 1,,,,,,,
CEC 102,General English (A2 level),6,6,88,P,,Pass
CSS 105,Fundamentals of Programming,4,5,75,B-,2.67,Good
MAT 151,Linear Algebra,3,5,88,B+,3.33,Good
MAT 153,Mathematics for Computer Science 1,3,5,70,C+,2.33,Good
MDE 131,Turkish Language 1 (А1 level),2,3,90,A-,3.67,Excellent
MDE 141,Physical Education 1,1,2,95,A,4,Excellent
MDE 171,Modern History of Kazakhstan,3,5,90,A-,3.67,Excellent
,,22,31,SA : 83,GA : 83,SPA : 3.16,GPA : 3.16
2020 - 2021. 2,,,,,,,
CSS 108,Programming Technologies and Educational Practice,3,5,77,B-,2.67,Good
INF 106,Information and Communications Technologies (Computer Science),3,5,87,B+,3.33,Good
MAT 154,Mathematics for Computer Science 2,3,5,74,C+,2.33,Good
MAT 156,Discrete Mathematics,3,5,71,C+,2.33,Good
MDE 103,Foreign Language 1 (English for Specific Purposes - B1 level ),3,5,78,B-,2.67,Good
MDE 132,Turkish Language 2 (А1 level),2,3,90,A-,3.67,Excellent
MDE 142,Physical Education 2,1,2,95,A,4,Excellent
,,18,30,SA : 79.83,GA : 81.27,SPA : 2.86,GPA : 2.99
2021 - 2022. 1,,,,,,,
CSS 152,Physics 1,3,5,55,D+,1.33,Satisfactory
CSS 215,Introduction to Algorithms,3,5,67,C,2,Satisfactory
INF 202,Database Management Systems 1,3,5,75,B-,2.67,Good
INF 231,Web programming: front end,3,5,100,A,4,Excellent
MDE 123,Russian Language 1 (B1 level),3,5,89,B+,3.33,Good
MDE 133,Turkish Language 3 (А2 level),2,3,64,C-,1.67,Satisfactory
MDE 143,Physical Education 3,1,2,95,A,4,Excellent
MDE 191,Foreign Language 2 (English for Specific Purposes - B1+ level ),3,5,76,B-,2.67,Good
,,21,35,SA : 76.91,GA : 79.58,SPA : 2.66,GPA : 2.86
2021 - 2022. 2,,,,,,,
CSS 220,Advanced Algorithms,3,5,80,B,3,Good
INF 232,Web programming: back end,4,5,93,A-,3.67,Excellent
INF 305,Database Management Systems 2,3,5,78,B-,2.67,Good
INF 313,Computer networks 1,3,5,78,B-,2.67,Good
MDE 124,Russian Language 2 (B1 level),3,5,90,A-,3.67,Excellent
MDE 134,Turkish Language 4 (А2 level),2,3,73,C+,2.33,Good
MDE 144,Physical Education 4,1,2,85,B+,3.33,Good
,,19,30,SA : 82.8,GA : 80.38,SPA : 3.07,GPA : 2.91
2022 - 2023. 1,,,,,,,
CSS 216,Mobile Programming,3,5,73,C+,2.33,Good
CSS 380,Industrial practice 1,1,1,70,P,,Pass
INF 328,3D modeling,3,5,95,A,4,Excellent
INF 357,Introduction to Unity programming,4,5,94,A-,3.67,Excellent
MAT 251,Probability and Mathematical Statictics,4,5,57,D+,1.33,Satisfactory
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,83,B,3,Good
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,89,B+,3.33,Good
MDE 162,Law,3,5,80,B,3,Good
,,20,30,SA : 80.66,GA : 80.44,SPA : 2.91,GPA : 2.91
2022 - 2023. 2,,,,,,,
CSS 381,Industrial practice 2,1,1,70,C+,2.33,Good
INF 363,Advanced VFX and Post Production,3,5,95,A,4,Excellent
INF 367,3D Animation And Visual Effects,3,5,82,B,3,Good
INF 368,The Go programming language,3,5,87,B+,3.33,Good
INF 386,Software Testing Foundations,3,5,79,B-,2.67,Good
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,92,A-,3.67,Excellent
MDE 154,Module of Social and Political Knowledge (Psychology),1,2,97,A,4,Excellent
MDE 172,Philosophy,3,5,83,B,3,Good
,,18,30,SA : 85.93,GA : 81.36,SPA : 3.26,GPA : 2.97
2023 - 2024. 1,,,,,,,
CSS 410,Research tools and methods,3,5,47,IP,,In progress
CSS 465,Project Management,3,5,,IP,,In progress
CSS 480,Industrial practice 3,2,3,,IP,,In progress
CSS 481,Industrial practice 3,1,2,,IP,,In progress
INF 338,Linux Administration,3,5,24,IP,,In progress
INF 405,Personal Development in Computer Science,3,5,59,IP,,In progress
INF 426,IT Asset Management,3,5,,IP,,In progress
,,18,30,SA : 0,GA : 81.36,SPA : 0,GPA : 2.97
Total Internal Credits : 118,,Total credits/ECTS : 186,,Grand Average : 81.36,,Grand GPA : 2.97,
