Course code,Course title,Internal Credit,Credit / ECTS,Grade,Letter Grade,Point,Traditional
2020 - 2021. 1,,,,,,,
CSS 105,Fundamentals of Programming,4,5,70,C+,2.33,Good
CSS 152,Physics 1,3,5,95,A,4,Excellent
INF 214,Architecture of Computer Systems,3,5,95,A,4,Excellent
MAT 151,Linear Algebra,3,5,95,A,4,Excellent
MAT 153,Mathematics for Computer Science 1,3,5,95,A,4,Excellent
MDE 103,Foreign Language 1 (English for Specific Purposes - B1 level ),3,5,85,B+,3.33,Good
MDE 104,Foreign Language 1 (English for Specific Purposes - B2 level),3,5,85,B+,3.33,Good
MDE 111,Kazakh Language 1 (А1 level/ for foreigners),3,5,95,A,4,Excellent
MDE 112,Kazakh Language 2 (А2 level/for foreigners),3,5,95,A,4,Excellent
MDE 131,Turkish Language 1 (А1 level),2,3,95,A,4,Excellent
MDE 141,Physical Education 1,1,2,95,A,4,Excellent
MDE 142,Physical Education 2,1,2,95,A,4,Excellent
MDE 143,Physical Education 3,1,2,95,A,4,Excellent
MDE 144,Physical Education 4,1,2,95,A,4,Excellent
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,95,A,4,Excellent
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,95,A,4,Excellent
,,36,60,SA : 91.25,GA : 91.25,SPA : 3.75,GPA : 3.75
2020 - 2021. 2,,,,,,,
CSS 108,Programming Technologies and Educational Practice,3,5,73,C+,2.33,Good
INF 106,Information and Communications Technologies (Computer Science),3,5,81,B,3,Good
MAT 154,Mathematics for Computer Science 2,3,5,83,B,3,Good
MAT 156,Discrete Mathematics,3,5,91,A-,3.67,Excellent
MDE 132,Turkish Language 2 (А1 level),2,3,92,A-,3.67,Excellent
,,14,23,SA : 83.3,GA : 89.05,SPA : 3.09,GPA : 3.57
2021 - 2022. 1,,,,,,,
INF 313,Computer networks 1,3,5,* 100,A,4,Excellent
INF 322,Graphic Design,3,5,* 70,C+,2.33,Good
MAT 251,Probability and Mathematical Statictics,4,5,* 90,A-,3.67,Excellent
MDE 133,Turkish Language 3 (А2 level),2,3,* 70,C+,2.33,Good
,,12,18,SA : 83.89,GA : 88.13,SPA : 3.17,GPA : 3.49
2021 - 2022. 2,,,,,,,
INF 202,Database Management Systems 1,3,5,* 70,C+,2.33,Good
INF 231,Web programming: front end,3,5,* 90,A-,3.67,Excellent
MDE 134,Turkish Language 4 (А2 level),2,3,* 90,A-,3.67,Excellent
MDE 172,Philosophy,3,5,* 70,C+,2.33,Good
,,11,18,SA : 78.89,GA : 86.73,SPA : 2.93,GPA : 3.41
2022 - 2023. 1,,,,,,,
CSS 215,Introduction to Algorithms,3,5,69,C,2,Satisfactory
CSS 380,Industrial practice 1,1,1,70,P,,Pass
INF 305,Database Management Systems 2,3,5,80,B,3,Good
INF 323,Data analysis,3,5,85,B+,3.33,Good
MDE 166,Еntrepreneurship,3,5,100,A,4,Excellent
MDE 171,History of Kazakhstan,3,5,87,B+,3.33,Good
,,16,26,SA : 84.2,GA : 86.29,SPA : 3.13,GPA : 3.36
2022 - 2023. 2,,,,,,,
CSS 220,Advanced Algorithms,3,5,0,AW,,Academic Withdraw
CSS 381,Industrial practice 2,1,1,70,C+,2.33,Good
CSS 415,IT Management,3,5,86,B+,3.33,Good
INF 232,Web programming: back end,3,5,78,B-,2.67,Good
INF 363,Advanced VFX and Post Production,3,5,75,B-,2.67,Good
INF 370,User Interface Design,3,5,86,B+,3.33,Good
INF 382,Business Process Modelling,3,5,90,A-,3.67,Excellent
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,97,A,4,Excellent
MDE 154,Module of Social and Political Knowledge (Psychology),1,2,98,A,4,Excellent
,,21,35,SA : 72.43,GA : 83.58,SPA : 2.76,GPA : 3.24
2023 - 2024. 1,,,,,,,
CSS 410,Research tools and methods,3,5,54,IP,,In progress
CSS 465,Project Management,3,5,,IP,,In progress
CSS 480,Industrial practice 3,2,3,,IP,,In progress
CSS 481,Industrial practice 3,1,2,,IP,,In progress
INF 228,UX/UI design,3,5,56,IP,,In progress
INF 405,Personal Development in Computer Science,3,5,60,IP,,In progress
INF 426,IT Asset Management,3,5,,IP,,In progress
,,18,30,SA : 0,GA : 83.58,SPA : 0,GPA : 3.24
Total Internal Credits : 110,,Total credits/ECTS : 180,,Grand Average : 83.58,,Grand GPA : 3.24,
