Course code,Course title,Internal Credit,Credit / ECTS,Grade,Letter Grade,Point,Traditional
2020 - 2021. 1,,,,,,,
CEC 102,General English (A2 level),6,6,90,P,,Pass
CSS 105,Fundamentals of Programming,4,5,99,A,4,Excellent
MAT 151,Linear Algebra,3,5,93,A-,3.67,Excellent
MAT 153,Mathematics for Computer Science 1,3,5,91,A-,3.67,Excellent
MDE 131,Turkish Language 1 (А1 level),2,3,95,A,4,Excellent
MDE 141,Physical Education 1,1,2,95,A,4,Excellent
MDE 171,Modern History of Kazakhstan,3,5,97,A,4,Excellent
,,22,31,SA : 95,GA : 95,SPA : 3.87,GPA : 3.87
2020 - 2021. 2,,,,,,,
CSS 108,Programming Technologies and Educational Practice,3,5,84,B,3,Good
INF 106,Information and Communications Technologies (Computer Science),3,5,95,A,4,Excellent
MAT 154,Mathematics for Computer Science 2,3,5,95,A,4,Excellent
MAT 156,Discrete Mathematics,3,5,87,B+,3.33,Good
MDE 103,Foreign Language 1 (English for Specific Purposes - B1 level ),3,5,83,B,3,Good
MDE 132,Turkish Language 2 (А1 level),2,3,98,A,4,Excellent
MDE 142,Physical Education 2,1,2,100,A,4,Excellent
MDE 144,Physical Education 4,1,2,100,A,4,Excellent
,,19,32,SA : 91.06,GA : 92.79,SPA : 3.58,GPA : 3.71
2021 - 2022. 1,,,,,,,
CSS 152,Physics 1,3,5,85,B+,3.33,Good
CSS 215,Introduction to Algorithms,3,5,95,A,4,Excellent
INF 202,Database Management Systems 1,3,5,100,A,4,Excellent
INF 231,Web programming: front end,3,5,96,A,4,Excellent
MDE 113,Kazakh Language 1 (B1 level),3,5,95,A,4,Excellent
MDE 133,Turkish Language 3 (А2 level),2,3,95,A,4,Excellent
MDE 143,Physical Education 3,1,2,95,A,4,Excellent
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,95,A,4,Excellent
MDE 191,Foreign Language 2 (English for Specific Purposes - B1+ level ),3,5,90,A-,3.67,Excellent
,,22,37,SA : 93.78,GA : 93.18,SPA : 3.86,GPA : 3.77
2021 - 2022. 2,,,,,,,
CSS 220,Advanced Algorithms,3,5,97,A,4,Excellent
INF 232,Web programming: back end,4,5,100,A,4,Excellent
INF 305,Database Management Systems 2,3,5,98,A,4,Excellent
INF 313,Computer networks 1,3,5,91,A-,3.67,Excellent
MDE 114,Kazakh Language 2 (B1 level),3,5,97,A,4,Excellent
MDE 134,Turkish Language 4 (А2 level),2,3,95,A,4,Excellent
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,94,A-,3.67,Excellent
,,19,30,SA : 96.27,GA : 93.93,SPA : 3.92,GPA : 3.81
2022 - 2023. 1,,,,,,,
CSS 324,Introduction to Machine Learning,3,5,100,A,4,Excellent
CSS 380,Industrial practice 1,1,1,70,P,,Pass
INF 317,Python for data analysis,3,5,99,A,4,Excellent
INF 323,Data analysis,3,5,100,A,4,Excellent
MAT 251,Probability and Mathematical Statictics,4,5,95,A,4,Excellent
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,88,B+,3.33,Good
MDE 162,Law,3,5,100,A,4,Excellent
,,18,28,SA : 98,GA : 94.66,SPA : 3.95,GPA : 3.83
2022 - 2023. 2,,,,,,,
CSS 381,Industrial practice 2,1,1,100,A,4,Excellent
CSS 415,IT Management,3,5,97,A,4,Excellent
INF 379,Introduction to self-driving cars,3,5,100,A,4,Excellent
INF 385,Big Data,3,5,100,A,4,Excellent
INF 392,Blockchain technology,3,5,90,A-,3.67,Excellent
MDE 154,Module of Social and Political Knowledge (Psychology),1,2,97,A,4,Excellent
MDE 172,Philosophy,3,5,93,A-,3.67,Excellent
,,17,28,SA : 96.21,GA : 94.9,SPA : 3.88,GPA : 3.84
2023 - 2024. 1,,,,,,,
CSS 410,Research tools and methods,3,5,56,IP,,In progress
CSS 450,Industrial project (Introduction),3,5,60,IP,,In progress
CSS 451,Industrial project (Development),3,5,60,IP,,In progress
CSS 452,Industrial project (Design),3,5,60,IP,,In progress
CSS 453,Industrial project (Testing),3,5,60,IP,,In progress
CSS 480,Industrial practice 3,2,3,,IP,,In progress
CSS 481,Industrial practice 3,1,2,,IP,,In progress
,,18,30,SA : 0,GA : 94.9,SPA : 0,GPA : 3.84
Total Internal Credits : 117,,Total credits/ECTS : 186,,Grand Average : 94.9,,Grand GPA : 3.84,
