Course code,Course title,Internal Credit,Credit / ECTS,Grade,Letter Grade,Point,Traditional
2020 - 2021. 1,,,,,,,
CEC 102,General English (A2 level),6,6,84,P,,Pass
CSS 105,Fundamentals of Programming,4,5,71,C+,2.33,Good
MAT 151,Linear Algebra,3,5,81,B,3,Good
MAT 153,Mathematics for Computer Science 1,3,5,68,C,2,Satisfactory
MDE 131,Turkish Language 1 (А1 level),2,3,92,A-,3.67,Excellent
MDE 141,Physical Education 1,1,2,95,A,4,Excellent
MDE 171,Modern History of Kazakhstan,3,5,94,A-,3.67,Excellent
,,22,31,SA : 81.44,GA : 81.44,SPA : 2.96,GPA : 2.96
2020 - 2021. 2,,,,,,,
CSS 108,Programming Technologies and Educational Practice,3,5,54,D,1,Satisfactory
INF 106,Information and Communications Technologies (Computer Science),3,5,91,A-,3.67,Excellent
MAT 154,Mathematics for Computer Science 2,3,5,52,D,1,Satisfactory
MAT 156,Discrete Mathematics,3,5,80,B,3,Good
MDE 103,Foreign Language 1 (English for Specific Purposes - B1 level ),3,5,85,B+,3.33,Good
MDE 132,Turkish Language 2 (А1 level),2,3,84,B,3,Good
MDE 142,Physical Education 2,1,2,95,A,4,Excellent
,,18,30,SA : 75.07,GA : 77.96,SPA : 2.57,GPA : 2.75
2021 - 2022. 1,,,,,,,
CSS 152,Physics 1,3,5,53,D,1,Satisfactory
CSS 215,Introduction to Algorithms,3,5,73,C+,2.33,Good
INF 202,Database Management Systems 1,3,5,86,B+,3.33,Good
INF 231,Web programming: front end,3,5,79,B-,2.67,Good
MDE 113,Kazakh Language 1 (B1 level),3,5,96,A,4,Excellent
MDE 133,Turkish Language 3 (А2 level),2,3,96,A,4,Excellent
MDE 143,Physical Education 3,1,2,92,A-,3.67,Excellent
MDE 191,Foreign Language 2 (English for Specific Purposes - B1+ level ),3,5,72,C+,2.33,Good
,,21,35,SA : 79.06,GA : 78.39,SPA : 2.79,GPA : 2.76
2021 - 2022. 2,,,,,,,
CSS 220,Advanced Algorithms,3,5,85,B+,3.33,Good
INF 232,Web programming: back end,4,5,98,A,4,Excellent
INF 305,Database Management Systems 2,3,5,83,B,3,Good
INF 313,Computer networks 1,3,5,81,B,3,Good
MDE 114,Kazakh Language 2 (B1 level),3,5,100,A,4,Excellent
MDE 134,Turkish Language 4 (А2 level),2,3,100,A,4,Excellent
MDE 144,Physical Education 4,1,2,100,A,4,Excellent
,,19,30,SA : 91.17,GA : 81.58,SPA : 3.56,GPA : 2.96
2022 - 2023. 1,,,,,,,
INF 314,Computer networks 2,3,5,100,A,4,Excellent
INF 345,Fundamentals of DevOps,3,5,91,A-,3.67,Excellent
INF 425,Wireless networks,3,5,90,A-,3.67,Excellent
MAT 251,Probability and Mathematical Statictics,4,5,69,C,2,Satisfactory
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,79,B-,2.67,Good
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,97,A,4,Excellent
MDE 166,Еntrepreneurship,3,5,94,A-,3.67,Excellent
,,18,29,SA : 88.69,GA : 82.97,SPA : 3.39,GPA : 3.04
2022 - 2023. 2,,,,,,,
CSS 375,RedHat - System Administration (I + II),3,5,97,A,4,Excellent
INF 332,Enterprise Architecture,3,5,89,B+,3.33,Good
INF 367,3D Animation And Visual Effects,3,5,52,D,1,Satisfactory
INF 378,AWS Cloud Computing,3,5,89,B+,3.33,Good
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,97,A,4,Excellent
MDE 154,Module of Social and Political Knowledge (Psychology),1,2,99,A,4,Excellent
MDE 172,Philosophy,3,5,91,A-,3.67,Excellent
,,17,29,SA : 85.59,GA : 83.39,SPA : 3.19,GPA : 3.07
2023 - 2024. 1,,,,,,,
CSS 380,Industrial practice 1,1,1,,IP,,In progress
CSS 410,Research tools and methods,3,5,60,IP,,In progress
CSS 450,Industrial project (Introduction),3,5,59,IP,,In progress
CSS 451,Industrial project (Development),3,5,59,IP,,In progress
CSS 452,Industrial project (Design),3,5,59,IP,,In progress
CSS 453,Industrial project (Testing),3,5,59,IP,,In progress
CSS 480,Industrial practice 3,2,3,,IP,,In progress
CSS 481,Industrial practice 3,1,,,IP,,In progress
,,19,31,SA : 0,GA : 83.39,SPA : 0,GPA : 3.07
Total Internal Credits : 115,,Total credits/ECTS : 184,,Grand Average : 83.39,,Grand GPA : 3.07,
