Course code,Course title,Internal Credit,Credit / ECTS,Grade,Letter Grade,Point,Traditional
2020 - 2021. 1,,,,,,,
CEC 102,General English (A2 level),6,6,91,P,,Pass
MAT 104,Linear Algebra and Analytic Geometry,3,5,100,A,4,Excellent
MAT 105,Introductory mathematics,2,3,100,P,,Pass
MCM 107,Fundamentals of Programming,2,3,94,A-,3.67,Excellent
MCM 111,Mathematical analysis 1,3,5,80,B,3,Good
MDE 131,Turkish Language 1 (А1 level),2,3,98,A,4,Excellent
MDE 141,Physical Education 1,1,2,95,A,4,Excellent
MDE 171,Modern History of Kazakhstan,3,5,100,A,4,Excellent
,,22,32,SA : 94.17,GA : 94.17,SPA : 3.74,GPA : 3.74
2020 - 2021. 2,,,,,,,
CSS 108,Programming Technologies and Educational Practice,3,5,100,A,4,Excellent
INF 101,Information and Communication Technologies,3,5,92,A-,3.67,Excellent
MAT 119,Additional chapters of linear algebra,2,3,100,A,4,Excellent
MCM 102,Mathematical analysis 2,4,6,74,C+,2.33,Good
MDE 103,Foreign Language 1 (English for Specific Purposes - B1 level ),3,5,90,A-,3.67,Excellent
MDE 132,Turkish Language 2 (А1 level),2,3,100,A,4,Excellent
MDE 142,Physical Education 2,1,2,95,A,4,Excellent
MDE 144,Physical Education 4,1,2,95,A,4,Excellent
MDE 172,Philosophy,3,5,96,A,4,Excellent
,,22,36,SA : 92.06,GA : 92.88,SPA : 3.63,GPA : 3.67
2021 - 2022. 1,,,,,,,
MAT 108,Algebra,3,5,72,C+,2.33,Good
MAT 201,Discrete mathematics,3,5,90,A-,3.67,Excellent
MAT 205,Ordinary differential equations,3,5,86,B+,3.33,Good
MCM 202,Mathematical analysis 3,3,5,83,B,3,Good
MDE 113,Kazakh Language 1 (B1 level),3,5,96,A,4,Excellent
MDE 133,Turkish Language 3 (А2 level),2,3,96,A,4,Excellent
MDE 143,Physical Education 3,1,2,95,A,4,Excellent
MDE 191,Foreign Language 2 (English for Specific Purposes - B1+ level ),3,5,85,B+,3.33,Good
,,21,35,SA : 86.8,GA : 90.62,SPA : 3.38,GPA : 3.56
2021 - 2022. 2,,,,,,,
MAT 221,Classical mechanics,3,5,80,B,3,Good
MAT 312,Theory of Probablility and Mathematical Statistics,3,5,92,A-,3.67,Excellent
MCM 201,Mathematical and Complex analysis,3,5,95,A,4,Excellent
MDE 114,Kazakh Language 2 (B1 level),3,5,96,A,4,Excellent
MDE 134,Turkish Language 4 (А2 level),2,3,95,A,4,Excellent
,,14,23,SA : 91.3,GA : 90.75,SPA : 3.71,GPA : 3.59
2022 - 2023. 1,,,,,,,
CSS 206,Database Management Systems 1,3,5,96,A,4,Excellent
CSS 330,Data wrangling and visualization,3,5,95,A,4,Excellent
MAT 320,Introduction to Partial Differential Equations,3,5,84,B,3,Good
MCM 302,Numerical methods,3,5,95,A,4,Excellent
MCM 304,Internship 1,1,1,100,A,4,Excellent
MCM 305,Internship 2,1,1,100,A,4,Excellent
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,96,A,4,Excellent
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,74,C+,2.33,Good
MDE 161,Еconomy,3,5,82,B,3,Good
,,19,31,SA : 90.32,GA : 90.66,SPA : 3.57,GPA : 3.59
2022 - 2023. 2,,,,,,,
INF 328,3D modeling,3,5,95,A,4,Excellent
INF 376,Natural Language Processing,3,5,96,A,4,Excellent
MAT 304,Equations of mathematical physics,3,5,83,B,3,Good
MAT 364,Cryptography,3,5,71,C+,2.33,Good
MAT 460,Theory of interest rates and random processes in life insurance,3,5,100,A,4,Excellent
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,97,A,4,Excellent
MDE 154,Module of Social and Political Knowledge (Psychology),1,2,96,A,4,Excellent
,,17,29,SA : 90.03,GA : 90.56,SPA : 3.54,GPA : 3.58
2023 - 2024. 1,,,,,,,
MAT 370,Methods of Scientific research,3,5,,IP,,In progress
MCM 401,Internship 3,2,3,,IP,,In progress
MCM 402,Internship 4,1,2,,IP,,In progress
MCM 448,Industrial project 1,3,5,,IP,,In progress
MCM 449,Industrial project 2,3,5,,IP,,In progress
MCM 450,Industrial project 3,3,5,,IP,,In progress
MCM 451,Industrial project 4,3,5,,IP,,In progress
,,18,30,SA : 0,GA : 90.56,SPA : 0,GPA : 3.58
Total Internal Credits : 115,,Total credits/ECTS : 186,,Grand Average : 90.56,,Grand GPA : 3.58,
