Course code,Course title,Internal Credit,Credit / ECTS,Grade,Letter Grade,Point,Traditional
2020 - 2021. 1,,,,,,,
CSS 105,Fundamentals of Programming,4,5,63,C-,1.67,Satisfactory
MAT 151,Linear Algebra,3,5,85,B+,3.33,Good
MAT 153,Mathematics for Computer Science 1,3,5,82,B,3,Good
MDE 103,Foreign Language 1 (English for Specific Purposes - B1 level ),3,5,98,A,4,Excellent
MDE 131,Turkish Language 1 (А1 level),2,3,79,B-,2.67,Good
MDE 171,Modern History of Kazakhstan,3,5,94,A-,3.67,Excellent
,,18,28,SA : 83.82,GA : 83.82,SPA : 3.08,GPA : 3.08
2020 - 2021. 2,,,,,,,
CSS 108,Programming Technologies and Educational Practice,3,5,51,D,1,Satisfactory
INF 106,Information and Communications Technologies (Computer Science),3,5,57,D+,1.33,Satisfactory
MAT 154,Mathematics for Computer Science 2,3,5,61,C-,1.67,Satisfactory
MAT 156,Discrete Mathematics,3,5,50,D,1,Satisfactory
MDE 132,Turkish Language 2 (А1 level),2,3,87,B+,3.33,Good
MDE 142,Physical Education 2,1,2,95,A,4,Excellent
MDE 188,Foreign Language 2 (English for Specific Purposes - B1+ level ),3,5,90,A-,3.67,Excellent
,,18,30,SA : 66.53,GA : 74.88,SPA : 2.04,GPA : 2.55
2021 - 2022. 1,,,,,,,
CSS 152,Physics 1,3,5,50,D,1,Satisfactory
CSS 215,Introduction to Algorithms,3,5,58,D+,1.33,Satisfactory
INF 202,Database Management Systems 1,3,5,71,C+,2.33,Good
INF 231,Web programming: front end,3,5,54,D,1,Satisfactory
MDE 123,Russian Language 1 (B1 level),3,5,75,B-,2.67,Good
MDE 133,Turkish Language 3 (А2 level),2,3,61,C-,1.67,Satisfactory
MDE 141,Physical Education 1,1,2,95,A,4,Excellent
MDE 143,Physical Education 3,1,2,100,A,4,Excellent
,,19,32,SA : 66.03,GA : 71.73,SPA : 1.96,GPA : 2.34
2021 - 2022. 2,,,,,,,
CSS 220,Advanced Algorithms,3,5,70,C+,2.33,Good
INF 232,Web programming: back end,4,5,63,C-,1.67,Satisfactory
INF 305,Database Management Systems 2,3,5,71,C+,2.33,Good
INF 313,Computer networks 1,3,5,58,D+,1.33,Satisfactory
MDE 124,Russian Language 2 (B1 level),3,5,76,B-,2.67,Good
MDE 134,Turkish Language 4 (А2 level),2,3,80,B,3,Good
MDE 144,Physical Education 4,1,2,100,A,4,Excellent
,,19,30,SA : 71,GA : 71.55,SPA : 2.29,GPA : 2.33
2022 - 2023. 1,,,,,,,
CSS 214,Introduction to iOS Programming,3,5,82,B,3,Good
CSS 380,Industrial practice 1,1,1,70,P,,Pass
CSS 439,Distributed Big Data Systems,3,5,,W,,Withdraw
INF 323,Data analysis,3,5,77,B-,2.67,Good
MAT 251,Probability and Mathematical Statictics,4,5,53,D,1,Satisfactory
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,82,B,3,Good
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,90,A-,3.67,Excellent
MDE 166,Еntrepreneurship,3,5,92,A-,3.67,Excellent
,,19,30,SA : 77.67,GA : 72.57,SPA : 2.71,GPA : 2.39
2022 - 2023. 2,,,,,,,
CSS 381,Industrial practice 2,1,1,70,C+,2.33,Good
CSS 415,IT Management,3,5,86,B+,3.33,Good
INF 362,Design for Manufacture,3,5,96,A,4,Excellent
INF 368,The Go programming language,3,5,78,B-,2.67,Good
INF 392,Blockchain technology,3,5,72,C+,2.33,Good
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,97,A,4,Excellent
MDE 154,Module of Social and Political Knowledge (Psychology),1,2,96,A,4,Excellent
MDE 172,Philosophy,3,5,76,B-,2.67,Good
,,18,30,SA : 83.2,GA : 74.4,SPA : 3.11,GPA : 2.51
2023 - 2024. 1,,,,,,,
CSS 410,Research tools and methods,3,5,51,IP,,In progress
CSS 450,Industrial project (Introduction),3,5,56,IP,,In progress
CSS 451,Industrial project (Development),3,5,56,IP,,In progress
CSS 452,Industrial project (Design),3,5,56,IP,,In progress
CSS 453,Industrial project (Testing),3,5,56,IP,,In progress
CSS 480,Industrial practice 3,2,3,,IP,,In progress
CSS 481,Industrial practice 3,1,2,,IP,,In progress
INF 330,Information storage management and virtualization,3,5,50,IP,,In progress
,,21,35,SA : 0,GA : 74.4,SPA : 0,GPA : 2.51
Total Internal Credits : 108,,Total credits/ECTS : 175,,Grand Average : 74.4,,Grand GPA : 2.51,
