Course code,Course title,Internal Credit,Credit / ECTS,Grade,Letter Grade,Point,Traditional
2020 - 2021. 1,,,,,,,
CSS 105,Fundamentals of Programming,4,5,79,B-,2.67,Good
MAT 151,Linear Algebra,3,5,100,A,4,Excellent
MAT 153,Mathematics for Computer Science 1,3,5,76,B-,2.67,Good
MDE 104,Foreign Language 1 (English for Specific Purposes - B2 level),3,5,93,A-,3.67,Excellent
MDE 131,Turkish Language 1 (А1 level),2,3,95,A,4,Excellent
MDE 141,Physical Education 1,1,2,95,A,4,Excellent
MDE 171,Modern History of Kazakhstan,3,5,100,A,4,Excellent
,,19,30,SA : 90.5,GA : 90.5,SPA : 3.5,GPA : 3.5
2020 - 2021. 2,,,,,,,
CSS 108,Programming Technologies and Educational Practice,3,5,72,C+,2.33,Good
INF 106,Information and Communications Technologies (Computer Science),3,5,90,A-,3.67,Excellent
MAT 154,Mathematics for Computer Science 2,3,5,70,C+,2.33,Good
MAT 156,Discrete Mathematics,3,5,70,C+,2.33,Good
MDE 106,Foreign Language 2 (English for Specific Purposes - B2+ level),3,5,94,A-,3.67,Excellent
MDE 132,Turkish Language 2 (А1 level),2,3,86,B+,3.33,Good
MDE 142,Physical Education 2,1,2,95,A,4,Excellent
MDE 144,Physical Education 4,1,2,91,A-,3.67,Excellent
,,19,32,SA : 81.56,GA : 85.89,SPA : 3.03,GPA : 3.26
2021 - 2022. 1,,,,,,,
CSS 152,Physics 1,3,5,51,D,1,Satisfactory
CSS 215,Introduction to Algorithms,3,5,87,B+,3.33,Good
INF 202,Database Management Systems 1,3,5,85,B+,3.33,Good
INF 231,Web programming: front end,3,5,76,B-,2.67,Good
MDE 113,Kazakh Language 1 (B1 level),3,5,91,A-,3.67,Excellent
MDE 133,Turkish Language 3 (А2 level),2,3,95,A,4,Excellent
MDE 143,Physical Education 3,1,2,95,A,4,Excellent
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,85,B+,3.33,Good
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,90,A-,3.67,Excellent
,,20,34,SA : 81.62,GA : 84.38,SPA : 3.06,GPA : 3.19
2021 - 2022. 2,,,,,,,
CSS 220,Advanced Algorithms,3,5,84,B,3,Good
INF 232,Web programming: back end,4,5,66,C,2,Satisfactory
INF 305,Database Management Systems 2,3,5,82,B,3,Good
INF 313,Computer networks 1,3,5,89,B+,3.33,Good
MDE 114,Kazakh Language 2 (B1 level),3,5,85,B+,3.33,Good
MDE 134,Turkish Language 4 (А2 level),2,3,100,A,4,Excellent
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,95,A,4,Excellent
MDE 154,Module of Social and Political Knowledge (Psychology),1,2,98,A,4,Excellent
,,20,32,SA : 84.88,GA : 84.5,SPA : 3.17,GPA : 3.18
2022 - 2023. 1,,,,,,,
CSS 223,C# Object Oriented Programming,3,5,95,A,4,Excellent
CSS 380,Industrial practice 1,1,1,100,P,,Pass
INF 312,Engineering and computer graphics,3,5,96,A,4,Excellent
INF 328,3D modeling,3,5,88,B+,3.33,Good
MAT 251,Probability and Mathematical Statictics,4,5,72,C+,2.33,Good
MDE 162,Law,3,5,100,A,4,Excellent
,,17,26,SA : 90.2,GA : 85.43,SPA : 3.53,GPA : 3.24
2022 - 2023. 2,,,,,,,
CSS 381,Industrial practice 2,1,1,100,A,4,Excellent
INF 333,Server Administration with Active Directory - Windows Server (Microsoft Certified Solutions Associate),3,5,91,A-,3.67,Excellent
INF 382,Business Process Modelling,3,5,93,A-,3.67,Excellent
INF 383,Business Analysis Foundations,3,5,76,B-,2.67,Good
INF 405,Personal Development in Computer Science,3,5,92,A-,3.67,Excellent
MDE 172,Philosophy,3,5,95,A,4,Excellent
,,16,26,SA : 89.81,GA : 86.07,SPA : 3.55,GPA : 3.29
2023 - 2024. 1,,,,,,,
CSS 410,Research tools and methods,3,5,58,IP,,In progress
CSS 480,Industrial practice 3,2,3,,IP,,In progress
CSS 481,Industrial practice 3,1,2,,IP,,In progress
INF 406,Data Ethics & Applied Analytics,3,5,56,IP,,In progress
INF 421,Security in Computer Networks,3,5,57,IP,,In progress
INF 425,Wireless networks,3,5,52,IP,,In progress
INF 433,ICT in Agriculture,3,5,58,IP,,In progress
,,18,30,SA : 0,GA : 86.07,SPA : 0,GPA : 3.29
Total Internal Credits : 111,,Total credits/ECTS : 180,,Grand Average : 86.07,,Grand GPA : 3.29,
