Пәннің коды,Пәннің атауы,Ішкі Кредит,Кредит / ECTS,Баға,Әріппен,Балл,Дәстүрлі жүйемен
2020 - 2021. 1,,,,,,,
CEC 102,Общий английский язык (уровень А2),6,6,64,P,,Зачет
CSS 105,Основы программирования,4,5,0,F,0,Неудовлетворительно
MAT 151,Линейная алгебра,3,5,0,F,0,Неудовлетворительно
MAT 153,Математика для компьютерных наук 1,3,5,0,F,0,Неудовлетворительно
MDE 131,Турецкий язык 1 (уровень А1),2,3,81,B,3,Хорошо
MDE 141,Физическая культура 1,1,2,95,A,4,Отлично
MDE 171,Современная история Казахстана,3,5,0,F,0,Неудовлетворительно
,,22,31,SA : 17.32,GA : 17.32,SPA : 0.68,GPA : 0.68
2020 - 2021. 2,,,,,,,
CSS 105,Основы программирования,4,5,55,D+,1.33,Удовлетворительно
INF 106,Информационно-коммуникационные технологии,3,5,85,B+,3.33,Хорошо
MAT 151,Линейная алгебра,3,5,99,A,4,Отлично
MAT 153,Математика для компьютерных наук 1,3,5,100,A,4,Отлично
MAT 156,Дискретная математика,3,5,80,B,3,Хорошо
MDE 103,Иностранный язык 1(английский язык - уровень B1),3,5,82,B,3,Хорошо
MDE 132,Турецкий язык 2 (уровень А1),2,3,82,B,3,Хорошо
MDE 142,Физическая культура 2,1,2,95,A,4,Отлично
MDE 171,Современная история Казахстана,3,5,100,A,4,Отлично
,,25,40,SA : 86.03,GA : 86.09,SPA : 3.26,GPA : 3.27
2021 - 2022. 1,,,,,,,
CSS 108,Технологии программирования и Учебная практика,3,5,77,B-,2.67,Хорошо
CSS 152,Физика 1,3,5,62,C-,1.67,Удовлетворительно
INF 202,Базы данных в ИС 3,3,5,86,B+,3.33,Хорошо
INF 231,Вэб программирование: фронт-энд,3,5,83,B,3,Хорошо
MAT 154,Математика для компьютерных наук 2,3,5,60,C-,1.67,Удовлетворительно
MDE 123,Русский язык 1 (уровень B1),3,5,91,A-,3.67,Отлично
MDE 133,Турецкий язык 3 (уровень А2),2,3,100,A,4,Отлично
MDE 143,Физическая культура 3,1,2,95,A,4,Отлично
MDE 191,Иностранный язык 2 (английский язык - уровень B1+),3,5,83,B,3,Хорошо
,,24,40,SA : 80,GA : 83.22,SPA : 2.88,GPA : 3.09
2021 - 2022. 2,,,,,,,
CSS 215,Введение в алгоритмы,3,5,78,B-,2.67,Хорошо
INF 232,Вэб программирование: бэк-энд,4,5,94,A-,3.67,Отлично
INF 305,Базы данных в ИС 2,3,5,71,C+,2.33,Хорошо
INF 313,Компьютерные сети 1,3,5,70,C+,2.33,Хорошо
MDE 124,Русский язык 2 (уровень B1),3,5,83,B,3,Хорошо
MDE 134,Турецкий язык 4 (уровень А2),2,3,100,A,4,Отлично
MDE 144,Физическая культура 4,1,2,100,A,4,Отлично
,,19,30,SA : 82.67,GA : 83.08,SPA : 3,GPA : 3.06
2022 - 2023. 1,,,,,,,
CSS 220,Продвинутые алгоритмы,3,5,100,A,4,Отлично
CSS 380,Индустриальная практика 1,1,1,100,P,,Зачет
INF 318,Введение в тестирование,3,5,98,A,4,Отлично
INF 322,Графический дизайн,3,5,95,A,4,Отлично
INF 328,3D моеделирование,3,5,95,A,4,Отлично
MAT 251,Теория вероятностей и математическая статистика,4,5,78,B-,2.67,Хорошо
MDE 151,Модуль социально-политических знаний (Политология),1,2,96,A,4,Отлично
MDE 152,Модуль социально-политических знаний (Социология),1,2,100,A,4,Отлично
MDE 162,Право,3,5,100,A,4,Отлично
,,22,35,SA : 94.76,GA : 85.74,SPA : 3.8,GPA : 3.23
2022 - 2023. 2,,,,,,,
CSS 381,Производственная практика 2,1,1,100,A,4,Отлично
INF 332,Архитектура предприятия,3,5,81,B,3,Хорошо
INF 363,Продвинутые визуальные эффекты и постпродакшн,3,5,90,A-,3.67,Отлично
INF 368,Язык программирования Go,3,5,98,A,4,Отлично
INF 371,Автоматизация в тестировании,3,5,96,A,4,Отлично
MDE 153,Модуль социально-политических знаний (Культурология),1,2,99,A,4,Отлично
MDE 154,Модуль социально-политических знаний (Психология),1,2,97,A,4,Отлично
MDE 172,Философия,3,5,94,A-,3.67,Отлично
,,18,30,SA : 92.9,GA : 86.94,SPA : 3.72,GPA : 3.32
2023 - 2024. 1,,,,,,,
CSS 410,Методы исследования и инструменты,3,5,55,IP,,В процессе
CSS 446,IT аудит,3,5,54,IP,,В процессе
CSS 465,Управление проектами,3,5,,IP,,В процессе
CSS 480,Производственная практика 3,2,3,,IP,,В процессе
CSS 481,Производственная практика 3,1,2,,IP,,В процессе
INF 405,Саморазвитие в области компьютерных наук,3,5,58,IP,,В процессе
INF 415,Лидерство в IT,3,5,51,IP,,В процессе
,,18,30,SA : 0,GA : 86.94,SPA : 0,GPA : 3.32
Жалпы ішкі кредит саны : 117,,Жалпы кредит/ECTS саны : 186,,Жалпы орталама баға (%) : 86.94,,Жалпы орталама балл : 3.32,
