Пәннің коды,Пәннің атауы,Ішкі Кредит,Кредит / ECTS,Баға,Әріппен,Балл,Дәстүрлі жүйемен
2020 - 2021. 1,,,,,,,
CSS 105,Основы программирования,4,5,90,A-,3.67,Отлично
MAT 151,Линейная алгебра,3,5,73,C+,2.33,Хорошо
MAT 153,Математика для компьютерных наук 1,3,5,94,A-,3.67,Отлично
MDE 103,Иностранный язык 1(английский язык - уровень B1),3,5,99,A,4,Отлично
MDE 135,Турецкий язык 1 (уровень B1),2,3,99,A,4,Отлично
MDE 141,Физическая культура 1,1,2,93,A-,3.67,Отлично
MDE 171,Современная история Казахстана,3,5,98,A,4,Отлично
,,19,30,SA : 91.77,GA : 91.77,SPA : 3.59,GPA : 3.59
2020 - 2021. 2,,,,,,,
CSS 108,Технологии программирования и Учебная практика,3,5,0,AW,,Academic Withdraw
INF 106,Информационно-коммуникационные технологии,3,5,90,A-,3.67,Отлично
MAT 154,Математика для компьютерных наук 2,3,5,85,B+,3.33,Хорошо
MAT 156,Дискретная математика,3,5,73,C+,2.33,Хорошо
MDE 136,Турецкий язык 2 (уровень B1),2,3,99,A,4,Отлично
MDE 142,Физическая культура 2,1,2,95,A,4,Отлично
MDE 188,Иностранный язык 2 (английский язык - уровень B1+),3,5,95,A,4,Отлично
,,18,30,SA : 73.4,GA : 82.58,SPA : 2.89,GPA : 3.24
2020 - 2021. 3,,,,,,,
CSS 108,Технологии программирования и Учебная практика,3,5,87,B+,3.33,Хорошо
,,3,5,SA : 87,GA : 89.83,SPA : 3.33,GPA : 3.52
2021 - 2022. 1,,,,,,,
CSS 152,Физика 1,3,5,75,B-,2.67,Хорошо
CSS 215,Введение в алгоритмы,3,5,80,B,3,Хорошо
INF 202,Базы данных в ИС 3,3,5,80,B,3,Хорошо
INF 231,Вэб программирование: фронт-энд,3,5,84,B,3,Хорошо
MDE 123,Русский язык 1 (уровень B1),3,5,80,B,3,Хорошо
MDE 137,Турецкий язык 3 (уровень B2),2,3,73,C+,2.33,Хорошо
MDE 143,Физическая культура 3,1,2,90,A-,3.67,Отлично
,,18,30,SA : 79.8,GA : 86.49,SPA : 2.92,GPA : 3.32
2021 - 2022. 2,,,,,,,
CSS 220,Продвинутые алгоритмы,3,5,82,B,3,Хорошо
INF 232,Вэб программирование: бэк-энд,4,5,86,B+,3.33,Хорошо
INF 305,Базы данных в ИС 2,3,5,74,C+,2.33,Хорошо
MDE 124,Русский язык 2 (уровень B1),3,5,82,B,3,Хорошо
MDE 138,Турецкий язык 4 (уровень B2),2,3,75,B-,2.67,Хорошо
MDE 144,Физическая культура 4,1,2,89,B+,3.33,Хорошо
MDE 153,Модуль социально-политических знаний (Культурология),1,2,81,B,3,Хорошо
MDE 154,Модуль социально-политических знаний (Психология),1,2,95,A,4,Отлично
,,18,29,SA : 81.9,GA : 85.37,SPA : 3,GPA : 3.24
2022 - 2023. 1,,,,,,,
CSS 223,С# Объектно-ориентированное программирование,3,5,72,C+,2.33,Хорошо
CSS 380,Индустриальная практика 1,1,1,100,P,,Зачет
INF 323,Анализ данных,3,5,95,A,4,Отлично
INF 361,Теория информации,3,5,70,C+,2.33,Хорошо
MAT 251,Теория вероятностей и математическая статистика,4,5,65,C,2,Удовлетворительно
MDE 151,Модуль социально-политических знаний (Политология),1,2,72,C+,2.33,Хорошо
MDE 152,Модуль социально-политических знаний (Социология),1,2,80,B,3,Хорошо
MDE 161,Экономика,3,5,71,C+,2.33,Хорошо
,,19,30,SA : 74.79,GA : 83.3,SPA : 2.61,GPA : 3.12
2022 - 2023. 2,,,,,,,
CSS 381,Производственная практика 2,1,1,100,A,4,Отлично
INF 261,Игровая физика,3,5,100,A,4,Отлично
INF 313,Компьютерные сети 1,3,5,50,D,1,Удовлетворительно
INF 369,Визуализация данных и рассказывание историй,3,5,65,C,2,Удовлетворительно
INF 382,Моделирование бизнес-процессов,3,5,90,A-,3.67,Отлично
INF 392,Технология блокчейн,3,5,57,D+,1.33,Удовлетворительно
MDE 172,Философия,3,5,85,B+,3.33,Хорошо
,,19,31,SA : 75.32,GA : 81.92,SPA : 2.6,GPA : 3.03
2023 - 2024. 1,,,,,,,
CSS 410,Методы исследования и инструменты,3,5,53,IP,,В процессе
CSS 450,Индустриальный проект (Введение),3,5,45,IP,,В процессе
CSS 451,Индустриальный проект (Разработка),3,5,45,IP,,В процессе
CSS 452,Индустриальный проект (Дизайн),3,5,45,IP,,В процессе
CSS 453,Индустриальный проект (Тестирование),3,5,45,IP,,В процессе
CSS 480,Производственная практика 3,2,3,,IP,,В процессе
CSS 481,Производственная практика 3,1,2,,IP,,В процессе
,,18,30,SA : 0,GA : 81.92,SPA : 0,GPA : 3.03
Жалпы ішкі кредит саны : 111,,Жалпы кредит/ECTS саны : 180,,Жалпы орталама баға (%) : 81.92,,Жалпы орталама балл : 3.03,
