Course code,Course title,Internal Credit,Credit / ECTS,Grade,Letter Grade,Point,Traditional
2020 - 2021. 1,,,,,,,
CSS 105,Fundamentals of Programming,4,5,94,A-,3.67,Excellent
INF 106,Information and Communications Technologies (Computer Science),3,5,82,B,3,Good
MAT 151,Linear Algebra,3,5,89,B+,3.33,Good
MAT 153,Mathematics for Computer Science 1,3,5,80,B,3,Good
MDE 103,Foreign Language 1 (English for Specific Purposes - B1 level ),3,5,87,B+,3.33,Good
MDE 131,Turkish Language 1 (А1 level),2,3,90,A-,3.67,Excellent
MDE 141,Physical Education 1,1,2,95,A,4,Excellent
,,19,30,SA : 87.33,GA : 87.33,SPA : 3.36,GPA : 3.36
2020 - 2021. 2,,,,,,,
CSS 108,Programming Technologies and Educational Practice,3,5,68,C,2,Satisfactory
CSS 225,Web programming fundamentals,3,5,98,A,4,Excellent
MAT 154,Mathematics for Computer Science 2,3,5,83,B,3,Good
MAT 156,Discrete Mathematics,3,5,71,C+,2.33,Good
MDE 132,Turkish Language 2 (А1 level),2,3,89,B+,3.33,Good
MDE 142,Physical Education 2,1,2,95,A,4,Excellent
MDE 144,Physical Education 4,1,2,95,A,4,Excellent
MDE 188,Foreign Language 2 (English for Specific Purposes - B1+ level ),3,5,88,B+,3.33,Good
,,19,32,SA : 83.97,GA : 85.6,SPA : 3.1,GPA : 3.23
2021 - 2022. 1,,,,,,,
CSS 152,Physics 1,3,5,82,B,3,Good
CSS 215,Introduction to Algorithms,3,5,90,A-,3.67,Excellent
CSS 252,Electronics,4,5,90,A-,3.67,Excellent
MDE 113,Kazakh Language 1 (B1 level),3,5,82,B,3,Good
MDE 133,Turkish Language 3 (А2 level),2,3,97,A,4,Excellent
MDE 143,Physical Education 3,1,2,100,A,4,Excellent
MDE 171,Modern History of Kazakhstan,3,5,95,A,4,Excellent
,,19,30,SA : 89.53,GA : 86.88,SPA : 3.56,GPA : 3.33
2021 - 2022. 2,,,,,,,
CSS 220,Advanced Algorithms,3,5,90,A-,3.67,Excellent
CSS 254,Digital design,3,5,87,B+,3.33,Good
MAT 251,Probability and Mathematical Statictics,4,5,88,B+,3.33,Good
MDE 114,Kazakh Language 2 (B1 level),3,5,91,A-,3.67,Excellent
MDE 134,Turkish Language 4 (А2 level),2,3,95,A,4,Excellent
MDE 172,Philosophy,3,5,92,A-,3.67,Excellent
,,18,28,SA : 90.18,GA : 87.65,SPA : 3.58,GPA : 3.39
2022 - 2023. 1,,,,,,,
CSS 214,Introduction to iOS Programming,3,5,92,A-,3.67,Excellent
CSS 312,Computer Networks 1,3,5,84,B,3,Good
CSS 328,Introduction to Data Analysis,3,5,99,A,4,Excellent
CSS 341,Computer organization and architecture,3,5,100,A,4,Excellent
CSS 380,Industrial practice 1,1,1,100,P,,Pass
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,96,A,4,Excellent
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,92,A-,3.67,Excellent
MDE 167,Leadership,3,5,76,B-,2.67,Good
,,18,30,SA : 90.72,GA : 88.25,SPA : 3.52,GPA : 3.42
2022 - 2023. 2,,,,,,,
CSS 309,Low-level Architecture,3,5,100,A,4,Excellent
CSS 342,Software engineering,3,5,94,A-,3.67,Excellent
CSS 345,Advanced computer architecture,3,5,91,A-,3.67,Excellent
CSS 381,Industrial practice 2,1,1,100,A,4,Excellent
CSS 440,Distributed Computing,3,5,97,A,4,Excellent
INF 423,Statistics and Visualization for Data Analysis,3,5,100,A,4,Excellent
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,97,A,4,Excellent
MDE 154,Module of Social and Political Knowledge (Psychology),1,2,97,A,4,Excellent
,,18,30,SA : 96.6,GA : 89.65,SPA : 3.89,GPA : 3.5
2023 - 2024. 1,,,,,,,
CSS 410,Research tools and methods,3,5,57,IP,,In progress
CSS 450,Industrial project (Introduction),3,5,55,IP,,In progress
CSS 451,Industrial project (Development),3,5,55,IP,,In progress
CSS 452,Industrial project (Design),3,5,55,IP,,In progress
CSS 453,Industrial project (Testing),3,5,55,IP,,In progress
CSS 480,Industrial practice 3,2,3,,IP,,In progress
CSS 481,Industrial practice 3,1,2,,IP,,In progress
,,18,30,SA : 0,GA : 89.65,SPA : 0,GPA : 3.5
Total Internal Credits : 111,,Total credits/ECTS : 180,,Grand Average : 89.65,,Grand GPA : 3.5,
