Course code,Course title,Internal Credit,Credit / ECTS,Grade,Letter Grade,Point,Traditional
2020 - 2021. 1,,,,,,,
CEC 102,General English (A2 level),6,6,81,P,,Pass
CSS 105,Fundamentals of Programming,4,5,54,D,1,Satisfactory
MAT 151,Linear Algebra,3,5,81,B,3,Good
MAT 153,Mathematics for Computer Science 1,3,5,69,C,2,Satisfactory
MDE 131,Turkish Language 1 (А1 level),2,3,95,A,4,Excellent
MDE 141,Physical Education 1,1,2,90,A-,3.67,Excellent
MDE 171,Modern History of Kazakhstan,3,5,93,A-,3.67,Excellent
,,22,31,SA : 78,GA : 78,SPA : 2.71,GPA : 2.71
2020 - 2021. 2,,,,,,,
CSS 108,Programming Technologies and Educational Practice,3,5,50,D,1,Satisfactory
INF 106,Information and Communications Technologies (Computer Science),3,5,72,C+,2.33,Good
MAT 154,Mathematics for Computer Science 2,3,5,80,B,3,Good
MAT 156,Discrete Mathematics,3,5,80,B,3,Good
MDE 103,Foreign Language 1 (English for Specific Purposes - B1 level ),3,5,63,C-,1.67,Satisfactory
MDE 132,Turkish Language 2 (А1 level),2,3,85,B+,3.33,Good
MDE 142,Physical Education 2,1,2,95,A,4,Excellent
MDE 144,Physical Education 4,1,2,97,A,4,Excellent
,,19,32,SA : 73.88,GA : 75.68,SPA : 2.53,GPA : 2.61
2021 - 2022. 1,,,,,,,
CSS 152,Physics 1,3,5,51,D,1,Satisfactory
CSS 215,Introduction to Algorithms,3,5,62,C-,1.67,Satisfactory
INF 202,Database Management Systems 1,3,5,56,D+,1.33,Satisfactory
INF 231,Web programming: front end,3,5,78,B-,2.67,Good
MDE 113,Kazakh Language 1 (B1 level),3,5,79,B-,2.67,Good
MDE 133,Turkish Language 3 (А2 level),2,3,66,C,2,Satisfactory
MDE 143,Physical Education 3,1,2,90,A-,3.67,Excellent
MDE 191,Foreign Language 2 (English for Specific Purposes - B1+ level ),3,5,85,B+,3.33,Good
,,21,35,SA : 69.51,GA : 73.34,SPA : 2.19,GPA : 2.45
2021 - 2022. 2,,,,,,,
CSS 220,Advanced Algorithms,3,5,56,D+,1.33,Satisfactory
INF 232,Web programming: back end,4,5,84,B,3,Good
INF 305,Database Management Systems 2,3,5,76,B-,2.67,Good
INF 313,Computer networks 1,3,5,61,C-,1.67,Satisfactory
MDE 114,Kazakh Language 2 (B1 level),3,5,80,B,3,Good
MDE 134,Turkish Language 4 (А2 level),2,3,96,A,4,Excellent
,,18,28,SA : 74.04,GA : 73.5,SPA : 2.51,GPA : 2.46
2022 - 2023. 1,,,,,,,
CSS 380,Industrial practice 1,1,1,70,P,,Pass
INF 322,Graphic Design,3,5,69,C,2,Satisfactory
MAT 251,Probability and Mathematical Statictics,4,5,50,D,1,Satisfactory
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,79,B-,2.67,Good
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,87,B+,3.33,Good
MDE 162,Law,3,5,92,A-,3.67,Excellent
,,13,20,SA : 73,GA : 73.43,SPA : 2.39,GPA : 2.45
2022 - 2023. 2,,,,,,,
CSS 381,Industrial practice 2,1,1,70,C+,2.33,Good
INF 362,Design for Manufacture,3,5,76,B-,2.67,Good
INF 363,Advanced VFX and Post Production,3,5,53,D,1,Satisfactory
INF 367,3D Animation And Visual Effects,3,5,56,D+,1.33,Satisfactory
INF 405,Personal Development in Computer Science,3,5,77,B-,2.67,Good
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,90,A-,3.67,Excellent
MDE 154,Module of Social and Political Knowledge (Psychology),1,2,96,A,4,Excellent
MDE 172,Philosophy,3,5,63,C-,1.67,Satisfactory
,,18,30,SA : 68.9,GA : 72.63,SPA : 2.15,GPA : 2.4
2023 - 2024. 1,,,,,,,
CSS 410,Research tools and methods,3,5,35,IP,,In progress
CSS 480,Industrial practice 3,2,3,,IP,,In progress
CSS 481,Industrial practice 3,1,2,,IP,,In progress
INF 228,UX/UI design,3,5,39,IP,,In progress
INF 328,3D modeling,3,5,25,IP,,In progress
INF 330,Information storage management and virtualization,3,5,39,IP,,In progress
INF 344,IT security and Risk Management,3,5,19,IP,,In progress
INF 360,IT-law,3,5,44,IP,,In progress
INF 406,Data Ethics & Applied Analytics,3,5,21,IP,,In progress
,,24,40,SA : 0,GA : 72.63,SPA : 0,GPA : 2.4
Total Internal Credits : 111,,Total credits/ECTS : 176,,Grand Average : 72.63,,Grand GPA : 2.4,
