Course code,Course title,Internal Credit,Credit / ECTS,Grade,Letter Grade,Point,Traditional
2020 - 2021. 1,,,,,,,
MDE 109,Foreign Language 1 (General English - A2 level),3,5,90,A-,3.67,Excellent
MDE 110,Foreign Language 2 (General English - A2+ level),3,5,90,A-,3.67,Excellent
MDE 123,Russian Language 1 (B1 level),3,5,93,A-,3.67,Excellent
MDE 131,Turkish Language 1 (А1 level),2,3,87,B+,3.33,Good
MDE 141,Physical Education 1,1,2,93,A-,3.67,Excellent
PED 101,Introduction to Chemistry and Terminology,3,5,73,C+,2.33,Good
PED 103,Introduction to Biology and Terminology,3,5,88,B+,3.33,Good
,,18,30,SA : 87.23,GA : 87.23,SPA : 3.36,GPA : 3.36
2020 - 2021. 2,,,,,,,
MDE 124,Russian Language 2 (B1 level),3,5,95,A,4,Excellent
MDE 132,Turkish Language 2 (А1 level),2,3,91,A-,3.67,Excellent
MDE 142,Physical Education 2,1,2,95,A,4,Excellent
MDE 171,Modern History of Kazakhstan,3,5,98,A,4,Excellent
PED 117,General biology,3,5,77,B-,2.67,Good
PED 118,General chemistry,3,5,78,B-,2.67,Good
PED 128,English for Special Purposes 1(CLIL),3,5,81,B,3,Good
,,18,30,SA : 86.93,GA : 87.08,SPA : 3.36,GPA : 3.36
2021 - 2022. 1,,,,,,,
MDE 133,Turkish Language 3 (А2 level),2,3,76,B-,2.67,Good
MDE 143,Physical Education 3,1,2,95,A,4,Excellent
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,90,A-,3.67,Excellent
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,98,A,4,Excellent
MDE 173,Information and Communication Technologies (in English),3,5,87,B+,3.33,Good
PED 202,Cytology and Histology,3,5,74,C+,2.33,Good
PED 221,Inorganic chemistry,3,5,76,B-,2.67,Good
PED 223,Pedagogy,2,3,82,B,3,Good
PED 298,Educational and introductory practice,2,3,82,B,3,Good
,,18,30,SA : 82.37,GA : 85.51,SPA : 3.03,GPA : 3.25
2021 - 2022. 2,,,,,,,
MDE 134,Turkish Language 4 (А2 level),2,3,88,B+,3.33,Good
MDE 144,Physical Education 4,1,2,95,A,4,Excellent
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,98,A,4,Excellent
MDE 154,Module of Social and Political Knowledge (Psychology),1,2,99,A,4,Excellent
MDE 172,Philosophy,3,5,92,A-,3.67,Excellent
PED 212,Organic Chemistry,4,6,81,B,3,Good
PED 265,Ecology and Life Security Precautions,3,5,88,B+,3.33,Good
PED 363,Plant and animal biology,3,5,89,B+,3.33,Good
,,18,30,SA : 89.3,GA : 86.46,SPA : 3.45,GPA : 3.3
2022 - 2023. 1,,,,,,,
PED 303,Analytical Chemistry(qualitative analysis),3,5,87,B+,3.33,Good
PED 335,Professional Oriented Foreign Language(CLIL),3,5,91,A-,3.67,Excellent
PED 336,Environmental chemistry,3,5,78,B-,2.67,Good
PED 338,Human Anatomy and Physiology,3,5,95,A,4,Excellent
PED 352,Biochemistry (Bioorganic chemistry),3,5,89,B+,3.33,Good
PED 407,Genetics,3,5,87,B+,3.33,Good
,,18,30,SA : 87.83,GA : 86.73,SPA : 3.39,GPA : 3.32
2022 - 2023. 2,,,,,,,
PED 266,Analytical Chemistry (quantitative analysis),3,5,96,A,4,Excellent
PED 305,Microbiology,3,5,96,A,4,Excellent
PED 339,Biotechnology,3,5,90,A-,3.67,Excellent
PED 354,Molecular biology,3,5,90,A-,3.67,Excellent
PED 368,Physical chemistry,3,5,84,B,3,Good
PED 374,Chemical Technology,3,5,81,B,3,Good
,,18,30,SA : 89.5,GA : 87.19,SPA : 3.56,GPA : 3.36
2023 - 2024. 1,,,,,,,
PED 436,Management in education,3,5,59,IP,,In progress
PED 437,Criteria-based assessment technology,3,5,59,IP,,In progress
PED 474,Methods of teaching chemistry and STEM,3,5,54,IP,,In progress
PED 478,Methods of teaching biologyand and STEM,3,5,60,IP,,In progress
PED 482,Solving olympiad problems in chemistry,3,5,59,IP,,In progress
PED 488,Inclusive Education,3,5,59,IP,,In progress
,,18,30,SA : 0,GA : 87.19,SPA : 0,GPA : 3.36
Total Internal Credits : 108,,Total credits/ECTS : 180,,Grand Average : 87.19,,Grand GPA : 3.36,
