Course code,Course title,Internal Credit,Credit / ECTS,Grade,Letter Grade,Point,Traditional
2020 - 2021. 1,,,,,,,
CEC 102,General English (A2 level),6,6,85,P,,Pass
CSS 105,Fundamentals of Programming,4,5,70,C+,2.33,Good
MAT 151,Linear Algebra,3,5,83,B,3,Good
MAT 153,Mathematics for Computer Science 1,3,5,73,C+,2.33,Good
MDE 135,Turkish Language 1 (B1 level),2,3,95,A,4,Excellent
MDE 141,Physical Education 1,1,2,95,A,4,Excellent
MDE 171,Modern History of Kazakhstan,3,5,88,B+,3.33,Good
,,22,31,SA : 81.8,GA : 81.8,SPA : 3,GPA : 3
2020 - 2021. 2,,,,,,,
CSS 108,Programming Technologies and Educational Practice,3,5,66,C,2,Satisfactory
INF 106,Information and Communications Technologies (Computer Science),3,5,84,B,3,Good
MAT 154,Mathematics for Computer Science 2,3,5,89,B+,3.33,Good
MAT 156,Discrete Mathematics,3,5,71,C+,2.33,Good
MDE 103,Foreign Language 1 (English for Specific Purposes - B1 level ),3,5,75,B-,2.67,Good
MDE 136,Turkish Language 2 (B1 level),2,3,85,B+,3.33,Good
MDE 142,Physical Education 2,1,2,95,A,4,Excellent
,,18,30,SA : 79,GA : 80.27,SPA : 2.82,GPA : 2.9
2021 - 2022. 1,,,,,,,
CSS 152,Physics 1,3,5,77,B-,2.67,Good
CSS 215,Introduction to Algorithms,3,5,96,A,4,Excellent
INF 202,Database Management Systems 1,3,5,94,A-,3.67,Excellent
INF 231,Web programming: front end,3,5,82,B,3,Good
MDE 113,Kazakh Language 1 (B1 level),3,5,88,B+,3.33,Good
MDE 137,Turkish Language 3 (B2 level),2,3,90,A-,3.67,Excellent
MDE 143,Physical Education 3,1,2,95,A,4,Excellent
MDE 191,Foreign Language 2 (English for Specific Purposes - B1+ level ),3,5,70,C+,2.33,Good
,,21,35,SA : 85.57,GA : 82.33,SPA : 3.26,GPA : 3.04
2021 - 2022. 2,,,,,,,
CSS 220,Advanced Algorithms,3,5,85,B+,3.33,Good
INF 232,Web programming: back end,4,5,100,A,4,Excellent
INF 305,Database Management Systems 2,3,5,87,B+,3.33,Good
INF 313,Computer networks 1,3,5,88,B+,3.33,Good
MDE 114,Kazakh Language 2 (B1 level),3,5,92,A-,3.67,Excellent
MDE 138,Turkish Language 4 (B2 level),2,3,90,A-,3.67,Excellent
MDE 144,Physical Education 4,1,2,95,A,4,Excellent
,,19,30,SA : 90.67,GA : 84.42,SPA : 3.58,GPA : 3.17
2022 - 2023. 1,,,,,,,
CSS 216,Mobile Programming,3,5,83,B,3,Good
CSS 380,Industrial practice 1,1,1,100,P,,Pass
INF 324,Computer vision,3,5,72,C+,2.33,Good
INF 361,Information Theory,3,5,95,A,4,Excellent
MAT 251,Probability and Mathematical Statictics,4,5,85,B+,3.33,Good
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,,W,,Withdraw
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,76,B-,2.67,Good
MDE 162,Law,3,5,73,C+,2.33,Good
,,19,30,SA : 81.19,GA : 83.82,SPA : 2.97,GPA : 3.14
2022 - 2023. 2,,,,,,,
CSS 381,Industrial practice 2,1,1,100,A,4,Excellent
CSS 411,Advanced Programming using JAVA EE,3,5,91,A-,3.67,Excellent
INF 378,AWS Cloud Computing,3,5,93,A-,3.67,Excellent
INF 379,Introduction to self-driving cars,3,5,97,A,4,Excellent
INF 392,Blockchain technology,3,5,78,B-,2.67,Good
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,92,A-,3.67,Excellent
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,98,A,4,Excellent
MDE 154,Module of Social and Political Knowledge (Psychology),1,2,97,A,4,Excellent
MDE 172,Philosophy,3,5,91,A-,3.67,Excellent
,,19,32,SA : 91.38,GA : 85.17,SPA : 3.62,GPA : 3.22
2023 - 2024. 1,,,,,,,
CSS 410,Research tools and methods,3,5,54,IP,,In progress
CSS 450,Industrial project (Introduction),3,5,48,IP,,In progress
CSS 451,Industrial project (Development),3,5,48,IP,,In progress
CSS 452,Industrial project (Design),3,5,48,IP,,In progress
CSS 453,Industrial project (Testing),3,5,48,IP,,In progress
CSS 480,Industrial practice 3,2,3,,IP,,In progress
CSS 481,Industrial practice 3,1,2,,IP,,In progress
,,18,30,SA : 0,GA : 85.17,SPA : 0,GPA : 3.22
Total Internal Credits : 117,,Total credits/ECTS : 186,,Grand Average : 85.17,,Grand GPA : 3.22,
