Course code,Course title,Internal Credit,Credit / ECTS,Grade,Letter Grade,Point,Traditional
2020 - 2021. 1,,,,,,,
CEC 101,General English (A1 level),6,6,84,P,,Pass
CSS 105,Fundamentals of Programming,4,5,57,D+,1.33,Satisfactory
MAT 151,Linear Algebra,3,5,83,B,3,Good
MAT 153,Mathematics for Computer Science 1,3,5,54,D,1,Satisfactory
MDE 131,Turkish Language 1 (А1 level),2,3,82,B,3,Good
MDE 141,Physical Education 1,1,2,90,A-,3.67,Excellent
MDE 171,Modern History of Kazakhstan,3,5,88,B+,3.33,Good
,,22,31,SA : 73.44,GA : 73.44,SPA : 2.39,GPA : 2.39
2020 - 2021. 2,,,,,,,
CEC 102,General English (A2 level),6,6,74,P,,Pass
CSS 108,Programming Technologies and Educational Practice,3,5,56,D+,1.33,Satisfactory
INF 106,Information and Communications Technologies (Computer Science),3,5,78,B-,2.67,Good
MAT 154,Mathematics for Computer Science 2,3,5,60,C-,1.67,Satisfactory
MAT 156,Discrete Mathematics,3,5,0,FX,0,Unsatisfactory
MDE 132,Turkish Language 2 (А1 level),2,3,95,A,4,Excellent
MDE 142,Physical Education 2,1,2,95,A,4,Excellent
,,21,31,SA : 57.8,GA : 65.62,SPA : 1.93,GPA : 2.16
2021 - 2022. 1,,,,,,,
CSS 152,Physics 1,3,5,0,F,0,Unsatisfactory
CSS 215,Introduction to Algorithms,3,5,73,C+,2.33,Good
INF 202,Database Management Systems 1,3,5,78,B-,2.67,Good
INF 231,Web programming: front end,3,5,83,B,3,Good
MDE 123,Russian Language 1 (B1 level),3,5,87,B+,3.33,Good
MDE 133,Turkish Language 3 (А2 level),2,3,71,C+,2.33,Good
MDE 143,Physical Education 3,1,2,90,A-,3.67,Excellent
MDE 190,Foreign Language 1 (English for Specific Purposes - B1 level ),3,5,63,C-,1.67,Satisfactory
,,21,35,SA : 66.09,GA : 65.81,SPA : 2.27,GPA : 2.2
2021 - 2022. 2,,,,,,,
CSS 220,Advanced Algorithms,3,5,84,B,3,Good
INF 232,Web programming: back end,4,5,100,A,4,Excellent
INF 305,Database Management Systems 2,3,5,81,B,3,Good
INF 313,Computer networks 1,3,5,92,A-,3.67,Excellent
MDE 124,Russian Language 2 (B1 level),3,5,77,B-,2.67,Good
MDE 134,Turkish Language 4 (А2 level),2,3,81,B,3,Good
MDE 144,Physical Education 4,1,2,97,A,4,Excellent
MDE 191,Foreign Language 2 (English for Specific Purposes - B1+ level ),3,5,76,B-,2.67,Good
,,22,35,SA : 85.34,GA : 71.51,SPA : 3.2,GPA : 2.49
2022 - 2023. 1,,,,,,,
CSS 223,C# Object Oriented Programming,3,5,98,A,4,Excellent
CSS 380,Industrial practice 1,1,1,100,P,,Pass
CSS 417,Linux Administration,3,5,76,B-,2.67,Good
INF 425,Wireless networks,3,5,72,C+,2.33,Good
MAT 251,Probability and Mathematical Statictics,4,5,86,B+,3.33,Good
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,92,A-,3.67,Excellent
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,100,A,4,Excellent
MDE 162,Law,3,5,94,A-,3.67,Excellent
,,19,30,SA : 86.69,GA : 74.46,SPA : 3.29,GPA : 2.65
2022 - 2023. 2,,,,,,,
CSS 375,RedHat - System Administration (I + II),3,5,88,B+,3.33,Good
CSS 381,Industrial practice 2,1,1,100,A,4,Excellent
CSS 415,IT Management,3,5,82,B,3,Good
INF 332,Enterprise Architecture,3,5,62,C-,1.67,Satisfactory
INF 378,AWS Cloud Computing,3,5,68,C,2,Satisfactory
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,96,A,4,Excellent
MDE 154,Module of Social and Political Knowledge (Psychology),1,2,98,A,4,Excellent
MDE 172,Philosophy,3,5,84,B,3,Good
,,18,30,SA : 80.27,GA : 75.44,SPA : 2.83,GPA : 2.68
2022 - 2023. 3,,,,,,,
CSS 111,Physics 1,4,5,60,C-,1.67,Satisfactory
,,4,5,SA : 60,GA : 77.11,SPA : 1.67,GPA : 2.73
2023 - 2024. 1,,,,,,,
CSS 410,Research tools and methods,3,5,32,IP,,In progress
CSS 450,Industrial project (Introduction),3,5,56,IP,,In progress
CSS 451,Industrial project (Development),3,5,56,IP,,In progress
CSS 452,Industrial project (Design),3,5,56,IP,,In progress
CSS 453,Industrial project (Testing),3,5,56,IP,,In progress
CSS 480,Industrial practice 3,2,3,,IP,,In progress
CSS 481,Industrial practice 3,1,2,,IP,,In progress
MAT 156,Discrete Mathematics,3,5,27,IP,,In progress
,,21,35,SA : 0,GA : 77.11,SPA : 0,GPA : 2.73
Total Internal Credits : 124,,Total credits/ECTS : 192,,Grand Average : 77.11,,Grand GPA : 2.73,
