Course code,Course title,Internal Credit,Credit / ECTS,Grade,Letter Grade,Point,Traditional
2020 - 2021. 1,,,,,,,
INF 106,Information and Communications Technologies (Computer Science),3,5,* 78,B-,2.67,Good
MAT 153,Mathematics for Computer Science 1,3,5,* 59,D+,1.33,Satisfactory
MDE 123,Russian Language 1 (B1 level),3,5,* 95,A,4,Excellent
MDE 141,Physical Education 1,1,2,* 92,A-,3.67,Excellent
MDE 171,Modern History of Kazakhstan,3,5,* 85,B+,3.33,Good
,,19,27,SA : 82.37,GA : 82.37,SPA : 3.05,GPA : 3.05
2020 - 2021. 2,,,,,,,
CEC 102,General English (A2 level),6,6,63,P,,Pass
CSS 105,Fundamentals of Programming,4,5,0,F,0,Unsatisfactory
CSS 225,Web programming fundamentals,3,5,75,B-,2.67,Good
MAT 151,Linear Algebra,3,5,67,C,2,Satisfactory
MAT 156,Discrete Mathematics,3,5,84,B,3,Good
MDE 131,Turkish Language 1 (А1 level),2,3,68,C,2,Satisfactory
MDE 142,Physical Education 2,1,2,95,A,4,Excellent
,,22,31,SA : 60.96,GA : 72.08,SPA : 2.09,GPA : 2.59
,,,,,,,
2021 - 2022. 1,,,,,,,
CSS 105,Fundamentals of Programming,4,5,61,C-,1.67,Satisfactory
CSS 152,Physics 1,3,5,0,FX,0,Unsatisfactory
CSS 252,Electronics,4,5,65,C,2,Satisfactory
MDE 113,Kazakh Language 1 (B1 level),3,5,68,C,2,Satisfactory
MDE 143,Physical Education 3,1,2,80,B,3,Good
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,90,A-,3.67,Excellent
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,82,B,3,Good
,,19,29,SA : 58.48,GA : 71.95,SPA : 1.89,GPA : 2.51
2021 - 2022. 2,,,,,,,
CSS 108,Programming Technologies and Educational Practice,3,5,61,C-,1.67,Satisfactory
CSS 254,Digital design,3,5,72,C+,2.33,Good
MAT 251,Probability and Mathematical Statictics,4,5,50,D,1,Satisfactory
MDE 134,Turkish Language 4 (А2 level),2,3,65,C,2,Satisfactory
MDE 144,Physical Education 4,1,2,75,B-,2.67,Good
MDE 172,Philosophy,3,5,94,A-,3.67,Excellent
,,19,30,SA : 67.5,GA : 70.72,SPA : 2.04,GPA : 2.38
2022 - 2023. 1,,,,,,,
CSS 215,Introduction to Algorithms,3,5,85,B+,3.33,Good
CSS 216,Mobile Programming,3,5,57,D+,1.33,Satisfactory
CSS 341,Computer organization and architecture,3,5,50,D,1,Satisfactory
CSS 346,FPGA Programming,3,5,60,C-,1.67,Satisfactory
CSS 380,Industrial practice 1,1,1,100,P,,Pass
,,19,31,SA : 42,GA : 64.53,SPA : 1.22,GPA : 2.13
2022 - 2023. 2,,,,,,,
CSS 220,Advanced Algorithms,3,5,50,D,1,Satisfactory
CSS 309,Low-level Architecture,3,5,60,C-,1.67,Satisfactory
CSS 342,Software engineering,3,5,55,D+,1.33,Satisfactory
CSS 345,Advanced computer architecture,3,5,76,B-,2.67,Good
CSS 381,Industrial practice 2,1,1,100,A,4,Excellent
CSS 440,Distributed Computing,3,5,58,D+,1.33,Satisfactory
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,94,A-,3.67,Excellent
MDE 154,Module of Social and Political Knowledge (Psychology),1,2,96,A,4,Excellent
,,21,35,SA : 68.57,GA : 65.34,SPA : 2.17,GPA : 2.14
,,,,,,,
2023 - 2024. 1,,,,,,,
CSS 410,Research tools and methods,3,5,59,IP,,In progress
CSS 446,IT audit,3,5,41,IP,,In progress
CSS 480,Industrial practice 3,2,3,,IP,,In progress
CSS 481,Industrial practice 3,1,2,,IP,,In progress
INF 228,UX/UI design,3,5,50,IP,,In progress
INF 360,IT-law,3,5,42,IP,,In progress
INF 405,Personal Development in Computer Science,3,5,60,IP,,In progress
MAT 154,Mathematics for Computer Science 2,3,5,55,IP,,In progress
MDE 162,Law,3,5,37,IP,,In progress
,,24,40,SA : 0,GA : 70.83,SPA : 0,GPA : 2.37
Total Internal Credits : 118,,Total credits/ECTS : 181,,Grand Average : 70.83,,Grand GPA : 2.37,
