2020 - 2021. 1,,,,,,,
CSS 105,Fundamentals of Programming,4,5,93,A-,3.67,Excellent
MAT 151,Linear Algebra,3,5,85,B+,3.33,Good
MAT 153,Mathematics for Computer Science 1,3,5,97,A,4,Excellent
MDE 103,Foreign Language 1 (English for Specific Purposes - B1 level ),3,5,99,A,4,Excellent
MDE 131,Turkish Language 1 (А1 level),2,3,88,B+,3.33,Good
MDE 141,Physical Education 1,1,2,95,A,4,Excellent
MDE 171,Modern History of Kazakhstan,3,5,100,A,4,Excellent
,,19,30,SA : 94.13,GA : 94.13,SPA : 3.77,GPA : 3.77
2020 - 2021. 2,,,,,,,
CSS 108,Programming Technologies and Educational Practice,3,5,0,AW,,Academic Withdraw
INF 106,Information and Communications Technologies (Computer Science),3,5,86,B+,3.33,Good
MAT 154,Mathematics for Computer Science 2,3,5,78,B-,2.67,Good
MAT 156,Discrete Mathematics,3,5,54,D,1,Satisfactory
MDE 132,Turkish Language 2 (А1 level),2,3,86,B+,3.33,Good
MDE 142,Physical Education 2,1,2,95,A,4,Excellent
MDE 144,Physical Education 4,1,2,95,A,4,Excellent
MDE 188,Foreign Language 2 (English for Specific Purposes - B1+ level ),3,5,93,A-,3.67,Excellent
,,19,32,SA : 68.53,GA : 80.92,SPA : 2.48,GPA : 3.1
2020 - 2021. 3,,,,,,,
CSS 108,Programming Technologies and Educational Practice,3,5,77,B-,2.67,Good
,,3,5,SA : 77,GA : 87.13,SPA : 2.67,GPA : 3.32
2021 - 2022. 1,,,,,,,
CSS 152,Physics 1,3,5,56,D+,1.33,Satisfactory
CSS 215,Introduction to Algorithms,3,5,70,C+,2.33,Good
INF 202,Database Management Systems 1,3,5,82,B,3,Good
INF 231,Web programming: front end,3,5,80,B,3,Good
MDE 123,Russian Language 1 (B1 level),3,5,80,B,3,Good
MDE 133,Turkish Language 3 (А2 level),2,3,61,C-,1.67,Satisfactory
MDE 143,Physical Education 3,1,2,95,A,4,Excellent
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,92,A-,3.67,Excellent
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,87,B+,3.33,Good
,,20,34,SA : 75.62,GA : 83.05,SPA : 2.66,GPA : 3.08
2021 - 2022. 2,,,,,,,
CSS 220,Advanced Algorithms,3,5,79,B-,2.67,Good
INF 232,Web programming: back end,4,5,62,C-,1.67,Satisfactory
INF 305,Database Management Systems 2,3,5,71,C+,2.33,Good
INF 313,Computer networks 1,3,5,57,D+,1.33,Satisfactory
MDE 124,Russian Language 2 (B1 level),3,5,85,B+,3.33,Good
MDE 134,Turkish Language 4 (А2 level),2,3,78,B-,2.67,Good
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,96,A,4,Excellent
MDE 154,Module of Social and Political Knowledge (Psychology),1,2,95,A,4,Excellent
,,20,32,SA : 74.56,GA : 80.93,SPA : 2.52,GPA : 2.94
2022 - 2023. 1,,,,,,,
CSS 216,Mobile Programming,3,5,78,B-,2.67,Good
CSS 380,Industrial practice 1,1,1,100,P,,Pass
INF 322,Graphic Design,3,5,96,A,4,Excellent
INF 323,Data analysis,3,5,91,A-,3.67,Excellent
MAT 251,Probability and Mathematical Statictics,4,5,50,D,1,Satisfactory
MDE 166,Еntrepreneurship,3,5,88,B+,3.33,Good
,,17,26,SA : 80.6,GA : 80.88,SPA : 2.93,GPA : 2.94
2022 - 2023. 2,,,,,,,
CSS 375,RedHat - System Administration (I + II),3,5,82,B,3,Good
CSS 381,Industrial practice 2,1,1,100,A,4,Excellent
CSS 415,IT Management,3,5,95,A,4,Excellent
INF 370,User Interface Design,3,5,96,A,4,Excellent
INF 382,Business Process Modelling,3,5,88,B+,3.33,Good
MDE 172,Philosophy,3,5,95,A,4,Excellent
,,16,26,SA : 91.54,GA : 82.42,SPA : 3.68,GPA : 3.05
2023 - 2024. 1,,,,,,,
CSS 410,Research tools and methods,3,5,56,IP,,In progress
CSS 450,Industrial project (Introduction),3,5,56,IP,,In progress
CSS 451,Industrial project (Development),3,5,56,IP,,In progress
CSS 452,Industrial project (Design),3,5,56,IP,,In progress
CSS 453,Industrial project (Testing),3,5,56,IP,,In progress
CSS 480,Industrial practice 3,2,3,,IP,,In progress
CSS 481,Industrial practice 3,1,2,,IP,,In progress
,,18,30,SA : 0,GA : 82.42,SPA : 0,GPA : 3.05
Total Internal Credits : 111,,Total credits/ECTS : 180,,Grand Average : 82.42,,Grand GPA : 3.05,
