2020 - 2021. 1,,,,,,,
CEC 102,Жалпы ағылшын тілі (А2 деңгейі),6,6,75,P,,Өтті
CSS 105,Бағдарламалау негіздері,4,5,62,C-,1.67,Қанағаттанарлық
MAT 151,Сызыкты алгебра,3,5,75,B-,2.67,Жақсы
MAT 153,Компьютер ғылымдарына арналған математика 1,3,5,83,B,3,Жақсы
MDE 131,Түрік тілі 1 (A1 деңгейі),2,3,74,C+,2.33,Жақсы
MDE 141,Дене шынықтыру 1,1,2,95,A,4,Өте жақсы
MDE 171,Қазақстанның қазіргі заман тарихы,3,5,97,A,4,Өте жақсы
,,22,31,SA : 79.88,GA : 79.88,SPA : 2.87,GPA : 2.87
2020 - 2021. 2,,,,,,,
CSS 108,Бағдарламалау технологиялары және оқу тәжірибесі,3,5,0,AW,,Academic Withdraw
INF 106,Ақпараттық-коммуникациялық технологиялар,3,5,87,B+,3.33,Жақсы
MAT 154,Компьютер ғылымдарына арналған математика 2,3,5,77,B-,2.67,Жақсы
MAT 156,Дискретті математика,3,5,59,D+,1.33,Қанағаттанарлық
MDE 103,Шетел тілі 1 (ағылшын тілі - B1 деңгейі),3,5,78,B-,2.67,Жақсы
MDE 132,Түрік тілі 2 (A1 деңгейі),2,3,82,B,3,Жақсы
MDE 142,Дене шынықтыру 2,1,2,95,A,4,Өте жақсы
,,18,30,SA : 64.7,GA : 71.6,SPA : 2.23,GPA : 2.52
2021 - 2022. 1,,,,,,,
CSS 152,Физика 1,3,5,67,C,2,Қанағаттанарлық
INF 202,АЖ-дегі деректер қоры 3,3,5,68,C,2,Қанағаттанарлық
INF 231,Веб бағдарламалау: фронт-энд,3,5,100,A,4,Өте жақсы
MDE 113,Қазақ тілі 1 (B1 деңгейі),3,5,76,B-,2.67,Жақсы
MDE 133,Түрік тілі 3 (A2 деңгейі),2,3,87,B+,3.33,Жақсы
MDE 143,Дене шынықтыру 3,1,2,90,A-,3.67,Өте жақсы
MDE 191,Шетел тілі 2 (ағылшын тілі - B1+ деңгейі),3,5,52,D,1,Қанағаттанарлық
,,18,30,SA : 75.2,GA : 72.87,SPA : 2.52,GPA : 2.52
2021 - 2022. 2,,,,,,,
INF 232,Веб бағдарламалау: бэк-энд,4,5,80,B,3,Жақсы
INF 305,АЖ-дегі деректер қоры 2,3,5,88,B+,3.33,Жақсы
INF 313,Компьютерлік желілері 1,3,5,82,B,3,Жақсы
MDE 114,Қазақ тілі 2 (B1 деңгейі),3,5,81,B,3,Жақсы
MDE 134,Түрік тілі 4 (A2 деңгейі),2,3,100,A,4,Өте жақсы
MDE 144,Дене шынықтыру 4,1,2,90,A-,3.67,Өте жақсы
MDE 154,Әлеуметтік-саяси білім модулі (Психология),1,2,91,A-,3.67,Өте жақсы
,,17,27,SA : 85.81,GA : 75.99,SPA : 3.27,GPA : 2.7
2022 - 2023. 1,,,,,,,
CSS 223,С# Объектілі бағытталған бағдарламалау,3,5,85,B+,3.33,Жақсы
CSS 380,Индустриалдық практика 1,1,1,50,P,,Өтті
INF 357,Unity-мен бағдарламалауға кіріспе,4,5,68,C,2,Қанағаттанарлық
INF 376,Табиғи тілдерді өңдеу,3,5,73,C+,2.33,Жақсы
MAT 251,Ықтималдықтар теориясы және математикалық статистика,4,5,55,D+,1.33,Қанағаттанарлық
MDE 151,Әлеуметтік-саяси білім модулі (Саясаттану),1,2,65,C,2,Қанағаттанарлық
MDE 152,Әлеуметтік-саяси білім модулі (Әлеуметтану),1,2,97,A,4,Өте жақсы
MDE 162,Құқық,3,5,90,A-,3.67,Өте жақсы
,,20,30,SA : 75.14,GA : 75.82,SPA : 2.6,GPA : 2.68
2022 - 2023. 2,,,,,,,
CSS 381,Индустриалды практика,1,1,50,D,1,Қанағаттанарлық
CSS 411,JAVA EE қолдану арқылы тереңдетілген бағдарламалау,3,5,88,B+,3.33,Жақсы
INF 228,UX/UI дизайн,3,5,96,A,4,Өте жақсы
INF 392,Блокчейн технологиясы,3,5,50,D,1,Қанағаттанарлық
INF 405,Компьютерлік ғылымдары саласындағы жеке даму,3,5,92,A-,3.67,Өте жақсы
MDE 153,Әлеуметтік-саяси білім модулі (Мәдениеттану),1,2,95,A,4,Өте жақсы
MDE 172,Философия,3,5,78,B-,2.67,Жақсы
,,17,28,SA : 80.71,GA : 76.63,SPA : 2.94,GPA : 2.72
2022 - 2023. 3,,,,,,,
CSS 108,Бағдарламалау технологиялары және оқу тәжірибесі,3,5,62,C-,1.67,Қанағаттанарлық
,,3,5,SA : 62,GA : 78.46,SPA : 1.67,GPA : 2.77
2023 - 2024. 1,,,,,,,
CSS 215,Алгоритмдерге кіріспе,4,5,32,IP,,Орындалуда
CSS 410,Зерттеу әдістері мен құралдары,3,5,,IP,,Орындалуда
CSS 450,Индустриалдық проект (Кіріспе),3,5,51,IP,,Орындалуда
CSS 451,Индустриальдық проект (Әзірлеу),3,5,51,IP,,Орындалуда
CSS 452,Индустриалдық проект (Құрастыру),3,5,51,IP,,Орындалуда
CSS 453,Индустриалдық проект (Тестілеу),3,5,51,IP,,Орындалуда
CSS 480,Кәсіптік практика 3,2,3,,IP,,Орындалуда
CSS 481,Кәсіптік практика 3,1,2,,IP,,Орындалуда
,,22,35,SA : 0,GA : 78.46,SPA : 0,GPA : 2.77
Жалпы ішкі кредит саны : 112,,Жалпы кредит/ECTS саны : 176,,Жалпы орталама баға (%) : 78.46,,Жалпы орталама балл : 2.77,
