2020 - 2021. 1,,,,,,,
CEC 101,General English (A1 level),6,6,85,P,,Pass
CSS 105,Fundamentals of Programming,4,5,84,B,3,Good
CSS 225,Web programming fundamentals,3,5,87,B+,3.33,Good
INF 106,Information and Communications Technologies (Computer Science),3,5,79,B-,2.67,Good
MAT 151,Linear Algebra,3,5,79,B-,2.67,Good
MAT 153,Mathematics for Computer Science 1,3,5,70,C+,2.33,Good
MDE 131,Turkish Language 1 (А1 level),2,3,83,B,3,Good
MDE 141,Physical Education 1,1,2,85,B+,3.33,Good
MDE 143,Physical Education 3,1,2,95,A,4,Excellent
,,26,38,SA : 81.38,GA : 81.38,SPA : 2.93,GPA : 2.93
2020 - 2021. 2,,,,,,,
CEC 102,General English (A2 level),6,6,59,P,,Pass
CSS 108,Programming Technologies and Educational Practice,3,5,64,C-,1.67,Satisfactory
MAT 154,Mathematics for Computer Science 2,3,5,56,D+,1.33,Satisfactory
MAT 156,Discrete Mathematics,3,5,81,B,3,Good
MDE 114,Kazakh Language 2 (B1 level),3,5,83,B,3,Good
MDE 132,Turkish Language 2 (А1 level),2,3,75,B-,2.67,Good
MDE 142,Physical Education 2,1,2,96,A,4,Excellent
MDE 144,Physical Education 4,1,2,89,B+,3.33,Good
,,22,33,SA : 74.63,GA : 78.29,SPA : 2.51,GPA : 2.73
2021 - 2022. 1,,,,,,,
CSS 152,Physics 1,3,5,0,FX,0,Unsatisfactory
CSS 215,Introduction to Algorithms,3,5,62,C-,1.67,Satisfactory
CSS 252,Electronics,4,5,74,C+,2.33,Good
MDE 123,Russian Language 1 (B1 level),3,5,70,C+,2.33,Good
MDE 133,Turkish Language 3 (А2 level),2,3,56,D+,1.33,Satisfactory
MDE 190,Foreign Language 1 (English for Specific Purposes - B1 level ),3,5,71,C+,2.33,Good
,,18,28,SA : 55.46,GA : 70.94,SPA : 1.69,GPA : 2.4
2021 - 2022. 2,,,,,,,
CSS 220,Advanced Algorithms,3,5,90,A-,3.67,Excellent
CSS 254,Digital design,3,5,75,B-,2.67,Good
MAT 251,Probability and Mathematical Statictics,4,5,71,C+,2.33,Good
MDE 134,Turkish Language 4 (А2 level),2,3,72,C+,2.33,Good
MDE 172,Philosophy,3,5,87,B+,3.33,Good
MDE 191,Foreign Language 2 (English for Specific Purposes - B1+ level ),3,5,54,D,1,Satisfactory
,,18,28,SA : 75.04,GA : 71.94,SPA : 2.57,GPA : 2.44
2022 - 2023. 1,,,,,,,
CSS 303,Foundations of Information and Cyber Security,3,5,91,A-,3.67,Excellent
CSS 312,Computer Networks 1,3,5,50,D,1,Satisfactory
CSS 341,Computer organization and architecture,3,5,100,A,4,Excellent
CSS 380,Industrial practice 1,1,1,100,P,,Pass
CSS 439,Distributed Big Data Systems,3,5,100,A,4,Excellent
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,68,C,2,Satisfactory
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,76,B-,2.67,Good
MDE 167,Leadership,3,5,59,D+,1.33,Satisfactory
,,18,30,SA : 78.9,GA : 73.34,SPA : 2.74,GPA : 2.5
2022 - 2023. 2,,,,,,,
CSS 306,Cyber Security,3,5,100,A,4,Excellent
CSS 309,Low-level Architecture,3,5,100,A,4,Excellent
CSS 342,Software engineering,3,5,95,A,4,Excellent
CSS 381,Industrial practice 2,1,1,100,A,4,Excellent
INF 324,Computer vision,3,5,95,A,4,Excellent
INF 337,Deep Learning,3,5,95,A,4,Excellent
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,96,A,4,Excellent
MDE 154,Module of Social and Political Knowledge (Psychology),1,2,96,A,4,Excellent
MDE 171,History of Kazakhstan,3,5,70,C+,2.33,Good
,,21,35,SA : 93.11,GA : 77.21,SPA : 3.76,GPA : 2.75
2023 - 2024. 1,,,,,,,
CSS 410,Research tools and methods,3,5,41,IP,,In progress
CSS 450,Industrial project (Introduction),3,5,51,IP,,In progress
CSS 451,Industrial project (Development),3,5,51,IP,,In progress
CSS 452,Industrial project (Design),3,5,51,IP,,In progress
CSS 453,Industrial project (Testing),3,5,51,IP,,In progress
CSS 480,Industrial practice 3,2,3,,IP,,In progress
CSS 481,Industrial practice 3,1,2,,IP,,In progress
,,18,30,SA : 0,GA : 77.21,SPA : 0,GPA : 2.75
