Transcript,,,,,,,
Student №:,200103220,Faculty:,Faculty of Engineering and Natural Sciences,,,,
Student Name:,Olzhas Bergenbayev,Specialty:,6B06101 - Information Systems,,,,
Level:,Bachelor,Education Language:,English,,,,
Entry Date:,09.05.2020,Graduation Date:,,,,,
,,,,,,,
Course code,Course title,Internal Credit,Credit / ECTS,Grade,Letter Grade,Point,Traditional
2020 - 2021. 1,,,,,,,
CSS 105,Fundamentals of Programming,4,5,90,A-,3.67,Excellent
MAT 151,Linear Algebra,3,5,64,C-,1.67,Satisfactory
MAT 153,Mathematics for Computer Science 1,3,5,81,B,3,Good
MDE 104,Foreign Language 1 (English for Specific Purposes - B2 level),3,5,87,B+,3.33,Good
MDE 135,Turkish Language 1 (B1 level),2,3,93,A-,3.67,Excellent
MDE 141,Physical Education 1,1,2,95,A,4,Excellent
MDE 171,Modern History of Kazakhstan,3,5,97,A,4,Excellent
,,19,30,SA : 85.47,GA : 85.47,SPA : 3.25,GPA : 3.25
2020 - 2021. 2,,,,,,,
CSS 108,Programming Technologies and Educational Practice,3,5,61,C-,1.67,Satisfactory
INF 106,Information and Communications Technologies (Computer Science),3,5,71,C+,2.33,Good
MAT 154,Mathematics for Computer Science 2,3,5,59,D+,1.33,Satisfactory
MAT 156,Discrete Mathematics,3,5,52,D,1,Satisfactory
MDE 106,Foreign Language 2 (English for Specific Purposes - B2+ level),3,5,65,C,2,Satisfactory
MDE 136,Turkish Language 2 (B1 level),2,3,81,B,3,Good
MDE 142,Physical Education 2,1,2,95,A,4,Excellent
,,18,30,SA : 65.77,GA : 75.62,SPA : 1.96,GPA : 2.6
2021 - 2022. 1,,,,,,,
CSS 152,Physics 1,3,5,60,C-,1.67,Satisfactory
INF 202,Database Management Systems 1,3,5,74,C+,2.33,Good
INF 231,Web programming: front end,3,5,67,C,2,Satisfactory
MDE 113,Kazakh Language 1 (B1 level),3,5,69,C,2,Satisfactory
MDE 137,Turkish Language 3 (B2 level),2,3,50,D,1,Satisfactory
MDE 143,Physical Education 3,1,2,90,A-,3.67,Excellent
,,15,25,SA : 67.2,GA : 73.14,SPA : 2.01,GPA : 2.43
2021 - 2022. 2,,,,,,,
CSS 215,Introduction to Algorithms,3,5,70,C+,2.33,Good
INF 232,Web programming: back end,4,5,84,B,3,Good
INF 305,Database Management Systems 2,3,5,91,A-,3.67,Excellent
INF 313,Computer networks 1,3,5,76,B-,2.67,Good
MDE 114,Kazakh Language 2 (B1 level),3,5,70,C+,2.33,Good
MDE 138,Turkish Language 4 (B2 level),2,3,83,B,3,Good
MDE 144,Physical Education 4,1,2,80,B,3,Good
,,19,30,SA : 78.8,GA : 74.62,SPA : 2.83,GPA : 2.53
2022 - 2023. 1,,,,,,,
CSS 220,Advanced Algorithms,3,5,100,A,4,Excellent
CSS 380,Industrial practice 1,1,1,100,P,,Pass
CSS 410,Research tools and methods,3,5,90,A-,3.67,Excellent
INF 312,Engineering and computer graphics,3,5,85,B+,3.33,Good
INF 318,Introduction to Testing,3,5,86,B+,3.33,Good
INF 325,Enterpreneurship in information systems,3,5,80,B,3,Good
MAT 251,Probability and Mathematical Statictics,4,5,70,C+,2.33,Good
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,96,A,4,Excellent
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,85,B+,3.33,Good
MDE 162,Law,3,5,98,A,4,Excellent
,,25,40,SA : 87.36,GA : 77.84,SPA : 3.41,GPA : 2.76
2022 - 2023. 2,,,,,,,
CSS 381,Industrial practice 2,1,1,100,A,4,Excellent
CSS 415,IT Management,3,5,90,A-,3.67,Excellent
INF 371,Automation in Testing,3,5,77,B-,2.67,Good
INF 382,Business Process Modelling,3,5,83,B,3,Good
INF 405,Personal Development in Computer Science,3,5,90,A-,3.67,Excellent
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,92,A-,3.67,Excellent
MDE 154,Module of Social and Political Knowledge (Psychology),1,2,96,A,4,Excellent
MDE 172,Philosophy,3,5,70,C+,2.33,Good
,,18,30,SA : 84.2,GA : 78.88,SPA : 3.2,GPA : 2.83
2023 - 2024. 1,,,,,,,
CSS 450,Industrial project (Introduction),3,5,60,IP,,In progress
CSS 451,Industrial project (Development),3,5,60,IP,,In progress
CSS 452,Industrial project (Design),3,5,60,IP,,In progress
CSS 453,Industrial project (Testing),3,5,60,IP,,In progress
CSS 480,Industrial practice 3,2,3,,IP,,In progress
CSS 481,Industrial practice 3,1,2,,IP,,In progress
,,15,25,SA : 0,GA : 78.88,SPA : 0,GPA : 2.83
Total Internal Credits : 114,,Total credits/ECTS : 185,,Grand Average : 78.88,,Grand GPA : 2.83,
