Course code,Course title,Internal Credit,Credit / ECTS,Grade,Letter Grade,Point,Traditional
2020 - 2021. 1,,,,,,,
CSS 105,Fundamentals of Programming,4,5,77,B-,2.67,Good
MAT 151,Linear Algebra,3,5,88,B+,3.33,Good
MAT 153,Mathematics for Computer Science 1,3,5,90,A-,3.67,Excellent
MDE 104,Foreign Language 1 (English for Specific Purposes - B2 level),3,5,83,B,3,Good
MDE 131,Turkish Language 1 (А1 level),2,3,87,B+,3.33,Good
MDE 141,Physical Education 1,1,2,95,A,4,Excellent
MDE 171,Modern History of Kazakhstan,3,5,95,A,4,Excellent
,,19,30,SA : 87.2,GA : 87.2,SPA : 3.38,GPA : 3.38
2020 - 2021. 2,,,,,,,
CSS 108,Programming Technologies and Educational Practice,3,5,0,AW,,Academic Withdraw
INF 106,Information and Communications Technologies (Computer Science),3,5,83,B,3,Good
MAT 154,Mathematics for Computer Science 2,3,5,81,B,3,Good
MAT 156,Discrete Mathematics,3,5,67,C,2,Satisfactory
MDE 106,Foreign Language 2 (English for Specific Purposes - B2+ level),3,5,88,B+,3.33,Good
MDE 132,Turkish Language 2 (А1 level),2,3,89,B+,3.33,Good
MDE 142,Physical Education 2,1,2,95,A,4,Excellent
MDE 144,Physical Education 4,1,2,95,A,4,Excellent
,,19,32,SA : 70.06,GA : 78.35,SPA : 2.58,GPA : 2.97
2020 - 2021. 3,,,,,,,
CSS 108,Programming Technologies and Educational Practice,3,5,70,C+,2.33,Good
,,3,5,SA : 70,GA : 84,SPA : 2.33,GPA : 3.16
2021 - 2022. 1,,,,,,,
CSS 152,Physics 1,3,5,74,C+,2.33,Good
CSS 215,Introduction to Algorithms,3,5,78,B-,2.67,Good
INF 202,Database Management Systems 1,3,5,98,A,4,Excellent
INF 231,Web programming: front end,3,5,97,A,4,Excellent
MDE 123,Russian Language 1 (B1 level),3,5,90,A-,3.67,Excellent
MDE 133,Turkish Language 3 (А2 level),2,3,100,A,4,Excellent
MDE 143,Physical Education 3,1,2,95,A,4,Excellent
,,18,30,SA : 89.17,GA : 85.68,SPA : 3.45,GPA : 3.25
2021 - 2022. 2,,,,,,,
CSS 220,Advanced Algorithms,3,5,70,C+,2.33,Good
INF 232,Web programming: back end,4,5,82,B,3,Good
INF 305,Database Management Systems 2,3,5,59,D+,1.33,Satisfactory
INF 313,Computer networks 1,3,5,81,B,3,Good
MDE 124,Russian Language 2 (B1 level),3,5,80,B,3,Good
MDE 134,Turkish Language 4 (А2 level),2,3,99,A,4,Excellent
,,18,28,SA : 77.04,GA : 83.67,SPA : 2.69,GPA : 3.12
2022 - 2023. 1,,,,,,,
CSS 380,Industrial practice 1,1,1,70,P,,Pass
CSS 439,Distributed Big Data Systems,3,5,,W,,Withdraw
INF 317,Python for data analysis,3,5,58,D+,1.33,Satisfactory
INF 323,Data analysis,3,5,85,B+,3.33,Good
MAT 251,Probability and Mathematical Statictics,4,5,53,D,1,Satisfactory
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,82,B,3,Good
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,90,A-,3.67,Excellent
MDE 166,Еntrepreneurship,3,5,94,A-,3.67,Excellent
,,19,30,SA : 74.75,GA : 82.18,SPA : 2.5,GPA : 3.02
2022 - 2023. 2,,,,,,,
INF 378,AWS Cloud Computing,3,5,* 90,A-,3.67,Excellent
INF 423,Statistics and Visualization for Data Analysis,3,5,* 70,C+,2.33,Good
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,* 85,B+,3.33,Good
,,7,12,SA : 80.83,GA : 82.08,SPA : 3.06,GPA : 3.02
2023 - 2024. 1,,,,,,,
CSS 410,Research tools and methods,3,5,37,IP,,In progress
CSS 480,Industrial practice 3,2,3,,IP,,In progress
CSS 481,Industrial practice 3,1,2,,IP,,In progress
INF 228,UX/UI design,3,5,56,IP,,In progress
INF 344,IT security and Risk Management,3,5,43,IP,,In progress
INF 360,IT-law,3,5,49,IP,,In progress
INF 405,Personal Development in Computer Science,3,5,56,IP,,In progress
INF 433,ICT in Agriculture,3,5,44,IP,,In progress
,,21,35,SA : 0,GA : 82.08,SPA : 0,GPA : 3.02
Total Internal Credits : 97,,Total credits/ECTS : 157,,Grand Average : 82.08,,Grand GPA : 3.02,
