Course code,Course title,Internal Credit,Credit / ECTS,Grade,Letter Grade,Point,Traditional
2020 - 2021. 1,,,,,,,
CEC 101,General English (A1 level),6,6,89,P,,Pass
CSS 105,Fundamentals of Programming,4,5,85,B+,3.33,Good
MAT 151,Linear Algebra,3,5,87,B+,3.33,Good
MAT 153,Mathematics for Computer Science 1,3,5,80,B,3,Good
MDE 131,Turkish Language 1 (А1 level),2,3,90,A-,3.67,Excellent
MDE 141,Physical Education 1,1,2,95,A,4,Excellent
MDE 171,Modern History of Kazakhstan,3,5,96,A,4,Excellent
,,22,31,SA : 88,GA : 88,SPA : 3.49,GPA : 3.49
2020 - 2021. 2,,,,,,,
CEC 102,General English (A2 level),6,6,68,P,,Pass
CSS 108,Programming Technologies and Educational Practice,3,5,58,D+,1.33,Satisfactory
INF 106,Information and Communications Technologies (Computer Science),3,5,81,B,3,Good
MAT 154,Mathematics for Computer Science 2,3,5,74,C+,2.33,Good
MAT 156,Discrete Mathematics,3,5,65,C,2,Satisfactory
MDE 132,Turkish Language 2 (А1 level),2,3,90,A-,3.67,Excellent
MDE 142,Physical Education 2,1,2,95,A,4,Excellent
MDE 144,Physical Education 4,1,2,95,A,4,Excellent
,,22,33,SA : 75.56,GA : 81.54,SPA : 2.6,GPA : 3.03
2021 - 2022. 1,,,,,,,
CSS 152,Physics 1,3,5,70,C+,2.33,Good
CSS 215,Introduction to Algorithms,3,5,83,B,3,Good
INF 202,Database Management Systems 1,3,5,76,B-,2.67,Good
INF 231,Web programming: front end,3,5,88,B+,3.33,Good
MDE 123,Russian Language 1 (B1 level),3,5,90,A-,3.67,Excellent
MDE 133,Turkish Language 3 (А2 level),2,3,85,B+,3.33,Good
MDE 143,Physical Education 3,1,2,95,A,4,Excellent
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,90,A-,3.67,Excellent
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,93,A-,3.67,Excellent
MDE 190,Foreign Language 1 (English for Specific Purposes - B1 level ),3,5,90,A-,3.67,Excellent
,,23,39,SA : 84.51,GA : 82.81,SPA : 3.23,GPA : 3.12
2021 - 2022. 2,,,,,,,
CSS 220,Advanced Algorithms,3,5,77,B-,2.67,Good
INF 232,Web programming: back end,4,5,70,C+,2.33,Good
INF 305,Database Management Systems 2,3,5,78,B-,2.67,Good
INF 313,Computer networks 1,3,5,70,C+,2.33,Good
MDE 124,Russian Language 2 (B1 level),3,5,85,B+,3.33,Good
MDE 134,Turkish Language 4 (А2 level),2,3,80,B,3,Good
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,96,A,4,Excellent
MDE 172,Philosophy,3,5,79,B-,2.67,Good
MDE 191,Foreign Language 2 (English for Specific Purposes - B1+ level ),3,5,95,A,4,Excellent
,,25,40,SA : 80.05,GA : 81.97,SPA : 2.93,GPA : 3.06
2022 - 2023. 1,,,,,,,
CSS 380,Industrial practice 1,1,1,70,P,,Pass
CSS 417,Linux Administration,3,5,70,C+,2.33,Good
INF 328,3D modeling,3,5,70,C+,2.33,Good
INF 357,Introduction to Unity programming,4,5,75,B-,2.67,Good
MAT 251,Probability and Mathematical Statictics,4,5,63,C-,1.67,Satisfactory
MDE 162,Law,3,5,88,B+,3.33,Good
,,18,26,SA : 73.2,GA : 80.56,SPA : 2.47,GPA : 2.96
2022 - 2023. 2,,,,,,,
CSS 381,Industrial practice 2,1,1,70,C+,2.33,Good
INF 368,The Go programming language,3,5,86,B+,3.33,Good
INF 386,Software Testing Foundations,3,5,82,B,3,Good
INF 392,Blockchain technology,3,5,66,C,2,Satisfactory
INF 405,Personal Development in Computer Science,3,5,97,A,4,Excellent
MDE 154,Module of Social and Political Knowledge (Psychology),1,2,93,A-,3.67,Excellent
,,14,23,SA : 83.09,GA : 80.89,SPA : 3.1,GPA : 2.98
2023 - 2024. 1,,,,,,,
CSS 410,Research tools and methods,3,5,50,IP,,In progress
CSS 480,Industrial practice 3,2,3,,IP,,In progress
CSS 481,Industrial practice 3,1,2,,IP,,In progress
INF 228,UX/UI design,3,5,60,IP,,In progress
INF 415,Leadership in IT,3,5,43,IP,,In progress
INF 431,Accounting Information Systems,3,5,,IP,,In progress
MAT 364,Cryptography,3,5,51,IP,,In progress
,,18,30,SA : 0,GA : 80.89,SPA : 0,GPA : 2.98
Total Internal Credits : 124,,Total credits/ECTS : 192,,Grand Average : 80.89,,Grand GPA : 2.98,
