Course code,Course title,Internal Credit,Credit / ECTS,Grade,Letter Grade,Point,Traditional
2020 - 2021. 1,,,,,,,
CEC 102,General English (A2 level),6,6,72,P,,Pass
CSS 105,Fundamentals of Programming,4,5,60,C-,1.67,Satisfactory
MAT 151,Linear Algebra,3,5,67,C,2,Satisfactory
MAT 153,Mathematics for Computer Science 1,3,5,75,B-,2.67,Good
MDE 131,Turkish Language 1 (А1 level),2,3,82,B,3,Good
MDE 141,Physical Education 1,1,2,90,A-,3.67,Excellent
MDE 171,Modern History of Kazakhstan,3,5,92,A-,3.67,Excellent
,,22,31,SA : 75.84,GA : 75.84,SPA : 2.66,GPA : 2.66
2020 - 2021. 2,,,,,,,
CSS 108,Programming Technologies and Educational Practice,3,5,66,C,2,Satisfactory
INF 106,Information and Communications Technologies (Computer Science),3,5,86,B+,3.33,Good
MAT 154,Mathematics for Computer Science 2,3,5,78,B-,2.67,Good
MAT 156,Discrete Mathematics,3,5,69,C,2,Satisfactory
MDE 103,Foreign Language 1 (English for Specific Purposes - B1 level ),3,5,85,B+,3.33,Good
MDE 132,Turkish Language 2 (А1 level),2,3,76,B-,2.67,Good
MDE 142,Physical Education 2,1,2,83,B,3,Good
MDE 144,Physical Education 4,1,2,83,B,3,Good
,,19,32,SA : 77.5,GA : 76.77,SPA : 2.71,GPA : 2.69
2021 - 2022. 1,,,,,,,
CSS 152,Physics 1,3,5,65,C,2,Satisfactory
CSS 215,Introduction to Algorithms,3,5,71,C+,2.33,Good
INF 202,Database Management Systems 1,3,5,57,D+,1.33,Satisfactory
INF 231,Web programming: front end,3,5,99,A,4,Excellent
MDE 113,Kazakh Language 1 (B1 level),3,5,82,B,3,Good
MDE 133,Turkish Language 3 (А2 level),2,3,82,B,3,Good
MDE 143,Physical Education 3,1,2,95,A,4,Excellent
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,83,B,3,Good
MDE 191,Foreign Language 2 (English for Specific Purposes - B1+ level ),3,5,78,B-,2.67,Good
,,22,37,SA : 77.35,GA : 77,SPA : 2.69,GPA : 2.69
2021 - 2022. 2,,,,,,,
CSS 220,Advanced Algorithms,3,5,68,C,2,Satisfactory
INF 232,Web programming: back end,4,5,97,A,4,Excellent
INF 305,Database Management Systems 2,3,5,71,C+,2.33,Good
INF 313,Computer networks 1,3,5,62,C-,1.67,Satisfactory
MDE 114,Kazakh Language 2 (B1 level),3,5,88,B+,3.33,Good
MDE 134,Turkish Language 4 (А2 level),2,3,98,A,4,Excellent
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,94,A-,3.67,Excellent
,,19,30,SA : 80.4,GA : 77.82,SPA : 2.87,GPA : 2.73
2022 - 2023. 1,,,,,,,
CSS 380,Industrial practice 1,1,1,100,P,,Pass
INF 312,Engineering and computer graphics,3,5,95,A,4,Excellent
INF 318,Introduction to Testing,3,5,74,C+,2.33,Good
INF 324,Computer vision,3,5,100,A,4,Excellent
MAT 251,Probability and Mathematical Statictics,4,5,75,B-,2.67,Good
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,74,C+,2.33,Good
MDE 162,Law,3,5,98,A,4,Excellent
,,18,28,SA : 87.33,GA : 79.52,SPA : 3.32,GPA : 2.84
2022 - 2023. 2,,,,,,,
CSS 381,Industrial practice 2,1,1,100,A,4,Excellent
INF 228,UX/UI design,3,5,90,A-,3.67,Excellent
INF 261,Game Physics,3,5,72,C+,2.33,Good
INF 371,Automation in Testing,3,5,70,C+,2.33,Good
INF 405,Personal Development in Computer Science,3,5,98,A,4,Excellent
MDE 154,Module of Social and Political Knowledge (Psychology),1,2,98,A,4,Excellent
MDE 172,Philosophy,3,5,86,B+,3.33,Good
,,17,28,SA : 84.86,GA : 80.36,SPA : 3.23,GPA : 2.9
2023 - 2024. 1,,,,,,,
CSS 410,Research tools and methods,3,5,49,IP,,In progress
CSS 423,Applied Artificial Intelligence,3,5,53,IP,,In progress
CSS 446,IT audit,3,5,43,IP,,In progress
CSS 480,Industrial practice 3,2,3,,IP,,In progress
CSS 481,Industrial practice 3,1,2,,IP,,In progress
INF 440,Digital Image Processing,3,5,47,IP,,In progress
MAT 364,Cryptography,3,5,43,IP,,In progress
,,18,30,SA : 0,GA : 80.36,SPA : 0,GPA : 2.9
Total Internal Credits : 117,,Total credits/ECTS : 186,,Grand Average : 80.36,,Grand GPA : 2.9,
