Course code,Course title,Internal Credit,Credit / ECTS,Grade,Letter Grade,Point,Traditional
2020 - 2021. 1,,,,,,,
CSS 105,Fundamentals of Programming,4,5,80,B,3,Good
MAT 151,Linear Algebra,3,5,77,B-,2.67,Good
MAT 153,Mathematics for Computer Science 1,3,5,90,A-,3.67,Excellent
MDE 104,Foreign Language 1 (English for Specific Purposes - B2 level),3,5,88,B+,3.33,Good
MDE 135,Turkish Language 1 (B1 level),2,3,98,A,4,Excellent
MDE 141,Physical Education 1,1,2,90,A-,3.67,Excellent
MDE 171,Modern History of Kazakhstan,3,5,95,A,4,Excellent
,,19,30,SA : 87.47,GA : 87.47,SPA : 3.42,GPA : 3.42
2020 - 2021. 2,,,,,,,
CSS 108,Programming Technologies and Educational Practice,3,5,62,C-,1.67,Satisfactory
INF 106,Information and Communications Technologies (Computer Science),3,5,71,C+,2.33,Good
MAT 154,Mathematics for Computer Science 2,3,5,81,B,3,Good
MAT 156,Discrete Mathematics,3,5,72,C+,2.33,Good
MDE 106,Foreign Language 2 (English for Specific Purposes - B2+ level),3,5,89,B+,3.33,Good
MDE 136,Turkish Language 2 (B1 level),2,3,100,A,4,Excellent
MDE 142,Physical Education 2,1,2,95,A,4,Excellent
,,18,30,SA : 78.83,GA : 83.15,SPA : 2.78,GPA : 3.1
2021 - 2022. 1,,,,,,,
CSS 152,Physics 1,3,5,72,C+,2.33,Good
CSS 215,Introduction to Algorithms,3,5,75,B-,2.67,Good
INF 202,Database Management Systems 1,3,5,98,A,4,Excellent
INF 231,Web programming: front end,3,5,95,A,4,Excellent
MDE 123,Russian Language 1 (B1 level),3,5,83,B,3,Good
MDE 137,Turkish Language 3 (B2 level),2,3,95,A,4,Excellent
MDE 143,Physical Education 3,1,2,90,A-,3.67,Excellent
,,18,30,SA : 86,GA : 84.1,SPA : 3.31,GPA : 3.17
2021 - 2022. 2,,,,,,,
CSS 220,Advanced Algorithms,3,5,72,C+,2.33,Good
INF 232,Web programming: back end,4,5,63,C-,1.67,Satisfactory
INF 305,Database Management Systems 2,3,5,70,C+,2.33,Good
INF 313,Computer networks 1,3,5,80,B,3,Good
MDE 124,Russian Language 2 (B1 level),3,5,85,B+,3.33,Good
MDE 138,Turkish Language 4 (B2 level),2,3,85,B+,3.33,Good
MDE 144,Physical Education 4,1,2,85,B+,3.33,Good
MDE 154,Module of Social and Political Knowledge (Psychology),1,2,96,A,4,Excellent
,,20,32,SA : 77.09,GA : 82.26,SPA : 2.75,GPA : 3.06
2022 - 2023. 1,,,,,,,
CSS 214,Introduction to iOS Programming,3,5,54,D,1,Satisfactory
CSS 380,Industrial practice 1,1,1,70,P,,Pass
INF 322,Graphic Design,3,5,82,B,3,Good
INF 323,Data analysis,3,5,93,A-,3.67,Excellent
MAT 251,Probability and Mathematical Statictics,4,5,80,B,3,Good
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,84,B,3,Good
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,97,A,4,Excellent
MDE 162,Law,3,5,72,C+,2.33,Good
,,19,30,SA : 78.17,GA : 81.48,SPA : 2.72,GPA : 3
2022 - 2023. 2,,,,,,,
CSS 381,Industrial practice 2,1,1,70,C+,2.33,Good
INF 367,3D Animation And Visual Effects,3,5,70,C+,2.33,Good
INF 370,User Interface Design,3,5,97,A,4,Excellent
INF 382,Business Process Modelling,3,5,89,B+,3.33,Good
INF 405,Personal Development in Computer Science,3,5,91,A-,3.67,Excellent
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,99,A,4,Excellent
MDE 172,Philosophy,3,5,79,B-,2.67,Good
,,17,28,SA : 85.64,GA : 82.13,SPA : 3.23,GPA : 3.03
2023 - 2024. 1,,,,,,,
CSS 410,Research tools and methods,3,5,47,IP,,In progress
CSS 450,Industrial project (Introduction),3,5,47,IP,,In progress
CSS 451,Industrial project (Development),3,5,47,IP,,In progress
CSS 452,Industrial project (Design),3,5,47,IP,,In progress
CSS 453,Industrial project (Testing),3,5,47,IP,,In progress
CSS 480,Industrial practice 3,2,3,,IP,,In progress
CSS 481,Industrial practice 3,1,2,,IP,,In progress
,,18,30,SA : 0,GA : 82.13,SPA : 0,GPA : 3.03
Total Internal Credits : 111,,Total credits/ECTS : 180,,Grand Average : 82.13,,Grand GPA : 3.03,
