Course code,Course title,Internal Credit,Credit / ECTS,Grade,Letter Grade,Point,Traditional
2020 - 2021. 1,,,,,,,
INF 106,Information and Communications Technologies (Computer Science),3,5,* 91,A-,3.67,Excellent
MAT 153,Mathematics for Computer Science 1,3,5,* 93,A-,3.67,Excellent
MDE 102,Foreign Language (General English - A2 level),6,5,* 93,A-,3.67,Excellent
MDE 123,Russian Language 1 (B1 level),3,5,* 91,A-,3.67,Excellent
MDE 141,Physical Education 1,1,2,* 97,A,4,Excellent
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,* 93,A-,3.67,Excellent
,,17,24,SA : 92.5,GA : 92.5,SPA : 3.7,GPA : 3.7
2020 - 2021. 2,,,,,,,
CSS 105,Fundamentals of Programming,4,5,73,C+,2.33,Good
MAT 151,Linear Algebra,3,5,93,A-,3.67,Excellent
MAT 154,Mathematics for Computer Science 2,3,5,62,C-,1.67,Satisfactory
MAT 156,Discrete Mathematics,3,5,95,A,4,Excellent
MDE 131,Turkish Language 1 (А1 level),2,3,70,C+,2.33,Good
MDE 142,Physical Education 2,1,2,95,A,4,Excellent
MDE 144,Physical Education 4,1,2,100,A,4,Excellent
MDE 188,Foreign Language 2 (English for Specific Purposes - B1+ level ),3,5,79,B-,2.67,Good
,,20,32,SA : 81.56,GA : 86.25,SPA : 2.96,GPA : 3.28
2020 - 2021. 3,,,,,,,
CSS 108,Programming Technologies and Educational Practice,3,5,0,F,0,Unsatisfactory
,,3,5,SA : 0,GA : 79.18,SPA : 0,GPA : 3.01
2021 - 2022. 1,,,,,,,
CSS 108,Programming Technologies and Educational Practice,3,5,85,B+,3.33,Good
CSS 152,Physics 1,3,5,67,C,2,Satisfactory
CSS 252,Electronics,4,5,87,B+,3.33,Good
MDE 113,Kazakh Language 1 (B1 level),3,5,75,B-,2.67,Good
MDE 133,Turkish Language 3 (А2 level),2,3,78,B-,2.67,Good
MDE 143,Physical Education 3,1,2,100,A,4,Excellent
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,86,B+,3.33,Good
MDE 171,Modern History of Kazakhstan,3,5,85,B+,3.33,Good
,,20,32,SA : 81.28,GA : 84.44,SPA : 3,GPA : 3.18
2021 - 2022. 2,,,,,,,
CSS 225,Web programming fundamentals,3,5,80,B,3,Good
CSS 254,Digital design,3,5,81,B,3,Good
MAT 251,Probability and Mathematical Statictics,4,5,76,B-,2.67,Good
MDE 132,Turkish Language 2 (А1 level),2,3,97,A,4,Excellent
MDE 134,Turkish Language 4 (А2 level),2,3,75,B-,2.67,Good
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,94,A-,3.67,Excellent
MDE 154,Module of Social and Political Knowledge (Psychology),1,2,98,A,4,Excellent
MDE 172,Philosophy,3,5,92,A-,3.67,Excellent
,,19,30,SA : 84.83,GA : 84.54,SPA : 3.24,GPA : 3.19
2022 - 2023. 1,,,,,,,
CSS 303,Foundations of Information and Cyber Security,3,5,55,D+,1.33,Satisfactory
CSS 312,Computer Networks 1,3,5,62,C-,1.67,Satisfactory
CSS 341,Computer organization and architecture,3,5,80,B,3,Good
CSS 380,Industrial practice 1,1,1,70,P,,Pass
CSS 439,Distributed Big Data Systems,3,5,73,C+,2.33,Good
MDE 167,Leadership,3,5,59,D+,1.33,Satisfactory
,,16,26,SA : 65.8,GA : 81.27,SPA : 1.93,GPA : 2.97
2022 - 2023. 2,,,,,,,
CSS 215,Introduction to Algorithms,3,5,86,B+,3.33,Good
CSS 309,Low-level Architecture,3,5,91,A-,3.67,Excellent
CSS 342,Software engineering,3,5,96,A,4,Excellent
CSS 381,Industrial practice 2,1,1,70,C+,2.33,Good
INF 324,Computer vision,3,5,90,A-,3.67,Excellent
INF 337,Deep Learning,3,5,92,A-,3.67,Excellent
INF 423,Statistics and Visualization for Data Analysis,3,5,98,A,4,Excellent
,,19,31,SA : 91.45,GA : 83.08,SPA : 3.68,GPA : 3.1
2023 - 2024. 1,,,,,,,
CSS 251,Physics 2,3,5,55,IP,,In progress
CSS 410,Research tools and methods,3,5,55,IP,,In progress
CSS 446,IT audit,3,5,43,IP,,In progress
CSS 465,Project Management,3,5,47,IP,,In progress
CSS 480,Industrial practice 3,2,3,,IP,,In progress
CSS 481,Industrial practice 3,1,2,,IP,,In progress
INF 405,Personal Development in Computer Science,3,5,53,IP,,In progress
,,18,30,SA : 0,GA : 83.08,SPA : 0,GPA : 3.1
Total Internal Credits : 111,,Total credits/ECTS : 175,,Grand Average : 83.08,,Grand GPA : 3.1,
