Course code,Course title,Internal Credit,Credit / ECTS,Grade,Letter Grade,Point,Traditional
CSS 105,Fundamentals of Programming,4,5,88,B+,3.33,Good
MAT 151,Linear Algebra,3,5,80,B,3,Good
MAT 153,Mathematics for Computer Science 1,3,5,86,B+,3.33,Good
MDE 103,Foreign Language 1 (English for Specific Purposes - B1 level ),3,5,98,A,4,Excellent
MDE 131,Turkish Language 1 (А1 level),2,3,91,A-,3.67,Excellent
MDE 141,Physical Education 1,1,2,95,A,4,Excellent
MDE 171,Modern History of Kazakhstan,3,5,97,A,4,Excellent
,,19,30,SA : 90.27,GA : 90.27,SPA : 3.58,GPA : 3.58
2020 - 2021. 2,,,,,,,
CSS 108,Programming Technologies and Educational Practice,3,5,71,C+,2.33,Good
INF 106,Information and Communications Technologies (Computer Science),3,5,81,B,3,Good
MAT 154,Mathematics for Computer Science 2,3,5,70,C+,2.33,Good
MAT 156,Discrete Mathematics,3,5,70,C+,2.33,Good
MDE 114,Kazakh Language 2 (B1 level),3,5,86,B+,3.33,Good
MDE 132,Turkish Language 2 (А1 level),2,3,83,B,3,Good
MDE 142,Physical Education 2,1,2,95,A,4,Excellent
MDE 144,Physical Education 4,1,2,100,A,4,Excellent
MDE 188,Foreign Language 2 (English for Specific Purposes - B1+ level ),3,5,95,A,4,Excellent
,,22,37,SA : 81.19,GA : 85.25,SPA : 3.02,GPA : 3.27
2021 - 2022. 1,,,,,,,
CSS 152,Physics 1,3,5,72,C+,2.33,Good
CSS 215,Introduction to Algorithms,3,5,81,B,3,Good
INF 202,Database Management Systems 1,3,5,100,A,4,Excellent
INF 231,Web programming: front end,3,5,94,A-,3.67,Excellent
MDE 113,Kazakh Language 1 (B1 level),3,5,79,B-,2.67,Good
MDE 133,Turkish Language 3 (А2 level),2,3,90,A-,3.67,Excellent
MDE 143,Physical Education 3,1,2,95,A,4,Excellent
,,18,30,SA : 86.33,GA : 85.59,SPA : 3.25,GPA : 3.26
2021 - 2022. 2,,,,,,,
CSS 220,Advanced Algorithms,3,5,96,A,4,Excellent
INF 232,Web programming: back end,4,5,95,A,4,Excellent
INF 305,Database Management Systems 2,3,5,76,B-,2.67,Good
INF 313,Computer networks 1,3,5,91,A-,3.67,Excellent
MDE 134,Turkish Language 4 (А2 level),2,3,92,A-,3.67,Excellent
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,95,A,4,Excellent
MDE 154,Module of Social and Political Knowledge (Psychology),1,2,99,A,4,Excellent
,,17,27,SA : 90.89,GA : 86.74,SPA : 3.66,GPA : 3.35
2022 - 2023. 1,,,,,,,
CSS 214,Introduction to iOS Programming,3,5,75,B-,2.67,Good
CSS 380,Industrial practice 1,1,1,100,P,,Pass
INF 312,Engineering and computer graphics,3,5,87,B+,3.33,Good
INF 324,Computer vision,3,5,91,A-,3.67,Excellent
MAT 251,Probability and Mathematical Statictics,4,5,61,C-,1.67,Satisfactory
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,,W,,Withdraw
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,82,B,3,Good
MDE 161,Еconomy,3,5,82,B,3,Good
,,19,30,SA : 79.41,GA : 85.43,SPA : 2.88,GPA : 3.26
2022 - 2023. 2,,,,,,,
CSS 381,Industrial practice 2,1,1,100,A,4,Excellent
CSS 411,Advanced Programming using JAVA EE,3,5,79,B-,2.67,Good
INF 378,AWS Cloud Computing,3,5,91,A-,3.67,Excellent
INF 379,Introduction to self-driving cars,3,5,100,A,4,Excellent
INF 383,Business Analysis Foundations,3,5,82,B,3,Good
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,93,A-,3.67,Excellent
MDE 172,Philosophy,3,5,90,A-,3.67,Excellent
,,17,28,SA : 89.14,GA : 86.01,SPA : 3.44,GPA : 3.29
2023 - 2024. 1,,,,,,,
CSS 410,Research tools and methods,3,5,51,IP,,In progress
CSS 450,Industrial project (Introduction),3,5,60,IP,,In progress
CSS 451,Industrial project (Development),3,5,60,IP,,In progress
CSS 452,Industrial project (Design),3,5,60,IP,,In progress
CSS 453,Industrial project (Testing),3,5,60,IP,,In progress
CSS 480,Industrial practice 3,2,3,,IP,,In progress
CSS 481,Industrial practice 3,1,2,,IP,,In progress
,,18,30,SA : 0,GA : 86.01,SPA : 0,GPA : 3.29
Total Internal Credits : 111,,Total credits/ECTS : 180,,Grand Average : 86.01,,Grand GPA : 3.29,
