Course code;Course title;Internal Credit;Credit / ECTS;Grade;Letter Grade;Point;Traditional
2020 - 2021. 1;;;;;;;
CSS 105;Fundamentals of Programming;4;5;93;A-;3.67;Excellent
MAT 151;Linear Algebra;3;5;82;B;3;Good
MAT 153;Mathematics for Computer Science 1;3;5;88;B+;3.33;Good
MDE 103;Foreign Language 1 (English for Specific Purposes - B1 level );3;5;98;A;4;Excellent
MDE 131;Turkish Language 1 (À1 level);2;3;90;A-;3.67;Excellent
MDE 141;Physical Education 1;1;2;95;A;4;Excellent
MDE 171;Modern History of Kazakhstan;3;5;99;A;4;Excellent
;;19;30;SA : 92;GA : 92;SPA : 3.63;GPA : 3.63
2020 - 2021. 2;;;;;;;
CSS 108;Programming Technologies and Educational Practice;3;5;91;A-;3.67;Excellent
INF 106;Information and Communications Technologies (Computer Science);3;5;89;B+;3.33;Good
MAT 154;Mathematics for Computer Science 2;3;5;88;B+;3.33;Good
MAT 156;Discrete Mathematics;3;5;80;B;3;Good
MDE 132;Turkish Language 2 (À1 level);2;3;87;B+;3.33;Good
MDE 142;Physical Education 2;1;2;95;A;4;Excellent
MDE 188;Foreign Language 2 (English for Specific Purposes - B1+ level );3;5;96;A;4;Excellent
;;18;30;SA : 89.03;GA : 90.52;SPA : 3.49;GPA : 3.56
2021 - 2022. 1;;;;;;;
CSS 152;Physics 1;3;5;78;B-;2.67;Good
CSS 215;Introduction to Algorithms;3;5;95;A;4;Excellent
INF 202;Database Management Systems 1;3;5;95;A;4;Excellent
INF 231;Web programming: front end;3;5;99;A;4;Excellent
MDE 123;Russian Language 1 (B1 level);3;5;90;A-;3.67;Excellent
MDE 133;Turkish Language 3 (À2 level);2;3;91;A-;3.67;Excellent
MDE 143;Physical Education 3;1;2;100;A;4;Excellent
;;18;30;SA : 91.93;GA : 90.99;SPA : 3.69;GPA : 3.6
2021 - 2022. 2;;;;;;;
CSS 220;Advanced Algorithms;3;5;90;A-;3.67;Excellent
INF 232;Web programming: back end;4;5;88;B+;3.33;Good
INF 305;Database Management Systems 2;3;5;80;B;3;Good
INF 313;Computer networks 1;3;5;96;A;4;Excellent
MDE 124;Russian Language 2 (B1 level);3;5;94;A-;3.67;Excellent
MDE 134;Turkish Language 4 (À2 level);2;3;100;A;4;Excellent
MDE 144;Physical Education 4;1;2;100;A;4;Excellent
;;19;30;SA : 91.33;GA : 91.08;SPA : 3.61;GPA : 3.61
2022 - 2023. 1;;;;;;;
CSS 223;C# Object Oriented Programming;3;5;100;A;4;Excellent
CSS 380;Industrial practice 1;1;1;70;P;;Pass
CSS 417;Linux Administration;3;5;83;B;3;Good
INF 357;Introduction to Unity programming;4;5;96;A;4;Excellent
MAT 251;Probability and Mathematical Statictics;4;5;95;A;4;Excellent
MDE 151;Module of Social and Political Knowledge (Political Science);1;2;98;A;4;Excellent
MDE 152;Module of Social and Political Knowledge (Sociology);1;2;100;A;4;Excellent
MDE 162;Law;3;5;100;A;4;Excellent
;;20;30;SA : 95.38;GA : 91.91;SPA : 3.83;GPA : 3.65
2022 - 2023. 2;;;;;;;
CSS 381;Industrial practice 2;1;1;70;C+;2.33;Good
CSS 411;Advanced Programming using JAVA EE;3;5;82;B;3;Good
INF 333;Server Administration with Active Directory - Windows Server (Microsoft Certified Solutions Associate);3;5;99;A;4;Excellent
INF 363;Advanced VFX and Post Production;3;5;82;B;3;Good
INF 385;Big Data;3;5;80;B;3;Good
MDE 153;Module of Social and Political Knowledge (Cultural Studies);1;2;98;A;4;Excellent
MDE 154;Module of Social and Political Knowledge (Psychology);1;2;96;A;4;Excellent
MDE 172;Philosophy;3;5;99;A;4;Excellent
;;18;30;SA : 88.93;GA : 91.41;SPA : 3.44;GPA : 3.61
2023 - 2024. 1;;;;;;;
CSS 410;Research tools and methods;3;5;;IP;;In progress
CSS 450;Industrial project (Introduction);3;5;60;IP;;In progress
CSS 451;Industrial project (Development);3;5;60;IP;;In progress
CSS 452;Industrial project (Design);3;5;60;IP;;In progress
CSS 453;Industrial project (Testing);3;5;60;IP;;In progress
CSS 480;Industrial practice 3;2;3;;IP;;In progress
CSS 481;Industrial practice 3;1;2;;IP;;In progress
;;18;30;SA : 0;GA : 91.41;SPA : 0;GPA : 3.61
Total Internal Credits : 112;;Total credits/ECTS : 180;;Grand Average : 91.41;;Grand GPA : 3.61;
