Course code,Course title,Internal Credit,Credit / ECTS,Grade,Letter Grade,Point,Traditional
2020 - 2021. 1,,,,,,,
MAT 104,Linear Algebra and Analytic Geometry,3,5,100,A,4,Excellent
MAT 105,Introductory mathematics,2,3,96,A,4,Excellent
MCM 107,Fundamentals of Programming,2,3,97,A,4,Excellent
MCM 111,Mathematical analysis 1,3,5,77,B-,2.67,Good
MDE 104,Foreign Language 1 (English for Specific Purposes - B2 level),3,5,89,B+,3.33,Good
MDE 131,Turkish Language 1 (А1 level),2,3,97,A,4,Excellent
MDE 141,Physical Education 1,1,2,95,A,4,Excellent
MDE 171,Modern History of Kazakhstan,3,5,95,A,4,Excellent
,,19,31,SA : 92.42,GA : 92.42,SPA : 3.68,GPA : 3.68
2020 - 2021. 2,,,,,,,
CSS 108,Programming Technologies and Educational Practice,3,5,86,B+,3.33,Good
INF 101,Information and Communication Technologies,3,5,91,A-,3.67,Excellent
MAT 119,Additional chapters of linear algebra,2,3,94,A-,3.67,Excellent
MCM 102,Mathematical analysis 2,4,6,56,D+,1.33,Satisfactory
MDE 106,Foreign Language 2 (English for Specific Purposes - B2+ level),3,5,89,B+,3.33,Good
MDE 132,Turkish Language 2 (А1 level),2,3,95,A,4,Excellent
MDE 142,Physical Education 2,1,2,95,A,4,Excellent
MDE 172,Philosophy,3,5,96,A,4,Excellent
,,21,34,SA : 85.38,GA : 88.74,SPA : 3.25,GPA : 3.46
2021 - 2022. 1,,,,,,,
MAT 108,Algebra,3,5,55,D+,1.33,Satisfactory
MAT 201,Discrete mathematics,3,5,50,D,1,Satisfactory
MAT 205,Ordinary differential equations,3,5,50,D,1,Satisfactory
MCM 202,Mathematical analysis 3,3,5,76,B-,2.67,Good
MDE 123,Russian Language 1 (B1 level),3,5,85,B+,3.33,Good
MDE 133,Turkish Language 3 (А2 level),2,3,92,A-,3.67,Excellent
MDE 143,Physical Education 3,1,2,84,B,3,Good
,,18,30,SA : 67.47,GA : 82.02,SPA : 2.12,GPA : 3.03
2021 - 2022. 2,,,,,,,
MAT 221,Classical mechanics,3,5,63,C-,1.67,Satisfactory
MAT 312,Theory of Probablility and Mathematical Statistics,3,5,64,C-,1.67,Satisfactory
MCM 201,Mathematical and Complex analysis,3,5,64,C-,1.67,Satisfactory
MDE 124,Russian Language 2 (B1 level),3,5,80,B,3,Good
MDE 144,Physical Education 4,1,2,90,A-,3.67,Excellent
,,13,22,SA : 69.77,GA : 79.72,SPA : 2.15,GPA : 2.87
2022 - 2023. 1,,,,,,,
CSS 206,Database Management Systems 1,3,5,76,B-,2.67,Good
CSS 330,Data wrangling and visualization,3,5,91,A-,3.67,Excellent
MAT 325,Topics in Algebra,3,5,70,C+,2.33,Good
MCM 302,Numerical methods,3,5,83,B,3,Good
MCM 304,Internship 1,1,1,100,A,4,Excellent
MCM 305,Internship 2,1,1,100,A,4,Excellent
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,81,B,3,Good
MDE 166,Еntrepreneurship,3,5,100,A,4,Excellent
,,18,29,SA : 84.9,GA : 80.75,SPA : 3.18,GPA : 2.93
2022 - 2023. 2,,,,,,,
INF 328,3D modeling,3,5,90,A-,3.67,Excellent
INF 376,Natural Language Processing,3,5,61,C-,1.67,Satisfactory
MAT 304,Equations of mathematical physics,3,5,78,B-,2.67,Good
MAT 326,Logic and Model theory,3,5,88,B+,3.33,Good
MAT 364,Cryptography,3,5,53,D,1,Satisfactory
MDE 134,Turkish Language 4 (А2 level),2,3,85,B+,3.33,Good
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,91,A-,3.67,Excellent
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,93,A-,3.67,Excellent
MDE 154,Module of Social and Political Knowledge (Psychology),1,2,95,A,4,Excellent
,,20,34,SA : 78.32,GA : 80.29,SPA : 2.78,GPA : 2.9
2023 - 2024. 1,,,,,,,
CSS 421,Computer Vision,3,5,51,IP,,In progress
MAT 331,Optimization methods,3,5,28,IP,,In progress
MAT 370,Methods of Scientific research,3,5,59,IP,,In progress
MAT 489,Mathematical modelling of economic processes,3,5,54,IP,,In progress
MAT 519,Geometric and functional inequalities on Lie groups,3,5,40,IP,,In progress
MCM 401,Internship 3,2,3,,IP,,In progress
MCM 402,Internship 4,1,2,,IP,,In progress
,,18,30,SA : 0,GA : 80.29,SPA : 0,GPA : 2.9
Total Internal Credits : 109,,Total credits/ECTS : 180,,Grand Average : 80.29,,Grand GPA : 2.9,
