Course code,Course title,Internal Credit,Credit / ECTS,Grade,Letter Grade,Point,Traditional
2020 - 2021. 1,,,,,,,
CSS 105,Fundamentals of Programming,4,5,70,C+,2.33,Good
MAT 151,Linear Algebra,3,5,81,B,3,Good
MAT 153,Mathematics for Computer Science 1,3,5,66,C,2,Satisfactory
MDE 104,Foreign Language 1 (English for Specific Purposes - B2 level),3,5,84,B,3,Good
MDE 131,Turkish Language 1 (А1 level),2,3,92,A-,3.67,Excellent
MDE 141,Physical Education 1,1,2,95,A,4,Excellent
MDE 171,Modern History of Kazakhstan,3,5,95,A,4,Excellent
,,19,30,SA : 81.53,GA : 81.53,SPA : 3.02,GPA : 3.02
2020 - 2021. 2,,,,,,,
CSS 108,Programming Technologies and Educational Practice,3,5,50,D,1,Satisfactory
INF 106,Information and Communications Technologies (Computer Science),3,5,87,B+,3.33,Good
MAT 154,Mathematics for Computer Science 2,3,5,75,B-,2.67,Good
MAT 156,Discrete Mathematics,3,5,97,A,4,Excellent
MDE 106,Foreign Language 2 (English for Specific Purposes - B2+ level),3,5,87,B+,3.33,Good
MDE 132,Turkish Language 2 (А1 level),2,3,86,B+,3.33,Good
MDE 142,Physical Education 2,1,2,95,A,4,Excellent
,,18,30,SA : 80.93,GA : 81.23,SPA : 2.99,GPA : 3.01
2021 - 2022. 1,,,,,,,
CSS 152,Physics 1,3,5,50,D,1,Satisfactory
CSS 215,Introduction to Algorithms,3,5,61,C-,1.67,Satisfactory
INF 202,Database Management Systems 1,3,5,52,D,1,Satisfactory
INF 231,Web programming: front end,3,5,83,B,3,Good
MDE 123,Russian Language 1 (B1 level),3,5,83,B,3,Good
MDE 133,Turkish Language 3 (А2 level),2,3,75,B-,2.67,Good
MDE 143,Physical Education 3,1,2,98,A,4,Excellent
,,18,30,SA : 68.87,GA : 77.11,SPA : 2.15,GPA : 2.72
2021 - 2022. 2,,,,,,,
CSS 220,Advanced Algorithms,3,5,64,C-,1.67,Satisfactory
INF 232,Web programming: back end,4,5,63,C-,1.67,Satisfactory
INF 305,Database Management Systems 2,3,5,58,D+,1.33,Satisfactory
MDE 124,Russian Language 2 (B1 level),3,5,85,B+,3.33,Good
MDE 134,Turkish Language 4 (А2 level),2,3,76,B-,2.67,Good
MDE 144,Physical Education 4,1,2,93,A-,3.67,Excellent
,,16,25,SA : 70.56,GA : 75.69,SPA : 2.21,GPA : 2.61
2022 - 2023. 1,,,,,,,
CSS 380,Industrial practice 1,1,1,70,P,,Pass
INF 312,Engineering and computer graphics,3,5,80,B,3,Good
INF 324,Computer vision,3,5,85,B+,3.33,Good
INF 345,Fundamentals of DevOps,3,5,75,B-,2.67,Good
MAT 251,Probability and Mathematical Statictics,4,5,0,FX,0,Unsatisfactory
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,78,B-,2.67,Good
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,88,B+,3.33,Good
MDE 162,Law,3,5,83,B,3,Good
,,19,30,SA : 67.14,GA : 73.97,SPA : 2.48,GPA : 2.58
2022 - 2023. 2,,,,,,,
CSS 381,Industrial practice 2,1,1,70,C+,2.33,Good
INF 228,UX/UI design,3,5,97,A,4,Excellent
INF 313,Computer networks 1,3,5,0,FX,0,Unsatisfactory
INF 333,Server Administration with Active Directory - Windows Server (Microsoft Certified Solutions Associate),3,5,82,B,3,Good
INF 362,Design for Manufacture,3,5,99,A,4,Excellent
INF 363,Advanced VFX and Post Production,3,5,67,C,2,Satisfactory
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,95,A,4,Excellent
MDE 154,Module of Social and Political Knowledge (Psychology),1,2,97,A,4,Excellent
MDE 172,Philosophy,3,5,81,B,3,Good
,,21,35,SA : 73.83,GA : 73.94,SPA : 2.81,GPA : 2.63
2023 - 2024. 1,,,,,,,
CSS 410,Research tools and methods,3,5,56,IP,,In progress
CSS 480,Industrial practice 3,2,3,,IP,,In progress
CSS 481,Industrial practice 3,1,2,,IP,,In progress
INF 360,IT-law,3,5,59,IP,,In progress
INF 426,IT Asset Management,3,5,,IP,,In progress
INF 431,Accounting Information Systems,3,5,,IP,,In progress
MAT 251,Probability and Mathematical Statictics,4,5,44,IP,,In progress
MAT 364,Cryptography,3,5,41,IP,,In progress
,,22,35,SA : 0,GA : 73.94,SPA : 0,GPA : 2.63
Total Internal Credits : 111,,Total credits/ECTS : 180,,Grand Average : 73.94,,Grand GPA : 2.63,
