Course code,Course title,Internal Credit,Credit / ECTS,Grade,Letter Grade,Point,Traditional
2020 - 2021. 1,,,,,,,
CSS 105,Fundamentals of Programming,4,5,65,C,2,Satisfactory
MAT 151,Linear Algebra,3,5,84,B,3,Good
MAT 153,Mathematics for Computer Science 1,3,5,84,B,3,Good
MDE 103,Foreign Language 1 (English for Specific Purposes - B1 level ),3,5,92,A-,3.67,Excellent
MDE 131,Turkish Language 1 (А1 level),2,3,95,A,4,Excellent
MDE 141,Physical Education 1,1,2,95,A,4,Excellent
MDE 171,Modern History of Kazakhstan,3,5,86,B+,3.33,Good
,,19,30,SA : 84.33,GA : 84.33,SPA : 3.17,GPA : 3.17
2020 - 2021. 2,,,,,,,
CSS 108,Programming Technologies and Educational Practice,3,5,60,C-,1.67,Satisfactory
INF 106,Information and Communications Technologies (Computer Science),3,5,65,C,2,Satisfactory
MAT 154,Mathematics for Computer Science 2,3,5,61,C-,1.67,Satisfactory
MAT 156,Discrete Mathematics,3,5,76,B-,2.67,Good
MDE 132,Turkish Language 2 (А1 level),2,3,82,B,3,Good
MDE 142,Physical Education 2,1,2,89,B+,3.33,Good
MDE 188,Foreign Language 2 (English for Specific Purposes - B1+ level ),3,5,94,A-,3.67,Excellent
,,18,30,SA : 73.47,GA : 78.9,SPA : 2.47,GPA : 2.82
2021 - 2022. 1,,,,,,,
CSS 152,Physics 1,3,5,89,B+,3.33,Good
CSS 215,Introduction to Algorithms,3,5,88,B+,3.33,Good
INF 202,Database Management Systems 1,3,5,86,B+,3.33,Good
INF 231,Web programming: front end,3,5,91,A-,3.67,Excellent
MDE 113,Kazakh Language 1 (B1 level),3,5,91,A-,3.67,Excellent
MDE 133,Turkish Language 3 (А2 level),2,3,90,A-,3.67,Excellent
MDE 143,Physical Education 3,1,2,95,A,4,Excellent
,,18,30,SA : 89.5,GA : 82.43,SPA : 3.52,GPA : 3.05
2021 - 2022. 2,,,,,,,
CSS 220,Advanced Algorithms,3,5,89,B+,3.33,Good
INF 232,Web programming: back end,4,5,98,A,4,Excellent
INF 305,Database Management Systems 2,3,5,91,A-,3.67,Excellent
INF 313,Computer networks 1,3,5,82,B,3,Good
MDE 114,Kazakh Language 2 (B1 level),3,5,96,A,4,Excellent
MDE 134,Turkish Language 4 (А2 level),2,3,100,A,4,Excellent
MDE 144,Physical Education 4,1,2,100,A,4,Excellent
,,19,30,SA : 92.67,GA : 84.99,SPA : 3.67,GPA : 3.21
2022 - 2023. 1,,,,,,,
CSS 223,C# Object Oriented Programming,3,5,79,B-,2.67,Good
CSS 417,Linux Administration,3,5,76,B-,2.67,Good
INF 357,Introduction to Unity programming,4,5,70,C+,2.33,Good
MAT 251,Probability and Mathematical Statictics,4,5,61,C-,1.67,Satisfactory
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,96,A,4,Excellent
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,96,A,4,Excellent
MDE 161,Еconomy,3,5,80,B,3,Good
,,19,29,SA : 76.34,GA : 83.31,SPA : 2.68,GPA : 3.1
2022 - 2023. 2,,,,,,,
CSS 375,RedHat - System Administration (I + II),3,5,55,D+,1.33,Satisfactory
INF 332,Enterprise Architecture,3,5,72,C+,2.33,Good
INF 367,3D Animation And Visual Effects,3,5,0,FX,0,Unsatisfactory
INF 368,The Go programming language,3,5,53,D,1,Satisfactory
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,97,A,4,Excellent
MDE 154,Module of Social and Political Knowledge (Psychology),1,2,97,A,4,Excellent
MDE 172,Philosophy,3,5,94,A-,3.67,Excellent
,,17,29,SA : 60.62,GA : 79.61,SPA : 1.99,GPA : 2.92
2023 - 2024. 1,,,,,,,
CSS 380,Industrial practice 1,1,1,,IP,,In progress
CSS 410,Research tools and methods,3,5,17,IP,,In progress
CSS 450,Industrial project (Introduction),3,5,48,IP,,In progress
CSS 451,Industrial project (Development),3,5,48,IP,,In progress
CSS 452,Industrial project (Design),3,5,48,IP,,In progress
CSS 453,Industrial project (Testing),3,5,48,IP,,In progress
CSS 480,Industrial practice 3,2,3,,IP,,In progress
CSS 481,Industrial practice 3,1,2,,IP,,In progress
,,19,31,SA : 0,GA : 79.61,SPA : 0,GPA : 2.92
Total Internal Credits : 110,,Total credits/ECTS : 178,,Grand Average : 79.61,,Grand GPA : 2.92,
