Course code,Course title,Internal Credit,Credit / ECTS,Grade,Letter Grade,Point,Traditional
2020 - 2021. 1,,,,,,,
CEC 101,General English (A1 level),6,6,81,P,,Pass
CSS 105,Fundamentals of Programming,4,5,58,D+,1.33,Satisfactory
MAT 151,Linear Algebra,3,5,73,C+,2.33,Good
MAT 153,Mathematics for Computer Science 1,3,5,85,B+,3.33,Good
MDE 131,Turkish Language 1 (А1 level),2,3,93,A-,3.67,Excellent
MDE 141,Physical Education 1,1,2,90,A-,3.67,Excellent
,,19,26,SA : 76.95,GA : 76.95,SPA : 2.67,GPA : 2.67
2020 - 2021. 2,,,,,,,
CEC 102,General English (A2 level),6,6,77,P,,Pass
CSS 108,Programming Technologies and Educational Practice,3,5,54,D,1,Satisfactory
INF 106,Information and Communications Technologies (Computer Science),3,5,70,C+,2.33,Good
MAT 154,Mathematics for Computer Science 2,3,5,74,C+,2.33,Good
MAT 156,Discrete Mathematics,3,5,50,D,1,Satisfactory
MDE 132,Turkish Language 2 (А1 level),2,3,91,A-,3.67,Excellent
MDE 142,Physical Education 2,1,2,95,A,4,Excellent
MDE 171,Modern History of Kazakhstan,3,5,70,C+,2.33,Good
,,24,36,SA : 68.43,GA : 71.84,SPA : 2.13,GPA : 2.35
2021 - 2022. 1,,,,,,,
CSS 152,Physics 1,3,5,68,C,2,Satisfactory
CSS 215,Introduction to Algorithms,3,5,77,B-,2.67,Good
INF 202,Database Management Systems 1,3,5,95,A,4,Excellent
INF 231,Web programming: front end,3,5,73,C+,2.33,Good
MDE 113,Kazakh Language 1 (B1 level),3,5,72,C+,2.33,Good
MDE 133,Turkish Language 3 (А2 level),2,3,86,B+,3.33,Good
MDE 143,Physical Education 3,1,2,95,A,4,Excellent
MDE 190,Foreign Language 1 (English for Specific Purposes - B1 level ),3,5,88,B+,3.33,Good
,,21,35,SA : 80.37,GA : 75.35,SPA : 2.89,GPA : 2.57
2021 - 2022. 2,,,,,,,
CSS 220,Advanced Algorithms,3,5,63,C-,1.67,Satisfactory
INF 232,Web programming: back end,4,5,82,B,3,Good
INF 305,Database Management Systems 2,3,5,77,B-,2.67,Good
INF 313,Computer networks 1,3,5,67,C,2,Satisfactory
MDE 114,Kazakh Language 2 (B1 level),3,5,75,B-,2.67,Good
MDE 134,Turkish Language 4 (А2 level),2,3,96,A,4,Excellent
MDE 144,Physical Education 4,1,2,89,B+,3.33,Good
MDE 191,Foreign Language 2 (English for Specific Purposes - B1+ level ),3,5,66,C,2,Satisfactory
,,22,35,SA : 74.74,GA : 75.18,SPA : 2.53,GPA : 2.56
2022 - 2023. 1,,,,,,,
CSS 380,Industrial practice 1,1,1,100,P,,Pass
INF 357,Introduction to Unity programming,4,5,92,A-,3.67,Excellent
MAT 251,Probability and Mathematical Statictics,4,5,86,B+,3.33,Good
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,84,B,3,Good
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,88,B+,3.33,Good
MDE 161,Еconomy,3,5,71,C+,2.33,Good
,,14,20,SA : 83.63,GA : 76.33,SPA : 3.12,GPA : 2.64
2022 - 2023. 2,,,,,,,
CSS 375,RedHat - System Administration (I + II),3,5,92,A-,3.67,Excellent
CSS 381,Industrial practice 2,1,1,100,A,4,Excellent
CSS 437,Game Development,3,5,70,C+,2.33,Good
INF 367,3D Animation And Visual Effects,3,5,,W,,Withdraw
INF 368,The Go programming language,3,5,96,A,4,Excellent
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,95,A,4,Excellent
MDE 154,Module of Social and Political Knowledge (Psychology),1,2,96,A,4,Excellent
MDE 172,Philosophy,3,5,88,B+,3.33,Good
,,18,30,SA : 88.48,GA : 78.18,SPA : 3.47,GPA : 2.76
2023 - 2024. 1,,,,,,,
CSS 410,Research tools and methods,3,5,55,IP,,In progress
CSS 450,Industrial project (Introduction),3,5,60,IP,,In progress
CSS 451,Industrial project (Development),3,5,60,IP,,In progress
CSS 452,Industrial project (Design),3,5,60,IP,,In progress
CSS 453,Industrial project (Testing),3,5,60,IP,,In progress
CSS 480,Industrial practice 3,2,3,,IP,,In progress
CSS 481,Industrial practice 3,1,2,,IP,,In progress
INF 325,Enterpreneurship in information systems,3,5,,W,,Withdraw
,,21,35,SA : 0,GA : 78.18,SPA : 0,GPA : 2.76
Total Internal Credits : 115,,Total credits/ECTS : 177,,Grand Average : 78.18,,Grand GPA : 2.76,
