Course code,Course title,Internal Credit,Credit / ECTS,Grade,Letter Grade,Point,Traditional
2020 - 2021. 1,,,,,,,
CSS 105,Fundamentals of Programming,4,5,0,F,0,Unsatisfactory
INF 106,Information and Communications Technologies (Computer Science),3,5,50,D,1,Satisfactory
MAT 151,Linear Algebra,3,5,50,D,1,Satisfactory
MAT 153,Mathematics for Computer Science 1,3,5,0,FX,0,Unsatisfactory
MDE 103,Foreign Language 1 (English for Specific Purposes - B1 level ),3,5,76,B-,2.67,Good
MDE 135,Turkish Language 1 (B1 level),2,3,74,C+,2.33,Good
MDE 141,Physical Education 1,1,2,84,B,3,Good
,,19,30,SA : 42.33,GA : 42.33,SPA : 1.21,GPA : 1.21
2020 - 2021. 2,,,,,,,
CSS 225,Web programming fundamentals,3,5,0,F,0,Unsatisfactory
MAT 153,Mathematics for Computer Science 1,3,5,0,F,0,Unsatisfactory
MAT 156,Discrete Mathematics,3,5,56,D+,1.33,Satisfactory
MDE 114,Kazakh Language 2 (B1 level),3,5,62,C-,1.67,Satisfactory
MDE 136,Turkish Language 2 (B1 level),2,3,90,A-,3.67,Excellent
MDE 142,Physical Education 2,1,2,95,A,4,Excellent
MDE 172,Philosophy,3,5,88,B+,3.33,Good
MDE 188,Foreign Language 2 (English for Specific Purposes - B1+ level ),3,5,73,C+,2.33,Good
,,21,35,SA : 53,GA : 52.08,SPA : 1.78,GPA : 1.64
2021 - 2022. 1,,,,,,,
CSS 152,Physics 1,3,5,50,D,1,Satisfactory
CSS 252,Electronics,4,5,74,C+,2.33,Good
MDE 137,Turkish Language 3 (B2 level),2,3,92,A-,3.67,Excellent
MDE 143,Physical Education 3,1,2,90,A-,3.67,Excellent
MDE 171,Modern History of Kazakhstan,3,5,71,C+,2.33,Good
,,13,20,SA : 71.55,GA : 56.95,SPA : 2.33,GPA : 1.82
2021 - 2022. 2,,,,,,,
CSS 105,Fundamentals of Programming,4,5,93,A-,3.67,Excellent
CSS 254,Digital design,3,5,77,B-,2.67,Good
MAT 153,Mathematics for Computer Science 1,3,5,81,B,3,Good
MAT 251,Probability and Mathematical Statictics,4,5,63,C-,1.67,Satisfactory
MDE 138,Turkish Language 4 (B2 level),2,3,78,B-,2.67,Good
MDE 144,Physical Education 4,1,2,95,A,4,Excellent
,,17,25,SA : 79.76,GA : 68.95,SPA : 2.84,GPA : 2.28
2022 - 2023. 1,,,,,,,
CSS 108,Programming Technologies and Educational Practice,3,5,51,D,1,Satisfactory
CSS 216,Mobile Programming,3,5,0,FX,0,Unsatisfactory
CSS 312,Computer Networks 1,3,5,0,F,0,Unsatisfactory
CSS 328,Introduction to Data Analysis,3,5,60,C-,1.67,Satisfactory
CSS 341,Computer organization and architecture,3,5,91,A-,3.67,Excellent
CSS 380,Industrial practice 1,1,1,70,P,,Pass
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,61,C-,1.67,Satisfactory
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,81,B,3,Good
MDE 167,Leadership,3,5,69,C,2,Satisfactory
,,21,35,SA : 48.21,GA : 63.48,SPA : 1.5,GPA : 2.07
2022 - 2023. 2,,,,,,,
CSS 215,Introduction to Algorithms,3,5,78,B-,2.67,Good
CSS 306,Cyber Security,3,5,84,B,3,Good
CSS 309,Low-level Architecture,3,5,100,A,4,Excellent
CSS 342,Software engineering,3,5,81,B,3,Good
CSS 381,Industrial practice 2,1,1,70,C+,2.33,Good
INF 324,Computer vision,3,5,92,A-,3.67,Excellent
INF 423,Statistics and Visualization for Data Analysis,3,5,82,B,3,Good
MAT 154,Mathematics for Computer Science 2,3,5,0,F,0,Unsatisfactory
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,83,B,3,Good
MDE 154,Module of Social and Political Knowledge (Psychology),1,2,96,A,4,Excellent
,,24,40,SA : 75.33,GA : 66.28,SPA : 2.83,GPA : 2.25
2022 - 2023. 3,,,,,,,
MAT 154,Mathematics for Computer Science 2,3,5,0,F,0,Unsatisfactory
,,3,5,SA : 0,GA : 66.28,SPA : 0,GPA : 2.25
2023 - 2024. 1,,,,,,,
CSS 220,Advanced Algorithms,3,5,50,IP,,In progress
CSS 251,Physics 2,3,5,43,IP,,In progress
CSS 410,Research tools and methods,3,5,54,IP,,In progress
CSS 480,Industrial practice 3,2,3,,IP,,In progress
CSS 481,Industrial practice 3,1,2,,IP,,In progress
INF 228,UX/UI design,3,5,32,IP,,In progress
INF 326,Numerical Methods for Computer Science,3,5,24,IP,,In progress
INF 405,Personal Development in Computer Science,3,5,57,IP,,In progress
MDE 115,Kazakh Language 1 (B2 level),3,5,28,IP,,In progress
,,24,40,SA : 0,GA : 66.28,SPA : 0,GPA : 2.25
Total Internal Credits : 105,,Total credits/ECTS : 170,,Grand Average : 66.28,,Grand GPA : 2.25,
