CSS 105,Fundamentals of Programming,4,5,80,B,3,Good
MAT 151,Linear Algebra,3,5,95,A,4,Excellent
MAT 153,Mathematics for Computer Science 1,3,5,80,B,3,Good
MDE 103,Foreign Language 1 (English for Specific Purposes - B1 level ),3,5,96,A,4,Excellent
MDE 131,Turkish Language 1 (А1 level),2,3,86,B+,3.33,Good
MDE 141,Physical Education 1,1,2,95,A,4,Excellent
MDE 171,Modern History of Kazakhstan,3,5,98,A,4,Excellent
,,19,30,SA : 89.77,GA : 89.77,SPA : 3.6,GPA : 3.6
2020 - 2021. 2,,,,,,,
CSS 108,Programming Technologies and Educational Practice,3,5,60,C-,1.67,Satisfactory
INF 106,Information and Communications Technologies (Computer Science),3,5,71,C+,2.33,Good
MAT 154,Mathematics for Computer Science 2,3,5,76,B-,2.67,Good
MAT 156,Discrete Mathematics,3,5,76,B-,2.67,Good
MDE 132,Turkish Language 2 (А1 level),2,3,85,B+,3.33,Good
MDE 142,Physical Education 2,1,2,95,A,4,Excellent
MDE 188,Foreign Language 2 (English for Specific Purposes - B1+ level ),3,5,68,C,2,Satisfactory
,,18,30,SA : 73.33,GA : 81.55,SPA : 2.49,GPA : 3.04
2021 - 2022. 1,,,,,,,
CSS 152,Physics 1,3,5,73,C+,2.33,Good
CSS 215,Introduction to Algorithms,3,5,69,C,2,Satisfactory
INF 202,Database Management Systems 1,3,5,67,C,2,Satisfactory
INF 231,Web programming: front end,3,5,79,B-,2.67,Good
MDE 113,Kazakh Language 1 (B1 level),3,5,62,C-,1.67,Satisfactory
MDE 133,Turkish Language 3 (А2 level),2,3,76,B-,2.67,Good
MDE 143,Physical Education 3,1,2,100,A,4,Excellent
,,18,30,SA : 72.6,GA : 78.57,SPA : 2.31,GPA : 2.8
2021 - 2022. 2,,,,,,,
CSS 220,Advanced Algorithms,3,5,74,C+,2.33,Good
INF 232,Web programming: back end,4,5,84,B,3,Good
INF 305,Database Management Systems 2,3,5,81,B,3,Good
INF 313,Computer networks 1,3,5,79,B-,2.67,Good
MDE 114,Kazakh Language 2 (B1 level),3,5,75,B-,2.67,Good
MDE 134,Turkish Language 4 (А2 level),2,3,82,B,3,Good
MDE 144,Physical Education 4,1,2,85,B+,3.33,Good
,,19,30,SA : 79.37,GA : 78.77,SPA : 2.8,GPA : 2.8
2022 - 2023. 1,,,,,,,
CSS 223,C# Object Oriented Programming,3,5,78,B-,2.67,Good
CSS 380,Industrial practice 1,1,1,100,P,,Pass
INF 323,Data analysis,3,5,67,C,2,Satisfactory
INF 361,Information Theory,3,5,61,C-,1.67,Satisfactory
MAT 251,Probability and Mathematical Statictics,4,5,52,D,1,Satisfactory
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,70,C+,2.33,Good
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,92,A-,3.67,Excellent
MDE 161,Еconomy,3,5,68,C,2,Satisfactory
,,19,30,SA : 67.38,GA : 76.55,SPA : 2.02,GPA : 2.65
2022 - 2023. 2,,,,,,,
CSS 381,Industrial practice 2,1,1,100,A,4,Excellent
INF 332,Enterprise Architecture,3,5,61,C-,1.67,Satisfactory
INF 333,Server Administration with Active Directory - Windows Server (Microsoft Certified Solutions Associate),3,5,62,C-,1.67,Satisfactory
INF 362,Design for Manufacture,3,5,80,B,3,Good
INF 368,The Go programming language,3,5,78,B-,2.67,Good
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,85,B+,3.33,Good
MDE 154,Module of Social and Political Knowledge (Psychology),1,2,97,A,4,Excellent
MDE 172,Philosophy,3,5,72,C+,2.33,Good
,,18,30,SA : 74.3,GA : 76.17,SPA : 2.51,GPA : 2.63
2023 - 2024. 1,,,,,,,
CSS 410,Research tools and methods,3,5,,IP,,In progress
CSS 480,Industrial practice 3,2,3,,IP,,In progress
CSS 481,Industrial practice 3,1,2,,IP,,In progress
INF 415,Leadership in IT,3,5,42,IP,,In progress
INF 448,Big Data Analytics,3,5,47,IP,,In progress
MAT 364,Cryptography,3,5,46,IP,,In progress
MAT 445,Game theory,3,5,39,IP,,In progress
