2020 - 2021. 1,,,,,,,
CSS 105,Fundamentals of Programming,4,5,75,B-,2.67,Good
MAT 151,Linear Algebra,3,5,82,B,3,Good
MAT 153,Mathematics for Computer Science 1,3,5,80,B,3,Good
MDE 104,Foreign Language 1 (English for Specific Purposes - B2 level),3,5,87,B+,3.33,Good
MDE 131,Turkish Language 1 (А1 level),2,3,98,A,4,Excellent
MDE 141,Physical Education 1,1,2,89,B+,3.33,Good
MDE 171,Modern History of Kazakhstan,3,5,94,A-,3.67,Excellent
,,19,30,SA : 85.4,GA : 85.4,SPA : 3.23,GPA : 3.23
2020 - 2021. 2,,,,,,,
CSS 108,Programming Technologies and Educational Practice,3,5,77,B-,2.67,Good
INF 106,Information and Communications Technologies (Computer Science),3,5,82,B,3,Good
MAT 154,Mathematics for Computer Science 2,3,5,78,B-,2.67,Good
MAT 156,Discrete Mathematics,3,5,67,C,2,Satisfactory
MDE 106,Foreign Language 2 (English for Specific Purposes - B2+ level),3,5,77,B-,2.67,Good
MDE 132,Turkish Language 2 (А1 level),2,3,86,B+,3.33,Good
MDE 142,Physical Education 2,1,2,85,B+,3.33,Good
,,18,30,SA : 77.77,GA : 81.58,SPA : 2.72,GPA : 2.98
2021 - 2022. 1,,,,,,,
CSS 152,Physics 1,3,5,0,FX,0,Unsatisfactory
CSS 215,Introduction to Algorithms,3,5,89,B+,3.33,Good
INF 202,Database Management Systems 1,3,5,78,B-,2.67,Good
INF 231,Web programming: front end,3,5,100,A,4,Excellent
MDE 133,Turkish Language 3 (А2 level),2,3,83,B,3,Good
,,14,23,SA : 68.87,GA : 78.06,SPA : 2.57,GPA : 2.86
2021 - 2022. 2,,,,,,,
CSS 220,Advanced Algorithms,3,5,79,B-,2.67,Good
INF 232,Web programming: back end,4,5,98,A,4,Excellent
INF 305,Database Management Systems 2,3,5,80,B,3,Good
INF 313,Computer networks 1,3,5,83,B,3,Good
MDE 134,Turkish Language 4 (А2 level),2,3,97,A,4,Excellent
,,15,23,SA : 86.57,GA : 79.91,SPA : 3.28,GPA : 2.95
2022 - 2023. 1,,,,,,,
CSS 324,Introduction to Machine Learning,3,5,100,A,4,Excellent
CSS 380,Industrial practice 1,1,1,100,P,,Pass
INF 317,Python for data analysis,3,5,65,C,2,Satisfactory
INF 323,Data analysis,3,5,83,B,3,Good
MAT 251,Probability and Mathematical Statictics,4,5,55,D+,1.33,Satisfactory
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,73,C+,2.33,Good
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,76,B-,2.67,Good
MDE 162,Law,3,5,84,B,3,Good
,,19,30,SA : 77,GA : 79.28,SPA : 2.64,GPA : 2.89
2022 - 2023. 2,,,,,,,
CSS 381,Industrial practice 2,1,1,100,A,4,Excellent
CSS 437,Game Development,3,5,75,B-,2.67,Good
INF 333,Server Administration with Active Directory - Windows Server (Microsoft Certified Solutions Associate),3,5,61,C-,1.67,Satisfactory
INF 369,Data visuallisation and storytelling,3,5,61,C-,1.67,Satisfactory
INF 378,AWS Cloud Computing,3,5,65,C,2,Satisfactory
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,99,A,4,Excellent
MDE 154,Module of Social and Political Knowledge (Psychology),1,2,82,B,3,Good
MDE 172,Philosophy,3,5,82,B,3,Good
,,18,30,SA : 72.73,GA : 78.09,SPA : 2.44,GPA : 2.8
2023 - 2024. 1,,,,,,,
CSS 410,Research tools and methods,3,5,43,IP,,In progress
CSS 450,Industrial project (Introduction),3,5,56,IP,,In progress
CSS 451,Industrial project (Development),3,5,56,IP,,In progress
CSS 452,Industrial project (Design),3,5,56,IP,,In progress
CSS 453,Industrial project (Testing),3,5,56,IP,,In progress
CSS 480,Industrial practice 3,2,3,,IP,,In progress
CSS 481,Industrial practice 3,1,2,,IP,,In progress
,,18,30,SA : 0,GA : 78.09,SPA : 0,GPA : 2.8
Total Internal Credits : 103,,Total credits/ECTS : 166,,Grand Average : 78.09,,Grand GPA : 2.8,
