,,,,,,,
2020 - 2021. 1,,,,,,,
CSS 105,Fundamentals of Programming,4,5,63,C-,1.67,Satisfactory
MAT 151,Linear Algebra,3,5,61,C-,1.67,Satisfactory
MAT 153,Mathematics for Computer Science 1,3,5,82,B,3,Good
MDE 104,Foreign Language 1 (English for Specific Purposes - B2 level),3,5,96,A,4,Excellent
MDE 131,Turkish Language 1 (А1 level),2,3,81,B,3,Good
MDE 141,Physical Education 1,1,2,95,A,4,Excellent
MDE 171,Modern History of Kazakhstan,3,5,91,A-,3.67,Excellent
,,19,30,SA : 79.93,GA : 79.93,SPA : 2.9,GPA : 2.9
2020 - 2021. 2,,,,,,,
CSS 108,Programming Technologies and Educational Practice,3,5,0,FX,0,Unsatisfactory
INF 106,Information and Communications Technologies (Computer Science),3,5,53,D,1,Satisfactory
MAT 154,Mathematics for Computer Science 2,3,5,93,A-,3.67,Excellent
MAT 156,Discrete Mathematics,3,5,52,D,1,Satisfactory
MDE 106,Foreign Language 2 (English for Specific Purposes - B2+ level),3,5,72,C+,2.33,Good
MDE 132,Turkish Language 2 (А1 level),2,3,85,B+,3.33,Good
MDE 142,Physical Education 2,1,2,87,B+,3.33,Good
,,18,30,SA : 59.3,GA : 69.62,SPA : 1.89,GPA : 2.4
2020 - 2021. 3,,,,,,,
CSS 108,Programming Technologies and Educational Practice,3,5,61,C-,1.67,Satisfactory
,,3,5,SA : 61,GA : 74.7,SPA : 1.67,GPA : 2.53
2021 - 2022. 1,,,,,,,
CSS 152,Physics 1,3,5,56,D+,1.33,Satisfactory
CSS 215,Introduction to Algorithms,3,5,56,D+,1.33,Satisfactory
INF 202,Database Management Systems 1,3,5,93,A-,3.67,Excellent
INF 231,Web programming: front end,3,5,85,B+,3.33,Good
MDE 123,Russian Language 1 (B1 level),3,5,93,A-,3.67,Excellent
MDE 133,Turkish Language 3 (А2 level),2,3,63,C-,1.67,Satisfactory
MDE 143,Physical Education 3,1,2,90,A-,3.67,Excellent
,,18,30,SA : 76.13,GA : 75.18,SPA : 2.63,GPA : 2.57
2021 - 2022. 2,,,,,,,
CSS 220,Advanced Algorithms,3,5,67,C,2,Satisfactory
INF 232,Web programming: back end,4,5,100,A,4,Excellent
INF 305,Database Management Systems 2,3,5,68,C,2,Satisfactory
INF 313,Computer networks 1,3,5,65,C,2,Satisfactory
MDE 124,Russian Language 2 (B1 level),3,5,90,A-,3.67,Excellent
MDE 134,Turkish Language 4 (А2 level),2,3,60,C-,1.67,Satisfactory
MDE 144,Physical Education 4,1,2,95,A,4,Excellent
MDE 153,Module of Social and Political Knowledge (Cultural Studies),1,2,94,A-,3.67,Excellent
MDE 154,Module of Social and Political Knowledge (Psychology),1,2,94,A-,3.67,Excellent
,,21,34,SA : 79.29,GA : 76.31,SPA : 2.82,GPA : 2.64
2022 - 2023. 1,,,,,,,
CSS 324,Introduction to Machine Learning,3,5,100,A,4,Excellent
CSS 380,Industrial practice 1,1,1,100,P,,Pass
INF 322,Graphic Design,3,5,95,A,4,Excellent
INF 323,Data analysis,3,5,92,A-,3.67,Excellent
MAT 251,Probability and Mathematical Statictics,4,5,66,C,2,Satisfactory
MDE 151,Module of Social and Political Knowledge (Political Science),1,2,88,B+,3.33,Good
MDE 152,Module of Social and Political Knowledge (Sociology),1,2,98,A,4,Excellent
MDE 162,Law,3,5,86,B+,3.33,Good
,,19,30,SA : 88.52,GA : 78.62,SPA : 3.44,GPA : 2.79
2022 - 2023. 2,,,,,,,
CSS 381,Industrial practice 2,1,1,100,A,4,Excellent
CSS 415,IT Management,3,5,89,B+,3.33,Good
INF 382,Business Process Modelling,3,5,82,B,3,Good
INF 383,Business Analysis Foundations,3,5,87,B+,3.33,Good
INF 392,Blockchain technology,3,5,74,C+,2.33,Good
MDE 172,Philosophy,3,5,93,A-,3.67,Excellent
,,16,26,SA : 85.58,GA : 79.63,SPA : 3.17,GPA : 2.84
2023 - 2024. 1,,,,,,,
CSS 410,Research tools and methods,3,5,48,IP,,In progress
CSS 450,Industrial project (Introduction),3,5,56,IP,,In progress
CSS 451,Industrial project (Development),3,5,56,IP,,In progress
CSS 452,Industrial project (Design),3,5,56,IP,,In progress
CSS 453,Industrial project (Testing),3,5,56,IP,,In progress
CSS 480,Industrial practice 3,2,3,,IP,,In progress
CSS 481,Industrial practice 3,1,2,,IP,,In progress
,,18,30,SA : 0,GA : 79.63,SPA : 0,GPA : 2.84
Total Internal Credits : 111,,Total credits/ECTS : 180,,Grand Average : 79.63,,Grand GPA : 2.84,
