Course code,Course title,Grade
2020 - 2021. 1,,
CEC 102,General English (A2 level),85
CSS 105,Fundamentals of Programming,70
MAT 151,Linear Algebra,83
MAT 153,Mathematics for Computer Science 1,73
MDE 135,Turkish Language 1 (B1 level),95
MDE 141,Physical Education 1,95
MDE 171,Modern History of Kazakhstan,88
,,SA : 81.8
2020 - 2021. 2,,
CSS 108,Programming Technologies and Educational Practice,66
INF 106,Information and Communications Technologies (Computer Science),84
MAT 154,Mathematics for Computer Science 2,89
MAT 156,Discrete Mathematics,71
MDE 103,Foreign Language 1 (English for Specific Purposes - B1 level ),75
MDE 136,Turkish Language 2 (B1 level),85
MDE 142,Physical Education 2,95
,,SA : 79
2021 - 2022. 1,,
CSS 152,Physics 1,77
CSS 215,Introduction to Algorithms,96
INF 202,Database Management Systems 1,94
INF 231,Web programming: front end,82
MDE 113,Kazakh Language 1 (B1 level),88
MDE 137,Turkish Language 3 (B2 level),90
MDE 143,Physical Education 3,95
MDE 191,Foreign Language 2 (English for Specific Purposes - B1+ level ),70
,,SA : 85.57
2021 - 2022. 2,,
CSS 220,Advanced Algorithms,85
INF 232,Web programming: back end,100
INF 305,Database Management Systems 2,87
INF 313,Computer networks 1,88
MDE 114,Kazakh Language 2 (B1 level),92
MDE 138,Turkish Language 4 (B2 level),90
MDE 144,Physical Education 4,95
,,SA : 90.67
2022 - 2023. 1,,
CSS 216,Mobile Programming,83
CSS 380,Industrial practice 1,100
INF 324,Computer vision,72
INF 361,Information Theory,95
MAT 251,Probability and Mathematical Statictics,85
MDE 151,Module of Social and Political Knowledge (Political Science),
MDE 152,Module of Social and Political Knowledge (Sociology),76
MDE 162,Law,73
,,SA : 81.19
2022 - 2023. 2,,
CSS 381,Industrial practice 2,100
CSS 411,Advanced Programming using JAVA EE,91
INF 378,AWS Cloud Computing,93
INF 379,Introduction to self-driving cars,97
INF 392,Blockchain technology,78
MDE 151,Module of Social and Political Knowledge (Political Science),92
MDE 153,Module of Social and Political Knowledge (Cultural Studies),98
MDE 154,Module of Social and Political Knowledge (Psychology),97
MDE 172,Philosophy,91
,,SA : 91.38
2023 - 2024. 1,,
CSS 410,Research tools and methods,54
CSS 450,Industrial project (Introduction),48
